automorphism_id,permutation,signs,orientation_sign,nodes_preserved,edges_preserved
0,"[0,1,2]","[-1,-1,-1]",-1,True,True
1,"[0,1,2]","[-1,-1,1]",1,True,True
2,"[0,1,2]","[-1,1,-1]",1,True,True
3,"[0,1,2]","[-1,1,1]",-1,True,True
4,"[0,1,2]","[1,-1,-1]",1,True,True
5,"[0,1,2]","[1,-1,1]",-1,True,True
6,"[0,1,2]","[1,1,-1]",-1,True,True
7,"[0,1,2]","[1,1,1]",1,True,True
8,"[0,2,1]","[-1,-1,-1]",1,True,True
9,"[0,2,1]","[-1,-1,1]",-1,True,True
10,"[0,2,1]","[-1,1,-1]",-1,True,True
11,"[0,2,1]","[-1,1,1]",1,True,True
12,"[0,2,1]","[1,-1,-1]",-1,True,True
13,"[0,2,1]","[1,-1,1]",1,True,True
14,"[0,2,1]","[1,1,-1]",1,True,True
15,"[0,2,1]","[1,1,1]",-1,True,True
16,"[1,0,2]","[-1,-1,-1]",1,True,True
17,"[1,0,2]","[-1,-1,1]",-1,True,True
18,"[1,0,2]","[-1,1,-1]",-1,True,True
19,"[1,0,2]","[-1,1,1]",1,True,True
20,"[1,0,2]","[1,-1,-1]",-1,True,True
21,"[1,0,2]","[1,-1,1]",1,True,True
22,"[1,0,2]","[1,1,-1]",1,True,True
23,"[1,0,2]","[1,1,1]",-1,True,True
24,"[1,2,0]","[-1,-1,-1]",-1,True,True
25,"[1,2,0]","[-1,-1,1]",1,True,True
26,"[1,2,0]","[-1,1,-1]",1,True,True
27,"[1,2,0]","[-1,1,1]",-1,True,True
28,"[1,2,0]","[1,-1,-1]",1,True,True
29,"[1,2,0]","[1,-1,1]",-1,True,True
30,"[1,2,0]","[1,1,-1]",-1,True,True
31,"[1,2,0]","[1,1,1]",1,True,True
32,"[2,0,1]","[-1,-1,-1]",-1,True,True
33,"[2,0,1]","[-1,-1,1]",1,True,True
34,"[2,0,1]","[-1,1,-1]",1,True,True
35,"[2,0,1]","[-1,1,1]",-1,True,True
36,"[2,0,1]","[1,-1,-1]",1,True,True
37,"[2,0,1]","[1,-1,1]",-1,True,True
38,"[2,0,1]","[1,1,-1]",-1,True,True
39,"[2,0,1]","[1,1,1]",1,True,True
40,"[2,1,0]","[-1,-1,-1]",1,True,True
41,"[2,1,0]","[-1,-1,1]",-1,True,True
42,"[2,1,0]","[-1,1,-1]",-1,True,True
43,"[2,1,0]","[-1,1,1]",1,True,True
44,"[2,1,0]","[1,-1,-1]",-1,True,True
45,"[2,1,0]","[1,-1,1]",1,True,True
46,"[2,1,0]","[1,1,-1]",1,True,True
47,"[2,1,0]","[1,1,1]",-1,True,True
