dimension,side,slot_residue,carrier,matter,shadow,total
0,0,0,3,21,3,27
0,1,3,3,21,3,27
1,0,4,3,21,3,27
1,1,1,3,21,3,27
2,0,2,3,21,3,27
2,1,5,3,21,3,27
