ledger_parity,slot,partner_slot,left_route,right_route,route_pair,hemisphere_preserved,point_antipodal,edge_antipodal
0,0,147,0,3,"[0,3]",True,True,True
0,1,148,1,4,"[1,4]",True,True,True
0,2,149,2,5,"[2,5]",True,True,True
0,3,144,3,0,"[0,3]",True,True,True
0,4,145,4,1,"[1,4]",True,True,True
0,5,146,5,2,"[2,5]",True,True,True
0,6,153,6,9,"[6,9]",True,True,True
0,7,154,7,10,"[7,10]",True,True,True
0,8,155,8,11,"[8,11]",True,True,True
0,9,150,9,6,"[6,9]",True,True,True
0,10,151,10,7,"[7,10]",True,True,True
0,11,152,11,8,"[8,11]",True,True,True
0,12,159,0,3,"[0,3]",True,True,True
0,13,160,1,4,"[1,4]",True,True,True
0,14,161,2,5,"[2,5]",True,True,True
0,15,156,3,0,"[0,3]",True,True,True
0,16,157,4,1,"[1,4]",True,True,True
0,17,158,5,2,"[2,5]",True,True,True
0,144,3,0,3,"[0,3]",True,True,True
0,145,4,1,4,"[1,4]",True,True,True
0,146,5,2,5,"[2,5]",True,True,True
0,147,0,3,0,"[0,3]",True,True,True
0,148,1,4,1,"[1,4]",True,True,True
0,149,2,5,2,"[2,5]",True,True,True
0,150,9,6,9,"[6,9]",True,True,True
0,151,10,7,10,"[7,10]",True,True,True
0,152,11,8,11,"[8,11]",True,True,True
0,153,6,9,6,"[6,9]",True,True,True
0,154,7,10,7,"[7,10]",True,True,True
0,155,8,11,8,"[8,11]",True,True,True
0,156,15,0,3,"[0,3]",True,True,True
0,157,16,1,4,"[1,4]",True,True,True
0,158,17,2,5,"[2,5]",True,True,True
0,159,12,3,0,"[0,3]",True,True,True
0,160,13,4,1,"[1,4]",True,True,True
0,161,14,5,2,"[2,5]",True,True,True
1,0,147,6,9,"[6,9]",True,True,True
1,1,148,7,10,"[7,10]",True,True,True
1,2,149,8,11,"[8,11]",True,True,True
1,3,144,9,6,"[6,9]",True,True,True
1,4,145,10,7,"[7,10]",True,True,True
1,5,146,11,8,"[8,11]",True,True,True
1,6,153,0,3,"[0,3]",True,True,True
1,7,154,1,4,"[1,4]",True,True,True
1,8,155,2,5,"[2,5]",True,True,True
1,9,150,3,0,"[0,3]",True,True,True
1,10,151,4,1,"[1,4]",True,True,True
1,11,152,5,2,"[2,5]",True,True,True
1,12,159,6,9,"[6,9]",True,True,True
1,13,160,7,10,"[7,10]",True,True,True
1,14,161,8,11,"[8,11]",True,True,True
1,15,156,9,6,"[6,9]",True,True,True
1,16,157,10,7,"[7,10]",True,True,True
1,17,158,11,8,"[8,11]",True,True,True
1,144,3,6,9,"[6,9]",True,True,True
1,145,4,7,10,"[7,10]",True,True,True
1,146,5,8,11,"[8,11]",True,True,True
1,147,0,9,6,"[6,9]",True,True,True
1,148,1,10,7,"[7,10]",True,True,True
1,149,2,11,8,"[8,11]",True,True,True
1,150,9,0,3,"[0,3]",True,True,True
1,151,10,1,4,"[1,4]",True,True,True
1,152,11,2,5,"[2,5]",True,True,True
1,153,6,3,0,"[0,3]",True,True,True
1,154,7,4,1,"[1,4]",True,True,True
1,155,8,5,2,"[2,5]",True,True,True
1,156,15,6,9,"[6,9]",True,True,True
1,157,16,7,10,"[7,10]",True,True,True
1,158,17,8,11,"[8,11]",True,True,True
1,159,12,9,6,"[6,9]",True,True,True
1,160,13,10,7,"[7,10]",True,True,True
1,161,14,11,8,"[8,11]",True,True,True
