Z,symbol,symbol_match_cr119,name_match_cr119,particle_expected_cr119,particle_observed_hh001,particle_match_cr119,element_expected_cr119,element_observed_hh001,element_match_cr119,gravity_expected_cr119_qA,gravity_observed_hh001,gravity_match_cr119,graviton_expected_cr119_qA_over_8,graviton_observed_hh001,graviton_match_cr119,gravity_over_8_match,courtroom_backed_row_pass,known_label_status,known_label_used_as_construction_input
98,Cf,True,True,359,359,True,98,98,True,7273.395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7273.395833,True,909.1744791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,909.174479,True,True,True,KNOWN_Z_DOWNSTREAM,no
99,Es,True,True,363,363,True,99,99,True,7347.656249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,7347.656250,True,918.4570312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999996,918.457031,True,True,True,KNOWN_Z_DOWNSTREAM,no
100,Fm,True,True,366,366,True,100,100,True,7421.791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7421.791667,True,927.723958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,927.723958,True,True,True,KNOWN_Z_DOWNSTREAM,no
101,Md,True,True,370,370,True,101,101,True,7496.052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7496.052083,True,937.0065104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,937.006510,True,True,True,KNOWN_Z_DOWNSTREAM,no
102,No,True,True,374,374,True,102,102,True,7570.312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,7570.312500,True,946.2890624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996,946.289062,True,True,True,KNOWN_Z_DOWNSTREAM,no
103,Lr,True,True,377,377,True,103,103,True,7644.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7644.447917,True,955.555989583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,955.555990,True,True,True,KNOWN_Z_DOWNSTREAM,no
104,Rf,True,True,381,381,True,104,104,True,7718.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7718.708333,True,964.8385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,964.838542,True,True,True,KNOWN_Z_DOWNSTREAM,no
105,Db,True,True,385,385,True,105,105,True,7792.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,7792.968750,True,974.1210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999996,974.121094,True,True,True,KNOWN_Z_DOWNSTREAM,no
106,Sg,True,True,388,388,True,106,106,True,7867.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7867.104167,True,983.388020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,983.388021,True,True,True,KNOWN_Z_DOWNSTREAM,no
107,Bh,True,True,392,392,True,107,107,True,7941.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,7941.364583,True,992.6705729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666662,992.670573,True,True,True,KNOWN_Z_DOWNSTREAM,no
108,Hs,True,True,396,396,True,108,108,True,8015.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,8015.625000,True,1001.953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1001.953125,True,True,True,KNOWN_Z_DOWNSTREAM,no
109,Mt,True,True,408,408,True,109,109,True,8090.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,8090.885417,True,1011.360677083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1011.360677,True,True,True,KNOWN_Z_DOWNSTREAM,no
110,Ds,True,True,412,412,True,110,110,True,8165.145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,8165.145833,True,1020.643229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1020.643229,True,True,True,KNOWN_Z_DOWNSTREAM,no
111,Rg,True,True,416,416,True,111,111,True,8239.406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,8239.406250,True,1029.925781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1029.925781,True,True,True,KNOWN_Z_DOWNSTREAM,no
112,Cn,True,True,420,420,True,112,112,True,8313.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,8313.666667,True,1039.208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1039.208333,True,True,True,KNOWN_Z_DOWNSTREAM,no
113,Nh,True,True,423,423,True,113,113,True,8387.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,8387.802083,True,1048.475260416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1048.475260,True,True,True,KNOWN_Z_DOWNSTREAM,no
114,Fl,True,True,427,427,True,114,114,True,8462.062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,8462.062500,True,1057.757812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1057.757812,True,True,True,KNOWN_Z_DOWNSTREAM,no
115,Mc,True,True,431,431,True,115,115,True,8536.322916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,8536.322917,True,1067.040364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1067.040365,True,True,True,KNOWN_Z_DOWNSTREAM,no
116,Lv,True,True,435,435,True,116,116,True,8610.583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,8610.583333,True,1076.322916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1076.322917,True,True,True,KNOWN_Z_DOWNSTREAM,no
117,Ts,True,True,438,438,True,117,117,True,8684.718749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,8684.718750,True,1085.589843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1085.589844,True,True,True,KNOWN_Z_DOWNSTREAM,no
118,Og,True,True,442,442,True,118,118,True,8758.979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,8758.979167,True,1094.872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1094.872396,True,True,True,KNOWN_Z_DOWNSTREAM,no
119,Z119,True,True,446,446,True,119,119,True,8833.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,8833.239583,True,1104.154947916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1104.154948,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
120,Z120,True,True,450,450,True,120,120,True,8907.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,8907.500000,True,1113.437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1113.437500,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
121,Z121,True,True,463,463,True,121,121,True,8982.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,8982.885417,True,1122.860677083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1122.860677,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
122,Z122,True,True,467,467,True,122,122,True,9057.145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,9057.145833,True,1132.143229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1132.143229,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
123,Z123,True,True,471,471,True,123,123,True,9131.406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,9131.406250,True,1141.425781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1141.425781,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
124,Z124,True,True,475,475,True,124,124,True,9205.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,9205.666667,True,1150.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1150.708333,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
125,Z125,True,True,479,479,True,125,125,True,9279.927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,9279.927083,True,1159.990885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1159.990885,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
126,Z126,True,True,483,483,True,126,126,True,9354.187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,9354.187500,True,1169.273437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1169.273438,True,True,True,SAM_FRONTIER_UNKNOWN_Z119_Z126,no
