Z,sob_id,cr222_element_closure_id,all_compared_fields_match,failed_fields,construction_role
72,SOB72,CR222-EZ072,True,,CR224_generated_first_from_constants_then_compared_to_CR222
73,SOB73,CR222-EZ073,True,,CR224_generated_first_from_constants_then_compared_to_CR222
74,SOB74,CR222-EZ074,True,,CR224_generated_first_from_constants_then_compared_to_CR222
75,SOB75,CR222-EZ075,True,,CR224_generated_first_from_constants_then_compared_to_CR222
76,SOB76,CR222-EZ076,True,,CR224_generated_first_from_constants_then_compared_to_CR222
77,SOB77,CR222-EZ077,True,,CR224_generated_first_from_constants_then_compared_to_CR222
78,SOB78,CR222-EZ078,True,,CR224_generated_first_from_constants_then_compared_to_CR222
79,SOB79,CR222-EZ079,True,,CR224_generated_first_from_constants_then_compared_to_CR222
80,SOB80,CR222-EZ080,True,,CR224_generated_first_from_constants_then_compared_to_CR222
81,SOB81,CR222-EZ081,True,,CR224_generated_first_from_constants_then_compared_to_CR222
82,SOB82,CR222-EZ082,True,,CR224_generated_first_from_constants_then_compared_to_CR222
83,SOB83,CR222-EZ083,True,,CR224_generated_first_from_constants_then_compared_to_CR222
84,SOB84,CR222-EZ084,True,,CR224_generated_first_from_constants_then_compared_to_CR222
85,SOB85,CR222-EZ085,True,,CR224_generated_first_from_constants_then_compared_to_CR222
86,SOB86,CR222-EZ086,True,,CR224_generated_first_from_constants_then_compared_to_CR222
87,SOB87,CR222-EZ087,True,,CR224_generated_first_from_constants_then_compared_to_CR222
88,SOB88,CR222-EZ088,True,,CR224_generated_first_from_constants_then_compared_to_CR222
89,SOB89,CR222-EZ089,True,,CR224_generated_first_from_constants_then_compared_to_CR222
90,SOB90,CR222-EZ090,True,,CR224_generated_first_from_constants_then_compared_to_CR222
91,SOB91,CR222-EZ091,True,,CR224_generated_first_from_constants_then_compared_to_CR222
92,SOB92,CR222-EZ092,True,,CR224_generated_first_from_constants_then_compared_to_CR222
93,SOB93,CR222-EZ093,True,,CR224_generated_first_from_constants_then_compared_to_CR222
94,SOB94,CR222-EZ094,True,,CR224_generated_first_from_constants_then_compared_to_CR222
95,SOB95,CR222-EZ095,True,,CR224_generated_first_from_constants_then_compared_to_CR222
96,SOB96,CR222-EZ096,True,,CR224_generated_first_from_constants_then_compared_to_CR222
97,SOB97,CR222-EZ097,True,,CR224_generated_first_from_constants_then_compared_to_CR222
98,SOB98,CR222-EZ098,True,,CR224_generated_first_from_constants_then_compared_to_CR222
99,SOB99,CR222-EZ099,True,,CR224_generated_first_from_constants_then_compared_to_CR222
100,SOB100,CR222-EZ100,True,,CR224_generated_first_from_constants_then_compared_to_CR222
101,SOB101,CR222-EZ101,True,,CR224_generated_first_from_constants_then_compared_to_CR222
102,SOB102,CR222-EZ102,True,,CR224_generated_first_from_constants_then_compared_to_CR222
103,SOB103,CR222-EZ103,True,,CR224_generated_first_from_constants_then_compared_to_CR222
104,SOB104,CR222-EZ104,True,,CR224_generated_first_from_constants_then_compared_to_CR222
105,SOB105,CR222-EZ105,True,,CR224_generated_first_from_constants_then_compared_to_CR222
106,SOB106,CR222-EZ106,True,,CR224_generated_first_from_constants_then_compared_to_CR222
107,SOB107,CR222-EZ107,True,,CR224_generated_first_from_constants_then_compared_to_CR222
108,SOB108,CR222-EZ108,True,,CR224_generated_first_from_constants_then_compared_to_CR222
109,SOB109,CR222-EZ109,True,,CR224_generated_first_from_constants_then_compared_to_CR222
110,SOB110,CR222-EZ110,True,,CR224_generated_first_from_constants_then_compared_to_CR222
111,SOB111,CR222-EZ111,True,,CR224_generated_first_from_constants_then_compared_to_CR222
112,SOB112,CR222-EZ112,True,,CR224_generated_first_from_constants_then_compared_to_CR222
113,SOB113,CR222-EZ113,True,,CR224_generated_first_from_constants_then_compared_to_CR222
114,SOB114,CR222-EZ114,True,,CR224_generated_first_from_constants_then_compared_to_CR222
115,SOB115,CR222-EZ115,True,,CR224_generated_first_from_constants_then_compared_to_CR222
116,SOB116,CR222-EZ116,True,,CR224_generated_first_from_constants_then_compared_to_CR222
117,SOB117,CR222-EZ117,True,,CR224_generated_first_from_constants_then_compared_to_CR222
118,SOB118,CR222-EZ118,True,,CR224_generated_first_from_constants_then_compared_to_CR222
119,SOB119,CR222-EZ119,True,,CR224_generated_first_from_constants_then_compared_to_CR222
120,SOB120,CR222-EZ120,True,,CR224_generated_first_from_constants_then_compared_to_CR222
121,SOB121,CR222-EZ121,True,,CR224_generated_first_from_constants_then_compared_to_CR222
122,SOB122,CR222-EZ122,True,,CR224_generated_first_from_constants_then_compared_to_CR222
123,SOB123,CR222-EZ123,True,,CR224_generated_first_from_constants_then_compared_to_CR222
124,SOB124,CR222-EZ124,True,,CR224_generated_first_from_constants_then_compared_to_CR222
125,SOB125,CR222-EZ125,True,,CR224_generated_first_from_constants_then_compared_to_CR222
126,SOB126,CR222-EZ126,True,,CR224_generated_first_from_constants_then_compared_to_CR222
