source_key,path,role,used_as_computed_input,exists,sha256
qga038f_summary,C:\VS\Stam_model-A-v1.0\tests\Substrate\QGA038F_12_OF_12_HYDROGEN_ARRIVAL_SELECTOR\QGA038F_summary.json,hydrogen arrival selector,True,True,6f02c9eb5521d896a6cde0f151398624ef6362faddcfdbca5c6ec47f0dbec007
qga038g_summary,C:\VS\Stam_model-A-v1.0\tests\Substrate\QGA038G_HYDROGEN_ARRIVAL_TO_BB_NORMAL_MATTER_INVENTORY\QGA038G_summary.json,hydrogen inventory bridge,True,True,80496c6e8f1687e8424c67a8815ff8083ea9049721c75f8dd7c7046f35307b0d
qga038h_summary,C:\VS\Stam_model-A-v1.0\tests\Substrate\QGA038H_BB_PBH_FIRST_CLUSTER_HYDROGEN_CATCHUP_SELECTOR\QGA038H_summary.json,PBH first cluster hydrogen catch-up selector,True,True,479f953458f338c0b784ceb6bbfc9233ed8e5142c5d63ff8f8749762878f0503
g682c_summary,C:\VS\Stam_model-A-v1.0\tests\Substrate\G682c_HYDROGEN_FIRST_STAR_SCAFFOLD_SELECTOR\G682c_summary.json,first-star scaffold selector,True,True,a1a929d1c360e37842019c375b91578f43a36e05e4ed53947a7419d1b3a4d804
declared_premises,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR027_HYDROGEN_CATCHUP_FIRST_STAR_SCAFFOLD\CR027_declared_premises.json,test_precommit_and_pass_conditions,True,True,ba670c962b7f9ad097fc357194d1e01952a1012c61caad621ee759612f04d74e
runner,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR027_HYDROGEN_CATCHUP_FIRST_STAR_SCAFFOLD\CR027_runner.py,courtroom_calculation_script,True,True,7d194cdd20b11bd1a2c359f8ff8af5334498f08ff42ad6a1f9a96fd4eb0578ff
