sob_id,Z,N,A,prediction_clock,reference_clock,clock_match,known_symbol,known_name,revealed_isotope_anchor,atomic_mass_u_reveal,matter_label,name_symbol_reveal_status,atomic_mass_reveal_status,reveal_source,prediction_hash_basis
SOB31,31,36,67,stable,stable,True,Ga,Gallium,Ga-67,66.928202,Matter 66.928,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB32,32,37,69,stable,stable,True,Ge,Germanium,Ge-69,68.927964,Matter 68.928,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB33,33,38,71,stable,stable,True,As,Arsenic,As-71,70.927114,Matter 70.927,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB34,34,39,73,stable,stable,True,Se,Selenium,Se-73,72.926755,Matter 72.927,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB35,35,40,75,stable,stable,True,Br,Bromine,Br-75,74.925811,Matter 74.926,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB36,36,42,78,stable,stable,True,Kr,Krypton,Kr-78,77.920366,Matter 77.920,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB37,37,46,83,stable,stable,True,Rb,Rubidium,Rb-83,82.915114,Matter 82.915,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB38,38,47,85,stable,stable,True,Sr,Strontium,Sr-85,84.912932,Matter 84.913,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB39,39,48,87,stable,stable,True,Y,Yttrium,Y-87,86.910876,Matter 86.911,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB40,40,50,90,stable,stable,True,Zr,Zirconium,Zr-90,89.904699,Matter 89.905,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB41,41,51,92,stable,stable,True,Nb,Niobium,Nb-92,91.907189,Matter 91.907,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB42,42,52,94,stable,stable,True,Mo,Molybdenum,Mo-94,93.905084,Matter 93.905,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB43,43,53,96,radioactive,radioactive,True,Tc,Technetium,Tc-96,95.907867,Matter 95.908,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB44,44,55,99,stable,stable,True,Ru,Ruthenium,Ru-99,98.905930,Matter 98.906,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB45,45,56,101,stable,stable,True,Rh,Rhodium,Rh-101,100.906159,Matter 100.906,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB46,46,57,103,stable,stable,True,Pd,Palladium,Pd-103,102.906111,Matter 102.906,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB47,47,58,105,stable,stable,True,Ag,Silver,Ag-105,104.906526,Matter 104.907,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB48,48,60,108,stable,stable,True,Cd,Cadmium,Cd-108,107.904184,Matter 107.904,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB49,49,65,114,stable,stable,True,In,Indium,In-114,113.904916,Matter 113.905,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB50,50,66,116,stable,stable,True,Sn,Tin,Sn-116,115.901743,Matter 115.902,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB51,51,68,119,stable,stable,True,Sb,Antimony,Sb-119,118.903944,Matter 118.904,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB52,52,69,121,stable,stable,True,Te,Tellurium,Te-121,120.904945,Matter 120.905,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB53,53,70,123,stable,stable,True,I,Iodine,I-123,122.905590,Matter 122.906,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB54,54,72,126,stable,stable,True,Xe,Xenon,Xe-126,125.904297,Matter 125.904,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB55,55,73,128,stable,stable,True,Cs,Caesium,Cs-128,127.907748,Matter 127.908,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB56,56,74,130,stable,stable,True,Ba,Barium,Ba-130,129.906326,Matter 129.906,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
