cr_id,dir_name,status,field_name,result_class,lock_actual_sha256,recorded_sha256_now,old_recorded_sha256,post_result_md_sha256,post_summary_json_sha256,archived_original_result_sha256,archived_original_summary_sha256
CR128,CR128_BOUND_COLOR_PAIR_MASS_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR128_BOUND_COLOR_PAIR_MASS_LAW_V1_SEALED,0f62d6b4e942a9b41d2b620265f3b05d737a35d65acb4553190f64183ff19871,0f62d6b4e942a9b41d2b620265f3b05d737a35d65acb4553190f64183ff19871,,f4d00f74597f6c85e9e287b65ac4cb0eef667fd80c5e421b748ffb38d71ee77d,b0aafbfcb8c9e6ce8fd479a20be92a61845b5dc018edd301d36a7ddfb68a7c71,0a4ebfe6c3a17f10f03909d1b5dfc4c9532b34132c9e306dfd9fa1b724970e10,6c7b50f2bd04e80014a7bc0c875ca0267dd2e6dbd7244a721fcd31a23bd06649
CR128b,CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1_SEALED,fb9287cd6c79b161f138f5ce4fde5b109483be1787757d6e4bdf4f613ad16467,fb9287cd6c79b161f138f5ce4fde5b109483be1787757d6e4bdf4f613ad16467,,e6028e172a82db19457df93475a8b70797188c747f299e616f4a9e7172a33549,9bd613c3b4d6db390d35afa2250f9f34aadc9e42f7c7382dd204369ce9f8b192,8dd3042c74952cb4b17ea700fe4db2e122d6913241f0b19ed817027be657fe08,8cfa8eba2cee3c984c3a2629e52955cf8577411b38f50e0610eb2c02324155d1
CR129,CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1_SEALED,041a487c30a8ee3d96dbf347e26e110c2808741b325769a910217d8bcfbeb710,041a487c30a8ee3d96dbf347e26e110c2808741b325769a910217d8bcfbeb710,,442a4f7531d6818c294d9f9a0b813723574791e858400ed278f8fc5f97d5b88a,4773df2d0b7198741f59b3b478c903fcc833b8e32f6aaddf5bf0ca9aa9714a13,836e8fbcfa1209d3dda1bc3947f684d65a613001282472392e397a84e3f2cbf4,30e12eb8bfc6d404541a9748c2c6357244352dc8823c0e7827a3db3a0cdb4aae
CR129b,CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1,ALREADY_REPAIRED,magnitude_lock_sha256,CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1_SEALED,8c3d0eb78b462cc1df0bfa1bbbcbdba189633e1ff05f076f801315c5091b30bd,8c3d0eb78b462cc1df0bfa1bbbcbdba189633e1ff05f076f801315c5091b30bd,,be3e314b46c5532b8be755ebbb0b699b8c55fbb872bb9cad96e4b06f2c765efc,57396c8ac8d63b9e67af6de28f2a839e2940feec532a2a9f896399296dcccf80,2eb5e87a920b60f989f2dd39f4efb0ea356eeadbc70803eac47db0904200fb22,98c90e831e9586e2ea092190c1af95e045cc601558c0841499fd494f5114d58a
CR129c,CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON,ALREADY_REPAIRED,universal_lock_sha256,CR129c_3BODY_UNIVERSAL_GENERATOR_SEALED,bfd5ab8c325656ffd3c34c88ab90bb0d1c486046241cf6a07c07506441bd8090,bfd5ab8c325656ffd3c34c88ab90bb0d1c486046241cf6a07c07506441bd8090,,924e7eedf5ea097bdda2891589d4c209df74d53d5d479802e67515eb74ad0d5b,5de2f436e9920a610d4a0ef464535a5c099c8779330893305def3a96470b6fac,b37cb070b8880de7c8fb511e8106279dd4a1f365039262cd61592152bce80929,5f63dcf7e3493225ed5df44141c9b0707fed0844e8c76ffe8dd994a22cbc78f7
CR130,CR130_2BODY_3BODY_STRUCTURAL_BRIDGE,ALREADY_REPAIRED,bridge_lock_sha256,CR130_2BODY_3BODY_STRUCTURAL_BRIDGE_SEALED,0a40209bc4c564a6437e8c1d01df2b294e35c7459340c244e28c3448bf73549c,0a40209bc4c564a6437e8c1d01df2b294e35c7459340c244e28c3448bf73549c,,ac38679e3c150449aa15def37a438ec6f600cd303a1969bf5faba4c29ada077a,21ab0933a683a54628e1bf598a9449519e129d6d2daa6bc47e8eb4fdbb2832e0,3be27eb9191028b68e734d9749e38b9c96c8f0ea08ff186bcc55bfad2310c9a3,22928c5fdde7cc9cbd9cc8f59a2f7dab392dcc03e1b5507e964904763931ad0f
CR131,CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1_SEALED,2aef1403da7f764a7e0666d12ea9ba974b09719154ce8f1f5da5d3fd456caceb,2aef1403da7f764a7e0666d12ea9ba974b09719154ce8f1f5da5d3fd456caceb,,388a4029f0621d89234598cc6d1ee604e078700238e0271a6f8e816110e1d123,022db0daad533007756162351727cd583d9e4feeaa6e5d0c8abc3d7927978a1a,5c3c148c7cfe0d64260ee16b4762d5d67256234d2af243a27e9856f220a0e213,e90bb5848949ef1713e9df0abb6b6f4d9ea83c1a19399fde95bef9de3988fce7
CR132,CR132_1BODY_CARRIER_LATTICE_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR132_1BODY_CARRIER_LATTICE_LAW_V1_SEALED,fbc25a887e01e8b6d5d84bb7a0fba8b4e26e1eca1b471caf3043dc9ba9559a32,fbc25a887e01e8b6d5d84bb7a0fba8b4e26e1eca1b471caf3043dc9ba9559a32,,5c2903acb54275aef413863226cf4fcef6f5514c15805ac03cf2ba3aade8ac36,9014dc8cd29bbce6b2256a7d059d9abf107a0a62a52ac33e6ae6087e90ec58b4,6897acca61d2407e8b1dc5ee36922be15e949ab1f37d8d6839d8c47d928ba078,4495b9d557717bc67a309c5bccaeb6b159514c589041095b7bc9caed0c721145
CR133,CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1_SEALED,1e7e08d8764ebdfeb4c4756495c78fb94236f63eea277f9d970db2ad3ddcf1e4,1e7e08d8764ebdfeb4c4756495c78fb94236f63eea277f9d970db2ad3ddcf1e4,,cb3710c42af5d429794902f1406eb770fdf8e40f50ebef1a5fe0455fb5f8bdb9,41bedcd8f590a525ede786644014fafec23228f997b346959b194453230a56ca,8b02eb267930bd04ab7500ec54395dc26e50d060e8e20c43594152066c1861bf,82fa822aadf0b40042beec57c3626daf5ce4310040ac7ffd0399c4a336e341d7
CR134,CR134_SOURCE_SUPPORT_PACKET_LAW_V1,ALREADY_REPAIRED,law_lock_sha256,CR134_SOURCE_SUPPORT_PACKET_LAW_V1_SEALED,6ab4944278530a359382303a4bacef4a1bcc8a939b7307925615a525aadcd997,6ab4944278530a359382303a4bacef4a1bcc8a939b7307925615a525aadcd997,,46c77cd912b932125228c8923e4705c4d36d0c1e2df14294f44d086d37856aff,cd43d402f6306e955a955281fa4d04e7165c2d31938d09fbfc9255fd185877e4,4b3b6bc2b478e153c506b350792cd1acd3054a783b540cc873c08903523131fd,43381e4db213a40515479429929d64bc9a40ca70c598899349d63bc8c6ebb482
