scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,history_010,history_110,history_101,carriers_escape_only,carriers_return_only,carriers_dual,dual_escape_before_closure,dual_fraction_escape_before_closure,dual_median_margin,root_failures,direction_failures
REF_0032,REFERENCE_LOW_DRIVE,low_drive,910004,3,dispersed_slots,9072,56,final,209122,20326,16,951,3,13,13,1.0,0.042251147932915956,0,0
REF_0129,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,0,localized_ledger_cells,2268,14,discovery,3346,21952,78,227,0,25,20,0.8,0.0276451366072763,0,0
REF_0130,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,0,dispersed_slots,2268,14,discovery,1742,413,2,213,2,0,0,,,0,0
REF_0131,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,1,localized_ledger_cells,3402,21,discovery,12463,33037,112,336,0,42,32,0.7619047619047619,0.03592667405617078,0,0
REF_0132,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,1,dispersed_slots,3402,21,discovery,9853,1522,6,332,2,4,4,1.0,0.2731238470446442,0,0
REF_0133,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,2,localized_ledger_cells,5346,33,discovery,53496,57447,91,563,0,31,21,0.6774193548387096,0.042685080836150746,0,0
REF_0134,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,2,dispersed_slots,5346,33,discovery,46846,5428,3,553,1,2,2,1.0,0.5167191393472592,0,0
REF_0135,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,3,localized_ledger_cells,9072,56,discovery,267026,119424,198,942,0,66,52,0.7878787878787878,0.07373053658766082,0,0
REF_0136,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,3,dispersed_slots,9072,56,discovery,218266,25053,19,947,4,15,15,1.0,0.047475260104675954,0,0
REF_0137,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,0,localized_ledger_cells,2268,14,discovery,3605,22598,64,230,0,22,16,0.7272727272727273,0.037796387194958925,0,0
REF_0138,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,0,dispersed_slots,2268,14,discovery,1698,396,0,214,0,0,0,,,0,0
REF_0139,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,1,localized_ledger_cells,3402,21,discovery,12706,34316,54,352,0,26,18,0.6923076923076923,0.0723137741288582,0,0
REF_0140,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,1,dispersed_slots,3402,21,discovery,9588,1501,3,336,1,2,2,1.0,0.26176905383815097,0,0
REF_0141,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,2,localized_ledger_cells,5346,33,discovery,55803,57115,83,559,0,35,32,0.9142857142857143,0.047895947397762484,0,0
REF_0142,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,2,dispersed_slots,5346,33,discovery,46565,5465,5,550,2,3,3,1.0,0.18101652422245706,0,0
REF_0143,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,3,localized_ledger_cells,9072,56,discovery,253342,124413,120,947,0,61,50,0.819672131147541,0.04694600003747951,0,0
REF_0144,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,3,dispersed_slots,9072,56,discovery,217971,25182,23,943,1,20,20,1.0,0.04760668625449682,0,0
REF_0145,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,0,localized_ledger_cells,2268,14,validation,3293,22904,40,234,0,18,14,0.7777777777777778,0.029050525344587186,0,0
REF_0146,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,0,dispersed_slots,2268,14,validation,1671,379,2,211,1,1,0,0.0,-0.05384916699159703,0,0
REF_0147,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,1,localized_ledger_cells,3402,21,validation,16042,33519,93,340,0,38,26,0.6842105263157895,0.024643552927003043,0,0
REF_0148,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,1,dispersed_slots,3402,21,validation,9440,1430,4,333,1,3,3,1.0,0.14229066283658653,0,0
REF_0149,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,2,localized_ledger_cells,5346,33,validation,57445,55308,101,561,0,33,24,0.7272727272727273,0.017695663272974116,0,0
REF_0150,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,2,dispersed_slots,5346,33,validation,46046,5335,7,545,1,6,6,1.0,0.10414820500160715,0,0
REF_0151,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,3,localized_ledger_cells,9072,56,validation,255344,122741,120,967,0,41,29,0.7073170731707317,0.020484706048307544,0,0
REF_0152,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,3,dispersed_slots,9072,56,validation,217720,24960,18,946,2,16,15,0.9375,0.04267489082468501,0,0
REF_0153,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,0,localized_ledger_cells,2268,14,final,4001,22434,75,222,0,30,24,0.8,0.041802311250108914,0,0
REF_0154,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,0,dispersed_slots,2268,14,final,1719,367,0,210,0,0,0,,,0,0
REF_0155,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,1,localized_ledger_cells,3402,21,final,10484,33131,127,340,0,38,31,0.8157894736842105,0.024243461008779832,0,0
REF_0156,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,1,dispersed_slots,3402,21,final,9545,1457,1,333,1,0,0,,,0,0
REF_0157,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,2,localized_ledger_cells,5346,33,final,64235,56808,126,559,0,35,28,0.8,0.03307969895180918,0,0
REF_0158,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,2,dispersed_slots,5346,33,final,46613,5419,2,553,1,1,1,1.0,0.1308811346256391,0,0
REF_0159,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,3,localized_ledger_cells,9072,56,final,296434,122151,103,968,0,40,31,0.775,0.055971175736374335,0,0
