scenario_id,seed,door,anchor,p_level,geometry,carrier_atom_index,tau_escape,tau_closure,dual,margin,escape_before_closure
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,491,1.1617577183622672,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,492,1.2557920926789308,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,493,1.2230084779452142,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,494,1.180324184556227,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,495,1.0792187663226258,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,496,1.2244888914269296,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,497,1.244876806539807,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,498,1.1490998629242455,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,499,1.181370621866094,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,500,1.2334950346145064,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,501,1.198860583479572,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,502,1.2038173243524142,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,503,1.1381898857953132,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,648,1.2032023162681043,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,649,1.1093518088473644,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,650,1.2076549785197557,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,651,1.0608696010718432,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,652,1.235890131503126,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,653,1.1916925016616773,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,654,1.1596809624289932,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,655,1.2245161140657643,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,656,1.1832498033847543,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,657,1.288553072266339,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,658,1.1287808671678619,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,659,1.1391169193379511,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,660,1.1001840543890324,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,661,1.2200400047671422,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,662,1.178453197039076,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,663,1.1186500343321342,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,664,1.2356359783436375,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,665,1.2298644462603505,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,810,1.0065868327522054,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,811,1.036753463930708,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,812,1.2037713843929367,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,813,1.0109141689855363,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,814,1.033347152810066,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,815,1.086675726982648,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,816,1.2197801994993398,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,817,1.1735894640373914,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,818,1.0053808901572125,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,819,1.0278228922045258,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,820,1.0915785689740716,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,821,1.172144086711441,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,822,1.0754805969637715,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,823,1.1748758566659632,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,824,1.1385933317959456,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,825,1.106539110090452,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,826,1.0078026028026983,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,827,1.123029740678831,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,972,1.0006726405655826,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,973,1.1647183318717538,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,974,1.1078876933433008,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,975,1.0434047133322082,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,976,1.1859293210675759,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,977,1.1784320207923002,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,978,1.073589870667817,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,979,1.0303292039491652,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,980,1.1141464278644406,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,981,1.033015399543089,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,982,1.1034902218253109,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,983,1.0205179425582713,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,984,1.0200773356759356,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,985,1.0931083986615846,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,986,1.2044462224659043,,False,,
