scenario_id,history_code,expected,observed,matched
REF_0001,001,77,77,True
REF_0001,010,3099,3099,True
REF_0001,011,429,429,True
REF_0001,100,925,925,True
REF_0001,101,121,121,True
REF_0001,110,19678,19678,True
REF_0001,111,6388,6388,True
REF_0002,001,66,66,True
REF_0002,010,1656,1656,True
REF_0002,011,96,96,True
REF_0002,100,30,30,True
REF_0002,101,2,2,True
REF_0002,110,339,339,True
REF_0002,111,139,139,True
REF_0003,001,165,165,True
REF_0003,010,11748,11748,True
REF_0003,011,1025,1025,True
REF_0003,100,1234,1234,True
REF_0003,101,138,138,True
REF_0003,110,29129,29129,True
REF_0003,111,9811,9811,True
REF_0004,001,264,264,True
REF_0004,010,9469,9469,True
REF_0004,011,443,443,True
REF_0004,100,55,55,True
REF_0004,101,10,10,True
REF_0004,110,1222,1222,True
REF_0004,111,528,528,True
REF_0005,001,579,579,True
REF_0005,010,50188,50188,True
REF_0005,011,4216,4216,True
REF_0005,100,1200,1200,True
REF_0005,101,135,135,True
REF_0005,110,49577,49577,True
REF_0005,111,17978,17978,True
REF_0006,001,1010,1010,True
REF_0006,010,45008,45008,True
REF_0006,011,2211,2211,True
REF_0006,100,109,109,True
REF_0006,101,8,8,True
REF_0006,110,4335,4335,True
REF_0006,111,1877,1877,True
REF_0007,001,5607,5607,True
REF_0007,010,250837,250837,True
REF_0007,011,20264,20264,True
REF_0007,100,3982,3982,True
REF_0007,101,258,258,True
REF_0007,110,100902,100902,True
REF_0007,111,38172,38172,True
REF_0008,001,4085,4085,True
REF_0008,010,209130,209130,True
REF_0008,011,11001,11001,True
REF_0008,100,198,198,True
REF_0008,101,22,22,True
REF_0008,110,20352,20352,True
REF_0008,111,7583,7583,True
REF_0009,001,58,58,True
REF_0009,010,3325,3325,True
REF_0009,011,422,422,True
REF_0009,100,901,901,True
REF_0009,101,79,79,True
REF_0009,110,20505,20505,True
REF_0009,111,5439,5439,True
REF_0010,001,69,69,True
REF_0010,010,1634,1634,True
REF_0010,011,79,79,True
REF_0010,100,19,19,True
REF_0010,101,1,1,True
REF_0010,110,336,336,True
REF_0010,111,136,136,True
REF_0011,001,706,706,True
REF_0011,010,11876,11876,True
REF_0011,011,1168,1168,True
REF_0011,100,824,824,True
REF_0011,101,78,78,True
REF_0011,110,30556,30556,True
REF_0011,111,9379,9379,True
REF_0012,001,308,308,True
REF_0012,010,9250,9250,True
REF_0012,011,408,408,True
REF_0012,100,32,32,True
REF_0012,101,4,4,True
REF_0012,110,1230,1230,True
REF_0012,111,490,490,True
REF_0013,001,2477,2477,True
REF_0013,010,52492,52492,True
REF_0013,011,4106,4106,True
REF_0013,100,1103,1103,True
REF_0013,101,107,107,True
REF_0013,110,49742,49742,True
REF_0013,111,16682,16682,True
REF_0014,001,1249,1249,True
REF_0014,010,44637,44637,True
REF_0014,011,2328,2328,True
REF_0014,100,68,68,True
REF_0014,101,4,4,True
REF_0014,110,4384,4384,True
REF_0014,111,1905,1905,True
REF_0015,001,9334,9334,True
REF_0015,010,237808,237808,True
REF_0015,011,19203,19203,True
REF_0015,100,1456,1456,True
REF_0015,101,163,163,True
REF_0015,110,105538,105538,True
REF_0015,111,39355,39355,True
REF_0016,001,4380,4380,True
REF_0016,010,208758,208758,True
REF_0016,011,11089,11089,True
REF_0016,100,137,137,True
REF_0016,101,26,26,True
REF_0016,110,20419,20419,True
REF_0016,111,7708,7708,True
REF_0017,001,62,62,True
REF_0017,010,3053,3053,True
REF_0017,011,396,396,True
REF_0017,100,869,869,True
REF_0017,101,66,66,True
REF_0017,110,20932,20932,True
REF_0017,111,5368,5368,True
REF_0018,001,56,56,True
REF_0018,010,1580,1580,True
REF_0018,011,106,106,True
REF_0018,100,36,36,True
REF_0018,101,3,3,True
REF_0018,110,307,307,True
REF_0018,111,140,140,True
REF_0019,001,147,147,True
REF_0019,010,15258,15258,True
REF_0019,011,1092,1092,True
REF_0019,100,1194,1194,True
REF_0019,101,126,126,True
REF_0019,110,29833,29833,True
REF_0019,111,8983,8983,True
REF_0020,001,286,286,True
REF_0020,010,9049,9049,True
REF_0020,011,461,461,True
REF_0020,100,67,67,True
REF_0020,101,5,5,True
REF_0020,110,1173,1173,True
REF_0020,111,487,487,True
REF_0021,001,573,573,True
REF_0021,010,53852,53852,True
REF_0021,011,4776,4776,True
REF_0021,100,1038,1038,True
REF_0021,101,153,153,True
REF_0021,110,48156,48156,True
REF_0021,111,16533,16533,True
REF_0022,001,1128,1128,True
REF_0022,010,44189,44189,True
REF_0022,011,2281,2281,True
REF_0022,100,128,128,True
REF_0022,101,11,11,True
REF_0022,110,4247,4247,True
REF_0022,111,1916,1916,True
REF_0023,001,1578,1578,True
REF_0023,010,239553,239553,True
REF_0023,011,19896,19896,True
REF_0023,100,1607,1607,True
REF_0023,101,155,155,True
REF_0023,110,103467,103467,True
REF_0023,111,39654,39654,True
REF_0024,001,4447,4447,True
REF_0024,010,208373,208373,True
REF_0024,011,11220,11220,True
REF_0024,100,210,210,True
REF_0024,101,20,20,True
REF_0024,110,20302,20302,True
REF_0024,111,7506,7506,True
REF_0025,001,89,89,True
REF_0025,010,3756,3756,True
REF_0025,011,392,392,True
REF_0025,100,1096,1096,True
REF_0025,101,104,104,True
REF_0025,110,20148,20148,True
REF_0025,111,5841,5841,True
REF_0026,001,82,82,True
REF_0026,010,1658,1658,True
REF_0026,011,70,70,True
REF_0026,100,20,20,True
REF_0026,101,0,0,True
REF_0026,110,293,293,True
REF_0026,111,143,143,True
REF_0027,001,196,196,True
REF_0027,010,9784,9784,True
REF_0027,011,991,991,True
REF_0027,100,1298,1298,True
REF_0027,101,168,168,True
REF_0027,110,29425,29425,True
REF_0027,111,9446,9446,True
REF_0028,001,265,265,True
REF_0028,010,9160,9160,True
REF_0028,011,451,451,True
REF_0028,100,35,35,True
REF_0028,101,2,2,True
REF_0028,110,1201,1201,True
REF_0028,111,477,477,True
REF_0029,001,2011,2011,True
REF_0029,010,60207,60207,True
REF_0029,011,5288,5288,True
REF_0029,100,1252,1252,True
REF_0029,101,168,168,True
REF_0029,110,49684,49684,True
REF_0029,111,16224,16224,True
REF_0030,001,1149,1149,True
REF_0030,010,44690,44690,True
REF_0030,011,2392,2392,True
REF_0030,100,65,65,True
REF_0030,101,5,5,True
REF_0030,110,4301,4301,True
REF_0030,111,1974,1974,True
REF_0031,001,9082,9082,True
REF_0031,010,279261,279261,True
REF_0031,011,21533,21533,True
REF_0031,100,1477,1477,True
REF_0031,101,143,143,True
REF_0031,110,103942,103942,True
REF_0031,111,36685,36685,True
REF_0032,001,4126,4126,True
REF_0032,010,209122,209122,True
REF_0032,011,11071,11071,True
REF_0032,100,124,124,True
REF_0032,101,16,16,True
REF_0032,110,20326,20326,True
REF_0032,111,7646,7646,True
REF_0129,001,44,44,True
REF_0129,010,3346,3346,True
REF_0129,011,182,182,True
REF_0129,100,968,968,True
REF_0129,101,78,78,True
REF_0129,110,21952,21952,True
REF_0129,111,4114,4114,True
REF_0130,001,32,32,True
REF_0130,010,1742,1742,True
REF_0130,011,10,10,True
REF_0130,100,30,30,True
REF_0130,101,2,2,True
REF_0130,110,413,413,True
REF_0130,111,65,65,True
REF_0131,001,86,86,True
REF_0131,010,12463,12463,True
REF_0131,011,310,310,True
REF_0131,100,1260,1260,True
REF_0131,101,112,112,True
REF_0131,110,33037,33037,True
REF_0131,111,5903,5903,True
REF_0132,001,131,131,True
REF_0132,010,9853,9853,True
REF_0132,011,59,59,True
REF_0132,100,59,59,True
REF_0132,101,6,6,True
REF_0132,110,1522,1522,True
REF_0132,111,228,228,True
REF_0133,001,285,285,True
REF_0133,010,53496,53496,True
REF_0133,011,908,908,True
REF_0133,100,1244,1244,True
REF_0133,101,91,91,True
REF_0133,110,57447,57447,True
REF_0133,111,10108,10108,True
REF_0134,001,491,491,True
REF_0134,010,46846,46846,True
REF_0134,011,373,373,True
REF_0134,100,114,114,True
REF_0134,101,3,3,True
REF_0134,110,5428,5428,True
REF_0134,111,784,784,True
REF_0135,001,1971,1971,True
REF_0135,010,267026,267026,True
REF_0135,011,4075,4075,True
REF_0135,100,4042,4042,True
REF_0135,101,198,198,True
REF_0135,110,119424,119424,True
REF_0135,111,19650,19650,True
REF_0136,001,1830,1830,True
REF_0136,010,218266,218266,True
REF_0136,011,1865,1865,True
REF_0136,100,201,201,True
REF_0136,101,19,19,True
REF_0136,110,25053,25053,True
REF_0136,111,2882,2882,True
REF_0137,001,40,40,True
REF_0137,010,3605,3605,True
REF_0137,011,142,142,True
REF_0137,100,916,916,True
REF_0137,101,64,64,True
REF_0137,110,22598,22598,True
REF_0137,111,3346,3346,True
REF_0138,001,40,40,True
REF_0138,010,1698,1698,True
REF_0138,011,15,15,True
REF_0138,100,20,20,True
REF_0138,101,0,0,True
REF_0138,110,396,396,True
REF_0138,111,76,76,True
REF_0139,001,363,363,True
REF_0139,010,12706,12706,True
REF_0139,011,338,338,True
REF_0139,100,848,848,True
REF_0139,101,54,54,True
REF_0139,110,34316,34316,True
REF_0139,111,5619,5619,True
REF_0140,001,149,149,True
REF_0140,010,9588,9588,True
REF_0140,011,70,70,True
REF_0140,100,33,33,True
REF_0140,101,3,3,True
REF_0140,110,1501,1501,True
REF_0140,111,219,219,True
REF_0141,001,1188,1188,True
REF_0141,010,55803,55803,True
REF_0141,011,795,795,True
REF_0141,100,1127,1127,True
REF_0141,101,83,83,True
REF_0141,110,57115,57115,True
REF_0141,111,9309,9309,True
REF_0142,001,553,553,True
REF_0142,010,46565,46565,True
REF_0142,011,400,400,True
REF_0142,100,67,67,True
REF_0142,101,5,5,True
REF_0142,110,5465,5465,True
