graph_id,species_id,chemical_species,formal_charge,variant_id,variant_name,variant_class,selection_status,core_atom_count,core_bond_count,envelope_contact_count,node_count,edge_count,core_degree_sequence,topology_fingerprint,charge_typed_fingerprint,observed_targets_used,gate_selector_status,physical_coordination_claim,species_selectivity_status
SP04_EV04_CORE_ONLY_CONTROL,SP04,Mg2+,2,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,c748782c24019002e19b,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV01_OCT6_PRIMARY,SP05,Ca2+,2,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,19923b433f7faa1d5892,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV02_TET4_EVEN_CONTROL,SP05,Ca2+,2,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,7687b87d7d4833517a1d,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV03_TET4_ODD_CONTROL,SP05,Ca2+,2,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,7687b87d7d4833517a1d,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV04_CORE_ONLY_CONTROL,SP05,Ca2+,2,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,c748782c24019002e19b,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV01_OCT6_PRIMARY,SP06,Cl-,-1,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,a0ed50ddb5f2fdb584e9,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV02_TET4_EVEN_CONTROL,SP06,Cl-,-1,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,6ba587c7b618e0f04d23,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV03_TET4_ODD_CONTROL,SP06,Cl-,-1,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,6ba587c7b618e0f04d23,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV04_CORE_ONLY_CONTROL,SP06,Cl-,-1,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,02f18e17e829f1376b99,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP07_EV01_OCT6_PRIMARY,SP07,SO4^2-,-2,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,5,4,6,12,15,4;1;1;1;1,5f52b94fea9be21b3a6b,05276086bd79ede154dd,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP07_EV02_TET4_EVEN_CONTROL,SP07,SO4^2-,-2,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,5,4,4,10,13,4;1;1;1;1,4b9f4e5b56ea44083c89,83c2607391f6fe5c14a2,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP07_EV03_TET4_ODD_CONTROL,SP07,SO4^2-,-2,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,5,4,4,10,13,4;1;1;1;1,4b9f4e5b56ea44083c89,83c2607391f6fe5c14a2,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP07_EV04_CORE_ONLY_CONTROL,SP07,SO4^2-,-2,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,5,4,0,6,9,4;1;1;1;1,8624a9fbe500ad025e7c,165c5a50046fb12b9854,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP08_EV01_OCT6_PRIMARY,SP08,B(OH)3,0,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,7,6,6,14,19,3;2;2;2;1;1;1,dd2c2d9f7472b42b8b7b,abd8c19638eac313bd2f,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP08_EV02_TET4_EVEN_CONTROL,SP08,B(OH)3,0,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,7,6,4,12,17,3;2;2;2;1;1;1,0396bf961855499fbd5f,51b85dccdc94b4d1e938,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP08_EV03_TET4_ODD_CONTROL,SP08,B(OH)3,0,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,7,6,4,12,17,3;2;2;2;1;1;1,0396bf961855499fbd5f,51b85dccdc94b4d1e938,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP08_EV04_CORE_ONLY_CONTROL,SP08,B(OH)3,0,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,7,6,0,8,13,3;2;2;2;1;1;1,029a02bbed268cc90f20,d17cee74a183490afbeb,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP09_EV01_OCT6_PRIMARY,SP09,B(OH)4-,-1,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,9,8,6,16,23,4;2;2;2;2;1;1;1;1,82a6bfa853097cbe45a4,1debd71636003b5afdac,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP09_EV02_TET4_EVEN_CONTROL,SP09,B(OH)4-,-1,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,9,8,4,14,21,4;2;2;2;2;1;1;1;1,b8cc68ab404122b975e2,893907d1921f4847176f,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP09_EV03_TET4_ODD_CONTROL,SP09,B(OH)4-,-1,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,9,8,4,14,21,4;2;2;2;2;1;1;1;1,b8cc68ab404122b975e2,893907d1921f4847176f,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP09_EV04_CORE_ONLY_CONTROL,SP09,B(OH)4-,-1,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,9,8,0,10,17,4;2;2;2;2;1;1;1;1,727e6e2b5ff0c1e0c3d4,ef1a29d58071c234b85b,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
