graph_id,node_id,node_type,element_or_unit,formal_charge,role,port_label,source_provenance,physical_entity_claim
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_FRAME,SPECIES_FRAME,VIRTUAL,0,TOTAL_CHARGE_AND_ENVELOPE_FRAME,,SP01:formal_charge,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_CORE_H1,CORE_ATOM,H,0,core_atom,,H2O identity,formula_identity_only
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_CORE_H2,CORE_ATOM,H,0,core_atom,,H2O identity,formula_identity_only
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_CORE_O1,CORE_ATOM,O,0,core_atom,,H2O identity,formula_identity_only
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_W01,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,-x,CR120U six signed-axis vertices,candidate_not_measured_coordination
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_W02,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,+x,CR120U six signed-axis vertices,candidate_not_measured_coordination
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_W03,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,-y,CR120U six signed-axis vertices,candidate_not_measured_coordination
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_W04,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,+y,CR120U six signed-axis vertices,candidate_not_measured_coordination
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_W05,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,-z,CR120U six signed-axis vertices,candidate_not_measured_coordination
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_W06,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,+z,CR120U six signed-axis vertices,candidate_not_measured_coordination
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SPECIES_FRAME,VIRTUAL,0,TOTAL_CHARGE_AND_ENVELOPE_FRAME,,SP01:formal_charge,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_CORE_H1,CORE_ATOM,H,0,core_atom,,H2O identity,formula_identity_only
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_CORE_H2,CORE_ATOM,H,0,core_atom,,H2O identity,formula_identity_only
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_CORE_O1,CORE_ATOM,O,0,core_atom,,H2O identity,formula_identity_only
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_W01,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,000,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_W02,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,011,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_W03,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,101,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_W04,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,110,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_FRAME,SPECIES_FRAME,VIRTUAL,0,TOTAL_CHARGE_AND_ENVELOPE_FRAME,,SP01:formal_charge,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_CORE_H1,CORE_ATOM,H,0,core_atom,,H2O identity,formula_identity_only
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_CORE_H2,CORE_ATOM,H,0,core_atom,,H2O identity,formula_identity_only
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_CORE_O1,CORE_ATOM,O,0,core_atom,,H2O identity,formula_identity_only
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_W01,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,001,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_W02,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,010,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_W03,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,100,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_W04,HYDRATION_WATER,H2O_COARSE,0,ENVELOPE_SUPPORT_CANDIDATE,111,CR120U tetrahedral realization not globally excluded,candidate_not_measured_coordination
SP01_EV04_CORE_ONLY_CONTROL,SP01_EV04_CORE_ONLY_CONTROL_FRAME,SPECIES_FRAME,VIRTUAL,0,TOTAL_CHARGE_AND_ENVELOPE_FRAME,,SP01:formal_charge,false
