group_id,variant_name,charge_typed_fingerprint,formal_charge,species_count,species,tie_status,physical_tiebreaker_available
DG001,CORE_ONLY_CONTROL,02f18e17e829f1376b99,-1,1,Cl-,SINGLETON,false
DG002,CORE_ONLY_CONTROL,165c5a50046fb12b9854,-2,1,SO4^2-,SINGLETON,false
DG003,CORE_ONLY_CONTROL,519dd9274eea527b6a0b,0,1,H2O,SINGLETON,false
DG004,CORE_ONLY_CONTROL,c748782c24019002e19b,2,2,Ca2+;Mg2+,EXPLICIT_TOPOLOGY_TIE,false
DG005,CORE_ONLY_CONTROL,d17cee74a183490afbeb,0,1,B(OH)3,SINGLETON,false
DG006,CORE_ONLY_CONTROL,ef1a29d58071c234b85b,-1,1,B(OH)4-,SINGLETON,false
DG007,CORE_ONLY_CONTROL,efcc3e1814e378464262,1,2,K+;Na+,EXPLICIT_TOPOLOGY_TIE,false
DG008,OCT6_PRIMARY,05276086bd79ede154dd,-2,1,SO4^2-,SINGLETON,false
DG009,OCT6_PRIMARY,07971c921355b06d6198,0,1,H2O,SINGLETON,false
DG010,OCT6_PRIMARY,19923b433f7faa1d5892,2,2,Ca2+;Mg2+,EXPLICIT_TOPOLOGY_TIE,false
DG011,OCT6_PRIMARY,1debd71636003b5afdac,-1,1,B(OH)4-,SINGLETON,false
DG012,OCT6_PRIMARY,5357a475928e51739587,1,2,K+;Na+,EXPLICIT_TOPOLOGY_TIE,false
DG013,OCT6_PRIMARY,a0ed50ddb5f2fdb584e9,-1,1,Cl-,SINGLETON,false
DG014,OCT6_PRIMARY,abd8c19638eac313bd2f,0,1,B(OH)3,SINGLETON,false
DG015,TET4_EVEN_CONTROL,2ea8414b3643ec9935e1,1,2,K+;Na+,EXPLICIT_TOPOLOGY_TIE,false
DG016,TET4_EVEN_CONTROL,51b85dccdc94b4d1e938,0,1,B(OH)3,SINGLETON,false
DG017,TET4_EVEN_CONTROL,6ba587c7b618e0f04d23,-1,1,Cl-,SINGLETON,false
DG018,TET4_EVEN_CONTROL,7687b87d7d4833517a1d,2,2,Ca2+;Mg2+,EXPLICIT_TOPOLOGY_TIE,false
DG019,TET4_EVEN_CONTROL,83c2607391f6fe5c14a2,-2,1,SO4^2-,SINGLETON,false
DG020,TET4_EVEN_CONTROL,893907d1921f4847176f,-1,1,B(OH)4-,SINGLETON,false
DG021,TET4_EVEN_CONTROL,fd65cc764f260364f541,0,1,H2O,SINGLETON,false
DG022,TET4_ODD_CONTROL,2ea8414b3643ec9935e1,1,2,K+;Na+,EXPLICIT_TOPOLOGY_TIE,false
DG023,TET4_ODD_CONTROL,51b85dccdc94b4d1e938,0,1,B(OH)3,SINGLETON,false
DG024,TET4_ODD_CONTROL,6ba587c7b618e0f04d23,-1,1,Cl-,SINGLETON,false
DG025,TET4_ODD_CONTROL,7687b87d7d4833517a1d,2,2,Ca2+;Mg2+,EXPLICIT_TOPOLOGY_TIE,false
DG026,TET4_ODD_CONTROL,83c2607391f6fe5c14a2,-2,1,SO4^2-,SINGLETON,false
DG027,TET4_ODD_CONTROL,893907d1921f4847176f,-1,1,B(OH)4-,SINGLETON,false
DG028,TET4_ODD_CONTROL,fd65cc764f260364f541,0,1,H2O,SINGLETON,false
