species_id,bond_id,node_u,node_v,edge_type,source_basis
SP01,B01,O1,H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity
SP01,B02,O1,H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity
SP07,B01,S1,O1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,SO4^2- formula connectivity
SP07,B02,S1,O2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,SO4^2- formula connectivity
SP07,B03,S1,O3,DECLARED_CONNECTIVITY_NO_BOND_ORDER,SO4^2- formula connectivity
SP07,B04,S1,O4,DECLARED_CONNECTIVITY_NO_BOND_ORDER,SO4^2- formula connectivity
SP08,B01,B1,O1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)3 formula connectivity
SP08,B02,B1,O2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)3 formula connectivity
SP08,B03,B1,O3,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)3 formula connectivity
SP08,B04,O1,H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)3 formula connectivity
SP08,B05,O2,H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)3 formula connectivity
SP08,B06,O3,H3,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)3 formula connectivity
SP09,B01,B1,O1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B02,B1,O2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B03,B1,O3,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B04,B1,O4,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B05,O1,H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B06,O2,H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B07,O3,H3,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
SP09,B08,O4,H4,DECLARED_CONNECTIVITY_NO_BOND_ORDER,B(OH)4- formula connectivity
