ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
1879,-4.772661e+01,8.993674e+01,1.107806e+01,5.880467e+01,0.6538
1880,9.770705e+01,9.020227e+01,1.109889e+01,-8.660815e+01,-0.9602
1881,2.252631e+01,9.046857e+01,1.111879e+01,-1.140753e+01,-0.1261
1882,1.466933e+02,9.073564e+01,1.113790e+01,-1.355553e+02,-1.4940
1883,-1.240095e+02,9.100349e+01,1.115618e+01,1.351657e+02,1.4853
1884,1.409190e+01,9.127213e+01,1.117363e+01,-2.918262e+00,-0.0320
1885,1.456776e+02,9.154155e+01,1.119013e+01,-1.344875e+02,-1.4691
1886,3.278645e+01,9.181176e+01,1.120575e+01,-2.158070e+01,-0.2351
1887,-1.840886e+01,9.208276e+01,1.122052e+01,2.962938e+01,0.3218
1888,-2.098768e+02,9.235456e+01,1.123437e+01,2.211111e+02,2.3942
1889,-4.213174e+01,9.262715e+01,1.124731e+01,5.337905e+01,0.5763
1890,2.759896e+01,9.290053e+01,1.125936e+01,-1.633960e+01,-0.1759
1891,1.222671e+02,9.317472e+01,1.127045e+01,-1.109966e+02,-1.1913
1892,1.428702e+02,9.344972e+01,1.128060e+01,-1.315896e+02,-1.4081
1893,-1.506641e+02,9.372550e+01,1.128982e+01,1.619539e+02,1.7280
1894,-1.407082e+01,9.400210e+01,1.129812e+01,2.536894e+01,0.2699
1895,-2.932619e+01,9.427950e+01,1.130551e+01,4.063170e+01,0.4310
1896,9.343278e+01,9.455774e+01,1.131193e+01,-8.212085e+01,-0.8685
1897,-1.220873e-01,9.483680e+01,1.131739e+01,1.143948e+01,0.1206
1898,-1.658213e+02,9.511664e+01,1.132183e+01,1.771431e+02,1.8624
1899,9.394631e+01,9.539731e+01,1.132534e+01,-8.262097e+01,-0.8661
1900,-1.764752e+01,9.567879e+01,1.132784e+01,2.897536e+01,0.3028
1901,-3.979592e+01,9.596109e+01,1.132935e+01,5.112527e+01,0.5328
1902,9.967485e+01,9.624421e+01,1.132981e+01,-8.834504e+01,-0.9179
1903,-2.218273e+02,9.652816e+01,1.132938e+01,2.331566e+02,2.4154
1904,-1.603493e+02,9.681294e+01,1.132785e+01,1.716772e+02,1.7733
1905,-3.880917e+01,9.709855e+01,1.132537e+01,5.013454e+01,0.5163
1906,-1.217968e+02,9.738499e+01,1.132189e+01,1.331187e+02,1.3669
1907,-6.753735e+01,9.767227e+01,1.131743e+01,7.885478e+01,0.8073
1908,7.446288e+01,9.796038e+01,1.131198e+01,-6.315090e+01,-0.6447
1909,-1.315705e+02,9.824934e+01,1.130556e+01,1.428761e+02,1.4542
1910,1.545513e+02,9.853913e+01,1.129811e+01,-1.432532e+02,-1.4538
1911,1.677963e+02,9.882977e+01,1.128963e+01,-1.565067e+02,-1.5836
1912,2.321973e+01,9.912129e+01,1.128022e+01,-1.193950e+01,-0.1205
1913,6.922414e+01,9.941366e+01,1.126982e+01,-5.795433e+01,-0.5830
1914,7.472569e+00,9.970684e+01,1.125842e+01,3.785847e+00,0.0380
1915,-1.347928e+02,1.000009e+02,1.124604e+01,1.460389e+02,1.4604
1916,1.560141e+02,1.002958e+02,1.123261e+01,-1.447815e+02,-1.4435
1917,5.382109e+01,1.005916e+02,1.121830e+01,-4.260279e+01,-0.4235
1918,9.962879e+01,1.008882e+02,1.120296e+01,-8.842583e+01,-0.8765
1919,5.966877e+01,1.011857e+02,1.118676e+01,-4.848201e+01,-0.4791
1920,-8.997387e+01,1.014841e+02,1.116955e+01,1.011434e+02,0.9966
1921,8.071344e+01,1.017833e+02,1.115141e+01,-6.956203e+01,-0.6834
1922,3.363244e+01,1.020834e+02,1.113229e+01,-2.250016e+01,-0.2204
1923,-8.436341e+01,1.023844e+02,1.111233e+01,9.547574e+01,0.9325
1924,-8.674294e+00,1.026863e+02,1.109147e+01,1.976577e+01,0.1925
1925,4.906706e+01,1.029890e+02,1.106965e+01,-3.799741e+01,-0.3689
1926,-2.276002e+02,1.032926e+02,1.104694e+01,2.386471e+02,2.3104
1927,1.798652e+02,1.035972e+02,1.102336e+01,-1.688419e+02,-1.6298
1928,1.717422e+02,1.039026e+02,1.099892e+01,-1.607433e+02,-1.5471
1929,-4.497802e+01,1.042089e+02,1.097353e+01,5.595155e+01,0.5369
1930,1.802104e+02,1.045161e+02,1.094730e+01,-1.692631e+02,-1.6195
1931,-1.194342e+01,1.048243e+02,1.092021e+01,2.286364e+01,0.2181
1932,-6.911883e+01,1.051333e+02,1.089236e+01,8.001120e+01,0.7610
1933,-4.612651e+01,1.054432e+02,1.086361e+01,5.699012e+01,0.5405
1934,1.114449e+02,1.057540e+02,1.083403e+01,-1.006108e+02,-0.9514
1935,-6.564053e-02,1.060657e+02,1.080362e+01,1.086926e+01,0.1025
1936,-1.598179e+01,1.063784e+02,1.077241e+01,2.675420e+01,0.2515
1937,1.781225e+02,1.066920e+02,1.074046e+01,-1.673821e+02,-1.5688
1938,-1.253564e+02,1.070064e+02,1.070770e+01,1.360641e+02,1.2716
1939,-3.590754e+01,1.073218e+02,1.067422e+01,4.658176e+01,0.4340
