cr_id,role,summary_exists,scientific_verdict,execution_status,summary_path,summary_sha256,status
CR059,input_boundary,True,BOUNDARY,CLEAN,C:/VS/The_Courtroom/09_PARTICLE_MASS_CHAIN/CR059_PARTICLE_ENGINE_ALLOWED_INPUTS/CR059_summary.json,f9a170f1a91b3c4286071c394a65812c4d9bf847950a40ffeb5c2477b9adf088,ok
CR060,selector_provenance,True,BOUNDARY,CLEAN,C:/VS/The_Courtroom/09_PARTICLE_MASS_CHAIN/CR060_SELECTOR_PROVENANCE_AND_FORBIDDEN_TARGETS/CR060_summary.json,acbb61b98ec26b5e87adbe0e1c4021f189a6d96ced70eeddcef5de1f217030f7,ok
CR061,mass_chain_reproduction,True,PASS_SCOPED_STRUCTURAL,CLEAN,C:/VS/The_Courtroom/09_PARTICLE_MASS_CHAIN/CR061_MASS_CHAIN_REPRODUCTION/CR061_summary.json,1fe0fc60befc101e987deec23d07a208db0b7304171bbcd3b0525ec6efd2d72c,ok
CR062,k1_row_by_row_ledger,True,PASS_SCOPED_K1_ROW_LEVEL,CLEAN,C:/VS/The_Courtroom/09_PARTICLE_MASS_CHAIN/CR062_ROW_BY_ROW_PARTICLE_LEDGER/CR062_summary.json,53d9c54c1c92b67207235c4d745b283eeaff483e694693b44b216d0bf04e7073,ok
CR063,honest_negatives,True,PASS_HONEST_NEGATIVES_REJECT,CLEAN,C:/VS/The_Courtroom/09_PARTICLE_MASS_CHAIN/CR063_WRONG_CONTROLS_AND_NEAR_NEIGHBORS/CR063_summary.json,8e10d8db75cee4af481145afe86423880d2d31bbf5dd0ed268325b6b2b5160e5,ok
