mode,l,n,target_R,best_R_expr,best_R_value,best_R_err_pct,best_R_status,target_I,best_I_expr,best_I_value,best_I_err_pct,best_I_status
l=2 n=1 (overtone),2,1,0.34671,V/(F-PI),0.3467833586663378,0.021158508937667242,PASS,0.27391,(PI*PI)/(R*d),0.27415567780803773,0.08969289476023057,PASS
l=3 n=0 (fundamental),3,0,0.59944,F/(L-V),0.6,0.09342052582410333,PASS,0.0927,(R+d)/L,0.09259259259259259,0.11586559590875636,PASS
l=3 n=1 (overtone),3,1,0.58264,M/(S*V),0.5833333333333334,0.11899858117076127,PASS,0.28129,F/(L+M),0.28125,0.014220199793801592,PASS
l=4 n=0 (fundamental),4,0,0.80918,S/(PI*PI),0.8105694691387022,0.17171323298922278,PASS,0.09416,S/(PI*V),0.0943140403507528,0.1635942552599935,PASS
l=5 n=0 (fundamental),5,0,1.01229,(L+h)/L,1.0123456790123457,0.0055003025166525145,PASS,0.09487,S/(F+PI),0.09507782949790278,0.219067669339919,PASS
