isotope,Z,N,A,u_ok,d_ok,e_ok,Q_mass_ok,Q_sub_ok,dQ_ok
H-2,1,1,2,True,True,True,True,True,True
H-3,1,2,3,True,True,True,True,True,True
He-4,2,2,4,True,True,True,True,True,True
Li-6,3,3,6,True,True,True,True,True,True
Li-7,3,4,7,True,True,True,True,True,True
Be-8,4,4,8,True,True,True,True,True,True
Be-9,4,5,9,True,True,True,True,True,True
B-10,5,5,10,True,True,True,True,True,True
B-11,5,6,11,True,True,True,True,True,True
C-12,6,6,12,True,True,True,True,True,True
C-13,6,7,13,True,True,True,True,True,True
C-14,6,8,14,True,True,True,True,True,True
N-14,7,7,14,True,True,True,True,True,True
N-15,7,8,15,True,True,True,True,True,True
O-16,8,8,16,True,True,True,True,True,True
O-17,8,9,17,True,True,True,True,True,True
O-18,8,10,18,True,True,True,True,True,True
F-19,9,10,19,True,True,True,True,True,True
Ne-20,10,10,20,True,True,True,True,True,True
Ne-22,10,12,22,True,True,True,True,True,True
Na-23,11,12,23,True,True,True,True,True,True
Mg-24,12,12,24,True,True,True,True,True,True
Mg-25,12,13,25,True,True,True,True,True,True
Mg-26,12,14,26,True,True,True,True,True,True
Al-27,13,14,27,True,True,True,True,True,True
Si-28,14,14,28,True,True,True,True,True,True
P-31,15,16,31,True,True,True,True,True,True
S-32,16,16,32,True,True,True,True,True,True
Cl-35,17,18,35,True,True,True,True,True,True
Ar-40,18,22,40,True,True,True,True,True,True
Ca-40,20,20,40,True,True,True,True,True,True
Ti-48,22,26,48,True,True,True,True,True,True
Fe-56,26,30,56,True,True,True,True,True,True
Ni-58,28,30,58,True,True,True,True,True,True
Cu-63,29,34,63,True,True,True,True,True,True
Zn-64,30,34,64,True,True,True,True,True,True
Br-79,35,44,79,True,True,True,True,True,True
Kr-84,36,48,84,True,True,True,True,True,True
Ag-107,47,60,107,True,True,True,True,True,True
Sn-120,50,70,120,True,True,True,True,True,True
I-127,53,74,127,True,True,True,True,True,True
Xe-132,54,78,132,True,True,True,True,True,True
Cs-133,55,78,133,True,True,True,True,True,True
Au-197,79,118,197,True,True,True,True,True,True
Hg-200,80,120,200,True,True,True,True,True,True
Pb-208,82,126,208,True,True,True,True,True,True
Th-232,90,142,232,True,True,True,True,True,True
U-235,92,143,235,True,True,True,True,True,True
U-238,92,146,238,True,True,True,True,True,True
Ti-46,22,24,46,True,True,True,True,True,True
Cr-52,24,28,52,True,True,True,True,True,True
Mn-55,25,30,55,True,True,True,True,True,True
Co-59,27,32,59,True,True,True,True,True,True
Y-89,39,50,89,True,True,True,True,True,True
Zr-90,40,50,90,True,True,True,True,True,True
Ba-138,56,82,138,True,True,True,True,True,True
Nd-142,60,82,142,True,True,True,True,True,True
Sm-152,62,90,152,True,True,True,True,True,True
Gd-158,64,94,158,True,True,True,True,True,True
Dy-162,66,96,162,True,True,True,True,True,True
Er-166,68,98,166,True,True,True,True,True,True
Yb-172,70,102,172,True,True,True,True,True,True
Hf-178,72,106,178,True,True,True,True,True,True
W-184,74,110,184,True,True,True,True,True,True
Os-190,76,114,190,True,True,True,True,True,True
Pt-194,78,116,194,True,True,True,True,True,True
Hg-202,80,122,202,True,True,True,True,True,True
Pb-206,82,124,206,True,True,True,True,True,True
U-234,92,142,234,True,True,True,True,True,True
