Z,symbol,N,A,B_u_pred_MeV,tag
119,Uue,218,337,-454.676929,Jerroldium frontier
120,Ubn,230,350,-577.667820,Jerroldium frontier
121,Ubu,121,242,-156.266617,Jerroldium frontier
122,Ubb,132,254,-93.064295,Jerroldium frontier
123,Ubt,143,266,-67.194010,Jerroldium frontier
124,Ubq,155,279,-56.725700,Jerroldium frontier
125,Ubp,166,291,-71.395906,Jerroldium frontier
126,Ubh,178,304,-105.158786,Jerroldium frontier
