qp_id,summary_path,summary_exists,external_data_used,observed_particle_masses_used,observed_quarkonium_masses_used,observed_isotope_masses_used,free_parameters_introduced,reveal_only_marker_present,status
qp004,C:/VS/quantum_phase/artifacts/qp004/qp004_phase_to_particle_role_operator_summary.json,True,False,,,,0,False,clean_disclosure
qp007,C:/VS/quantum_phase/artifacts/qp007/qp007_role_operator_mass_closure_summary.json,True,False,,,,0,False,clean_disclosure
qp018,C:/VS/quantum_phase/artifacts/qp018/qp018_summary.json,True,False,,,,0,False,clean_disclosure
qp019,C:/VS/quantum_phase/artifacts/qp019/qp019_summary.json,True,False,,,,0,False,clean_disclosure
qp020,C:/VS/quantum_phase/artifacts/qp020/qp020_readiness_summary.json,True,False,,,,0,False,clean_disclosure
qp021,C:/VS/quantum_phase/artifacts/qp021/qp021_summary.json,True,False,,,,0,False,clean_disclosure
qp023,C:/VS/quantum_phase/artifacts/qp023/qp023_summary.json,True,False,,,,0,False,clean_disclosure
qp037,C:/VS/quantum_phase/artifacts/qp037/qp037_summary.json,True,False,,,,0,False,clean_disclosure
qp040,C:/VS/quantum_phase/artifacts/qp040/qp040_summary.json,True,False,,,,0,False,clean_disclosure
qp050,C:/VS/quantum_phase/artifacts/qp050/qp050_summary.json,True,False,,,False,0,False,clean_disclosure
qp052,C:/VS/quantum_phase/artifacts/qp052/qp052_summary.json,True,False,,,False,0,False,clean_disclosure
qp062,C:/VS/quantum_phase/artifacts/qp062/qp062_summary.json,True,False,,,,0,False,clean_disclosure
qp063,C:/VS/quantum_phase/artifacts/qp063/qp063_summary.json,True,False,,,,0,False,clean_disclosure
qp064,C:/VS/quantum_phase/artifacts/qp064/qp064_summary.json,True,False,,,,0,False,clean_disclosure
qp065,C:/VS/quantum_phase/artifacts/qp065/qp065_summary.json,True,False,,,,0,False,clean_disclosure
qp066,C:/VS/quantum_phase/artifacts/qp066/qp066_summary.json,True,False,,,,0,False,clean_disclosure
qp067,C:/VS/quantum_phase/artifacts/qp067/qp067_summary.json,True,False,,,,0,False,clean_disclosure
qp069,C:/VS/quantum_phase/artifacts/qp069/qp069_summary.json,True,False,,,,0,True,clean_disclosure
qp070,C:/VS/quantum_phase/artifacts/qp070/qp070_summary.json,True,False,,,,0,False,clean_disclosure
qp071,C:/VS/quantum_phase/artifacts/qp071/qp071_summary.json,True,False,,,,0,False,clean_disclosure
qp072,C:/VS/quantum_phase/artifacts/qp072/qp072_summary.json,True,False,,,,0,False,clean_disclosure
qp073,C:/VS/quantum_phase/artifacts/qp073/qp073_summary.json,True,False,,,,0,False,clean_disclosure
qp074,C:/VS/quantum_phase/artifacts/qp074/qp074_summary.json,True,False,,,,0,False,clean_disclosure
qp075,C:/VS/quantum_phase/artifacts/qp075/qp075_summary.json,True,,,,,0,False,field_missing_but_free_params_clean
