cr_id,dir_name,result_md_path,result_md_sha256_pre_regrade,summary_json_path,summary_json_sha256_pre_regrade
CR063a,CR063a_HARDWARE_TRANSLATION_V1,12a_QC_QN_CARRIER_COMPRESSION_REFRESH/CR063a_HARDWARE_TRANSLATION_V1/CR063a_result.md,710591fa467aae21f17aa121f3d629876a5fb35bbee632248d757ccbb2b52917,12a_QC_QN_CARRIER_COMPRESSION_REFRESH/CR063a_HARDWARE_TRANSLATION_V1/CR063a_summary.json,1469b11fc76044a392ae51bf085e871770bbc19910df0a75dbc669123a3250b8
CR-064a (rescue),CR064a_A0_CALIBRATION_AND_PUBLISHED_T2_VERIFICATION_V1,12a_QC_QN_CARRIER_COMPRESSION_REFRESH/CR064a_A0_CALIBRATION_AND_PUBLISHED_T2_VERIFICATION_V1/CR064a_result.md,c2eb68ad697640fec64237f010be4f1922bb975a2a70aa1be7c52f88338d7fd1,,
CR-135 (audit),CR135_HOSTILE_AUDIT_2026_06_17,00_governance/CR135_HOSTILE_AUDIT_2026_06_17/CR135_AUDIT_VERDICT.md,2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661,,
