metric,replayed,source,status
A0,0.026525823848649224,0.026525823848649224,PASS
A0_locked_decimal,0.026525823848649224,0.026525823848649224,PASS
A_inf,0.3183098861837907,0.3183098861837907,PASS
w_projection_operator,0.0466031311731253,0.0466031311731253,PASS
r_drag_mpc,150.92186401518705,150.92186401518705,PASS
SN_rows,1701,1701,PASS
SN_max_A_error,0.0,0.0,PASS
SN_max_c_error_km_s,0.0,0.0,PASS
SN_max_distance_error_mpc,0.0,0.0,PASS
SN_max_mu_error,7.105427357601002e-15,7.105427357601002e-15,PASS
SN_low_z_mean_A,0.0062347071581974845,0.0062347071581974845,PASS
SN_high_z_mean_A,0.2927243984113852,0.2927243984113852,PASS
BAO_rows,19,19,PASS
BAO_rms_pull,0.8269872776835621,0.8269872776835621,PASS
BAO_max_abs_pull,1.4298269726773956,1.4298269726773956,PASS
BAO_rows_over_3sigma,0,0,PASS
SN_BAO_identity_error,0.0,0.0,PASS
SN_BAO_overlap_pct_abs,0.24000025506268896,0.24000025506268896,PASS
CMB_theta100,1.038976065435997,1.038976065435997,PASS
CMB_theta100_residual_pct,-0.2030501266944362,-0.2030501266944362,PASS
