body,candidate,A,Phi,g,v_escape,potential_identity,acceleration_identity,escape_identity,external_g_pass,external_escape_pass,full_packet
Earth,sam_A_kernel,1.3922549173183708e-09,-62564815.85308428,9.820250487063928,11186.135691389076,True,True,True,True,True,True
Earth,half_A,6.961274586591855e-10,-31282407.926542144,4.910125243531964,7909.792402654085,False,False,False,False,False,False
Earth,double_A,2.784509834636742e-09,-125129631.70616858,19.640500974127857,15819.58480530817,False,False,False,False,False,False
Earth,inverse_square_A,1.9383737547971835e-18,-0.08710617252257494,2.734458405982576e-08,0.4173875238254612,False,False,False,False,False,False
Earth,potential_no_half,1.3922549173183708e-09,-125129631.70616856,19.640500974127857,11186.135691389076,False,False,True,False,True,False
Earth,gravity_missing_half,1.3922549173183708e-09,-62564815.85308428,19.640500974127857,11186.135691389076,True,False,True,False,True,False
Earth,escape_missing_factor,1.3922549173183708e-09,-62564815.85308428,9.820250487063928,7909.792402654085,True,True,False,True,False,False
Moon,sam_A_kernel,6.282264676079986e-11,-2823108.9559111316,1.624904429556309,2376.1771633912867,True,True,True,True,True,True
Moon,half_A,3.141132338039993e-11,-1411554.4779555658,0.8124522147781545,1680.210985534594,False,False,False,False,False,False
Moon,double_A,1.2564529352159972e-10,-5646217.911822263,3.249808859112618,3360.421971069188,False,False,False,False,False,False
Moon,inverse_square_A,3.946684946032237e-21,-0.0001773551767044555,2.0416159399615e-10,0.018833755690485926,False,False,False,False,False,False
Moon,potential_no_half,6.282264676079986e-11,-5646217.911822263,3.249808859112618,2376.1771633912867,False,False,True,False,True,False
Moon,gravity_missing_half,6.282264676079986e-11,-2823108.9559111316,3.249808859112618,2376.1771633912867,True,False,True,False,True,False
Moon,escape_missing_factor,6.282264676079986e-11,-2823108.9559111316,1.624904429556309,1680.210985534594,True,True,False,True,False,False
Sun,sam_A_kernel,4.24500514086647e-06,-190761017705.9077,274.20011169456336,617674.7003170969,True,True,True,True,True,True
Sun,half_A,2.1225025704332356e-06,-95380508852.95387,137.10005584728168,436761.96916158777,False,False,False,False,False,False
Sun,double_A,8.490010281732942e-06,-381522035411.8155,548.4002233891267,873523.9383231755,False,False,False,False,False,False
Sun,inverse_square_A,1.802006864598276e-11,-809781.5008384979,0.0023279617675391637,1272.6205254029953,False,False,False,False,False,False
Sun,potential_no_half,4.24500514086647e-06,-381522035411.8154,548.4002233891267,617674.7003170969,False,False,True,False,True,False
Sun,gravity_missing_half,4.24500514086647e-06,-190761017705.9077,548.4002233891267,617674.7003170969,True,False,True,False,True,False
Sun,escape_missing_factor,4.24500514086647e-06,-190761017705.9077,274.20011169456336,436761.96916158777,True,True,False,True,False,False
