source_key,path,role,used_as_computed_input,exists,sha256
qp042_summary,C:\VS\quantum_phase\artifacts\qp042\qp042_summary.json,private baryon scaffold fill summary,True,True,5baf31d6dfe98204c639293b236c556e26a7dddbe571a535cd0ffcbc274ef4e6
declared_premises,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR028_QP042_BARYON_SCAFFOLD_SUPPORT\CR028_declared_premises.json,test_precommit_and_pass_conditions,True,True,f5a69f226c1b1a0f6ae7e401c59eaf2c2eff71a1eb46ebddaa21c065dfbb1cf3
runner,C:\VS\The_Courtroom\08_GALAXY_HALOS_BB_PBH_TRAPPED_A\CR028_QP042_BARYON_SCAFFOLD_SUPPORT\CR028_runner.py,courtroom_calculation_script,True,True,6e584ee89cc31e2aeae7997f3c89efd7912b5225f1b2f7138253ca4a394ddc94
