filename,bytes,sha256,status
CR210a_BLOCK_AUDIT.csv,482,68b19a4b0e8fc3698bc4cc7ffe26cd723a34b3375e20ca906c8cf69467c785ab,partial_output_preserved
CR210a_COMMAND_LOG.json,1197,d0d08c49c7e6b13d1d37b5b8bc8e6b5563b07bbc8802ebd19ffd79512f5c10fe,failure_record
CR210a_DECLARED_PREMISES.json,1404,26d3a407d498212460331fe837cc3900c18253f47ffb8ba07ada3cd85072ab93,sealed_precommit_input
CR210a_DECLARED_PREMISES.sha256.txt,96,26adbcc417813dd4e60dc011621358b864c0b244e339e1d909950b200709ec53,sealed_precommit_input
CR210a_EXECUTION_FAILURE.md,1409,dd144ba013bee2e95b9f6cd0cd143c605a270544fcd644c028a43703d9762725,failure_record
CR210a_HARD_FREEZE.md,553,7a19a496fe9f8d5793cd466847653b8b3fab016dd78f714fafd7683c7cfe7ec0,freeze_record
CR210a_LOCAL_CONTRACT_VALIDATION.csv,528,a4706a1a0438d819d57a39970ffa541fca5da562524b8161a8ed607054608133,partial_output_preserved
CR210a_PRECOMMIT.md,8283,55d583f6f7697a24e28d5a1031a4eeb329fe0680ed3548a3ea1d2f0ffe475b45,sealed_precommit_input
CR210a_PRECOMMIT.sha256.txt,86,df907ff7802031de3b7f0f53163f85aaa0d61c58ffcbb06e8b195f6093ff5510,sealed_precommit_input
CR210a_PRECOMMIT_SEAL.txt,412,ded10df5f328811c96ca6fabfa12884560bb0b9ab9489e29c4836e7fca9ce43d,sealed_precommit_input
CR210a_result.md,582,0b8b7c120ae65028b94dd32a5468cba7b38229a53515d8978081cf777ed31130,failure_result
CR210a_ROUTE_POINT_PARTITION_AUDIT.csv,577,edb5824979e834e1300455a0643331299ae09731dd37cb72f00bda7591034179,partial_output_preserved
CR210a_runner.py,55014,094d39be033db8dfe7bd1b78c845abf8839dbba1f36b31987af3d3bfb7616d1a,executed_runner_immutable
CR210a_RUNNER.sha256.txt,83,8371e02766d48bc436cb050f985565af9d472c8b0a486514b306c34e25b1ddd6,executed_runner_immutable
CR210a_SLOT_TEMPLATE.csv,19986,02334a8dfc8023f3f72cb38c64af66756d65419b348a457ff09ffac7b3539842,partial_output_preserved
CR210a_SOURCE_MANIFEST.json,6522,dbf10c2802fdfc22c04e9b4a9db33f6797107c412eaa62a6e92c8282102cfe0c,sealed_precommit_input
CR210a_SOURCE_MANIFEST.sha256.txt,94,9e91b0fd038db657ef7a9b7348b96fae50c9b0704a8020131c06c08f754128d2,sealed_precommit_input
CR210a_SOURCE_VALIDATION.csv,5368,edc5e35143c9c0912e22fedd82efd5bccdd7c8a939dcd867af6bc9821a5e6e98,partial_output_preserved
CR210a_VALIDATION.json,586,c31c91fdbffe0e08dfd1f4411a5089f8fc82027b7c283175c215567c33db4a78,failure_record
