Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,ACTION_residual,ACTION_physical,match
1,H,Hydrogen,3,2,1,1,0,1,1,TRUE
2,He,Helium,6,4,2,2,0,2,0,FALSE
3,Li,Lithium,9,6,3,3,0,15,3,FALSE
4,Be,Beryllium,12,8,4,4,0,4,3,FALSE
5,B,Boron,15,10,5,5,0,5,3,FALSE
6,C,Carbon,18,12,6,6,0,30,0,FALSE
7,N,Nitrogen,21,14,7,7,0,27,2,FALSE
8,O,Oxygen,24,16,8,8,0,8,0,FALSE
9,F,Fluorine,27,18,9,9,0,9,1,FALSE
10,Ne,Neon,30,20,10,10,0,10,0,FALSE
11,Na,Sodium,33,22,11,11,0,55,3,FALSE
12,Mg,Magnesium,36,24,12,12,0,60,0,FALSE
13,Al,Aluminium,40,27,13,13,0,51,5,FALSE
14,Si,Silicon,43,29,14,14,0,54,0,FALSE
15,P,Phosphorus,46,31,15,15,0,49,1,FALSE
16,S,Sulfur,49,33,16,16,0,16,0,FALSE
17,Cl,Chlorine,52,35,17,17,0,23,3,FALSE
18,Ar,Argon,55,37,18,18,0,18,0,FALSE
19,K,Potassium,58,39,19,19,0,29,3,FALSE
20,Ca,Calcium,61,41,20,20,0,20,0,FALSE
21,Sc,Scandium,64,43,21,21,0,107,7,FALSE
22,Ti,Titanium,67,45,22,22,0,110,0,FALSE
23,V,Vanadium,70,47,23,23,0,105,7,FALSE
24,Cr,Chromium,74,50,24,24,0,120,0,FALSE
25,Mn,Manganese,79,54,25,25,0,121,5,FALSE
26,Fe,Iron,82,56,26,26,0,106,0,FALSE
27,Co,Cobalt,85,58,27,27,0,111,7,FALSE
28,Ni,Nickel,88,60,28,28,0,100,0,FALSE
29,Cu,Copper,91,62,29,29,0,101,3,FALSE
30,Zn,Zinc,95,65,30,30,0,30,0,FALSE
31,Ga,Gallium,98,67,31,31,0,33,3,FALSE
32,Ge,Germanium,101,69,32,32,0,32,0,FALSE
33,As,Arsenic,104,71,33,33,0,47,3,FALSE
34,Se,Selenium,107,73,34,34,0,34,0,FALSE
35,Br,Bromine,110,75,35,35,0,37,3,FALSE
36,Kr,Krypton,114,78,36,36,0,60,0,FALSE
37,Rb,Rubidium,120,83,37,37,0,43,5,FALSE
38,Sr,Strontium,123,85,38,38,0,46,0,FALSE
39,Y,Yttrium,126,87,39,39,0,41,1,FALSE
40,Zr,Zirconium,130,90,40,40,0,216,0,FALSE
41,Nb,Niobium,133,92,41,41,0,217,9,FALSE
42,Mo,Molybdenum,136,94,42,42,0,214,0,FALSE
43,Tc,Technetium,139,96,43,43,1,234,9,FALSE
44,Ru,Ruthenium,143,99,44,44,0,236,5,FALSE
45,Rh,Rhodium,146,101,45,45,0,247,1,FALSE
46,Pd,Palladium,149,103,46,46,0,242,0,FALSE
47,Ag,Silver,152,105,47,47,0,241,1,FALSE
48,Cd,Cadmium,156,108,48,48,0,240,1,FALSE
49,In,Indium,163,114,49,49,0,209,9,FALSE
50,Sn,Tin,166,116,50,50,0,210,0,FALSE
51,Sb,Antimony,170,119,51,51,0,221,5,FALSE
52,Te,Tellurium,173,121,52,52,0,212,0,FALSE
53,I,Iodine,176,123,53,53,0,203,5,FALSE
54,Xe,Xenon,180,126,54,54,0,202,0,FALSE
55,Cs,Caesium,183,128,55,55,0,55,7,FALSE
56,Ba,Barium,186,130,56,56,0,56,3,FALSE
57,La,Lanthanum,190,133,57,57,0,59,7,FALSE
58,Ce,Cerium,193,135,58,58,0,70,0,FALSE
59,Pr,Praseodymium,196,137,59,59,0,77,5,FALSE
60,Nd,Neodymium,200,140,60,60,0,68,0,FALSE
