Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,ACTION,XOR_signature,SUM_signature
1,H,Hydrogen,3,2,1,1,0,1,0,8
2,He,Helium,6,4,2,2,0,0,2,14
3,Li,Lithium,9,6,3,3,0,3,12,24
4,Be,Beryllium,12,8,4,4,0,3,7,31
5,B,Boron,15,10,5,5,0,3,6,38
6,C,Carbon,18,12,6,6,0,0,30,42
7,N,Nitrogen,21,14,7,7,0,2,25,51
8,O,Oxygen,24,16,8,8,0,0,8,56
9,F,Fluorine,27,18,9,9,0,1,8,64
10,Ne,Neon,30,20,10,10,0,0,10,70
11,Na,Sodium,33,22,11,11,0,3,52,80
12,Mg,Magnesium,36,24,12,12,0,0,60,84
13,Al,Aluminium,40,27,13,13,0,5,54,98
14,Si,Silicon,43,29,14,14,0,0,54,100
15,P,Phosphorus,46,31,15,15,0,1,48,108
16,S,Sulfur,49,33,16,16,0,0,16,114
17,Cl,Chlorine,52,35,17,17,0,3,20,124
18,Ar,Argon,55,37,18,18,0,0,18,128
19,K,Potassium,58,39,19,19,0,3,30,138
20,Ca,Calcium,61,41,20,20,0,0,20,142
21,Sc,Scandium,64,43,21,21,0,7,108,156
22,Ti,Titanium,67,45,22,22,0,0,110,156
23,V,Vanadium,70,47,23,23,0,7,110,170
24,Cr,Chromium,74,50,24,24,0,0,120,172
25,Mn,Manganese,79,54,25,25,0,5,124,188
26,Fe,Iron,82,56,26,26,0,0,106,190
27,Co,Cobalt,85,58,27,27,0,7,104,204
28,Ni,Nickel,88,60,28,28,0,0,100,204
29,Cu,Copper,91,62,29,29,0,3,102,214
30,Zn,Zinc,95,65,30,30,0,0,30,220
31,Ga,Gallium,98,67,31,31,0,3,34,230
32,Ge,Germanium,101,69,32,32,0,0,32,234
33,As,Arsenic,104,71,33,33,0,3,44,244
34,Se,Selenium,107,73,34,34,0,0,34,248
35,Br,Bromine,110,75,35,35,0,3,38,258
36,Kr,Krypton,114,78,36,36,0,0,60,264
37,Rb,Rubidium,120,83,37,37,0,5,46,282
38,Sr,Strontium,123,85,38,38,0,0,46,284
39,Y,Yttrium,126,87,39,39,0,1,40,292
40,Zr,Zirconium,130,90,40,40,0,0,216,300
41,Nb,Niobium,133,92,41,41,0,9,208,316
42,Mo,Molybdenum,136,94,42,42,0,0,214,314
43,Tc,Technetium,139,96,43,43,1,9,227,331
44,Ru,Ruthenium,143,99,44,44,0,5,233,335
45,Rh,Rhodium,146,101,45,45,0,1,246,338
46,Pd,Palladium,149,103,46,46,0,0,242,344
47,Ag,Silver,152,105,47,47,0,1,240,352
48,Cd,Cadmium,156,108,48,48,0,1,241,361
49,In,Indium,163,114,49,49,0,9,216,384
50,Sn,Tin,166,116,50,50,0,0,210,382
51,Sb,Antimony,170,119,51,51,0,5,216,396
52,Te,Tellurium,173,121,52,52,0,0,212,398
53,I,Iodine,176,123,53,53,0,5,206,410
54,Xe,Xenon,180,126,54,54,0,0,202,414
55,Cs,Caesium,183,128,55,55,0,7,48,428
56,Ba,Barium,186,130,56,56,0,3,59,431
57,La,Lanthanum,190,133,57,57,0,7,60,444
58,Ce,Cerium,193,135,58,58,0,0,70,444
59,Pr,Praseodymium,196,137,59,59,0,5,72,456
60,Nd,Neodymium,200,140,60,60,0,0,68,460
61,Pm,Promethium,208,147,61,61,1,5,71,483
62,Sm,Samarium,211,149,62,62,0,0,70,484
63,Eu,Europium,215,152,63,63,0,5,74,498
64,Gd,Gadolinium,218,154,64,64,0,0,64,500
65,Tb,Terbium,222,157,65,65,0,3,64,512
66,Dy,Dysprosium,225,159,66,66,0,0,126,516
67,Ho,Holmium,228,161,67,67,0,7,66,530
68,Er,Erbium,232,164,68,68,0,0,76,532
