source,path,status,sha256
LC01,16_THE_LAST_CAMPAIGN/LC01_primitive_stack_lock.json,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,7b0877f75e84be7cd809fc083ed737fc1552484a9c525b2f9e307e6eac4bfb30
LC03,16_THE_LAST_CAMPAIGN/LC03_summary.json,LC03_PASS_QA_LEDGER_COMPRESSION_GRAVITY_AS_A_REPLAY,7924e6d29e8045f765bfe509c1e658a760e3c2ba30b664fdc4c5aa8cf9cea5a5
LC04,16_THE_LAST_CAMPAIGN/LC04_PARTICLE_MASS_CHAIN_TABLE_REPLAY/LC04_summary.json,LC04_PASS_PARTICLE_MASS_CHAIN_TABLE_REPLAY_FROM_LOCKED_PRIMITIVE_STACK,72b28cf8d9224748f6e97b542287d20f73d8bdf8965cfde2e0d700f5600e7d86
LC05,16_THE_LAST_CAMPAIGN/LC05_PERIODIC_ISOTOPE_VAULT_REPLAY/LC05_summary.json,LC05_PASS_PERIODIC_ISOTOPE_VAULT_REPLAY_FROM_LOCKED_PRIMITIVE_STACK,5a0d58900f58644043b3b9d7f8c9374f3f201bac3893ef2f7b7e5c15179ca81f
CR114_foundation,14_FOUNDATIONAL_TESTS/CR114_BINARY_FACE_STATE_SPLIT_THEOREM/CR114_summary.json,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,e3b1f4aad262c08d1ab6286fc6a14386cc89c32da9e00666f439e52eed47acfb
CR116_foundation,14_FOUNDATIONAL_TESTS/CR116_18_GRAVITON_CARRIER_THEOREM/CR116_summary.json,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,e63c5821b7bb75dac6d975494d73b255aea691c773f4780b4523a0e09ab885ca
CR119,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_summary.json,PASS_CR119_COURTROOM_TABLE_VAULT_REVEAL__321_PARTICLE__126_MATTER__126_PERIODIC__DOWNSTREAM_IDENTITIES_ASSIGNED__KNOWN_LABELS_REVEAL_ONLY,1eb2ba0c12d2079fc395cfa28e41693e9525af3cd394f8c9caa0f4393e0bcb53
CR018,07_BARYON_INVENTORY_AND_COSMOLOGY/CR018_A0_CHI_BARYON_INVENTORY_DERIVATION/CR018_summary.json,PASS,a1d598841ecb06f8ea59f744c8f29e85ccdee32a6454fb5ee590c98ff545cc19
CR019,07_BARYON_INVENTORY_AND_COSMOLOGY/CR019_EFFECTIVE_MATTER_INVENTORY_REFINEMENT/CR019_summary.json,PASS,c2dad0a4a45c9739962ccc106bec43343ee02bd82c58b1ed1818d105bef77ad3
CR020,07_BARYON_INVENTORY_AND_COSMOLOGY/CR020_CMB_BOUNDARY_AND_ACOUSTIC_CONCEPT_CHAIN/CR020_summary.json,BOUNDARY_PASS,295fcffbf7afe3b7a804734726f5c5dd064eb6360da72d98df1130f6cc02355c
