ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
121,3.400804e+03,-3.663458e+01,1.046169e+00
122,3.435207e+03,-3.719220e+01,1.054909e+00
123,3.469681e+03,-3.773846e+01,1.063228e+00
124,3.504216e+03,-3.827274e+01,1.071112e+00
125,3.538797e+03,-3.879459e+01,1.078560e+00
126,3.573424e+03,-3.930347e+01,1.085558e+00
127,3.608080e+03,-3.979878e+01,1.092104e+00
128,3.642758e+03,-4.028004e+01,1.098184e+00
129,3.677457e+03,-4.074674e+01,1.103799e+00
130,3.712162e+03,-4.119826e+01,1.108932e+00
131,3.746856e+03,-4.163415e+01,1.113584e+00
132,3.781548e+03,-4.205390e+01,1.117755e+00
133,3.816216e+03,-4.245706e+01,1.121431e+00
134,3.850861e+03,-4.284305e+01,1.124626e+00
135,3.885469e+03,-4.321159e+01,1.127320e+00
136,3.920039e+03,-4.356202e+01,1.129519e+00
137,3.954559e+03,-4.389390e+01,1.131217e+00
138,3.989020e+03,-4.420688e+01,1.132421e+00
139,4.023409e+03,-4.450051e+01,1.133125e+00
140,4.057734e+03,-4.477436e+01,1.133329e+00
141,4.091974e+03,-4.502808e+01,1.133048e+00
142,4.126121e+03,-4.526114e+01,1.132268e+00
143,4.160176e+03,-4.547328e+01,1.130996e+00
144,4.194117e+03,-4.566404e+01,1.129240e+00
145,4.227945e+03,-4.583293e+01,1.126993e+00
146,4.261632e+03,-4.597972e+01,1.124271e+00
147,4.295169e+03,-4.610385e+01,1.121081e+00
148,4.328544e+03,-4.620502e+01,1.117424e+00
149,4.361741e+03,-4.628279e+01,1.113308e+00
150,4.394746e+03,-4.633674e+01,1.108739e+00
151,4.427539e+03,-4.636657e+01,1.103727e+00
152,4.460125e+03,-4.637199e+01,1.098279e+00
153,4.492489e+03,-4.635271e+01,1.092409e+00
154,4.524631e+03,-4.630857e+01,1.086134e+00
155,4.556544e+03,-4.623920e+01,1.079454e+00
156,4.588233e+03,-4.614446e+01,1.072390e+00
157,4.619676e+03,-4.602404e+01,1.064944e+00
158,4.650879e+03,-4.587773e+01,1.057146e+00
159,4.681829e+03,-4.570529e+01,1.048995e+00
160,4.712516e+03,-4.550659e+01,1.040515e+00
161,4.742918e+03,-4.528132e+01,1.031721e+00
162,4.773027e+03,-4.502941e+01,1.022627e+00
163,4.802834e+03,-4.475050e+01,1.013264e+00
164,4.832318e+03,-4.444457e+01,1.003632e+00
165,4.861478e+03,-4.411133e+01,9.937536e-01
166,4.890298e+03,-4.375072e+01,9.836516e-01
167,4.918770e+03,-4.336257e+01,9.733484e-01
168,4.946888e+03,-4.294697e+01,9.628666e-01
169,4.974641e+03,-4.250377e+01,9.522287e-01
170,5.002023e+03,-4.203289e+01,9.414498e-01
171,5.029019e+03,-4.153426e+01,9.305601e-01
172,5.055635e+03,-4.100787e+01,9.195819e-01
173,5.081849e+03,-4.045367e+01,9.085378e-01
174,5.107653e+03,-3.987164e+01,8.974504e-01
175,5.133045e+03,-3.926193e+01,8.863571e-01
176,5.158012e+03,-3.862448e+01,8.752729e-01
177,5.182546e+03,-3.795929e+01,8.642356e-01
178,5.206632e+03,-3.726645e+01,8.532678e-01
179,5.230271e+03,-3.654597e+01,8.423923e-01
180,5.253455e+03,-3.579802e+01,8.316467e-01
181,5.276171e+03,-3.502275e+01,8.210613e-01
182,5.298418e+03,-3.422024e+01,8.106662e-01
183,5.320190e+03,-3.339067e+01,8.004842e-01
184,5.341472e+03,-3.253426e+01,7.905527e-01
185,5.362264e+03,-3.165096e+01,7.809095e-01
186,5.382553e+03,-3.074114e+01,7.715772e-01
187,5.402337e+03,-2.980490e+01,7.625866e-01
188,5.421611e+03,-2.884254e+01,7.539784e-01
189,5.440359e+03,-2.785422e+01,7.457842e-01
190,5.458583e+03,-2.684025e+01,7.380384e-01
191,5.476275e+03,-2.580094e+01,7.307734e-01
192,5.493420e+03,-2.473638e+01,7.240245e-01
193,5.510012e+03,-2.364687e+01,7.178255e-01
194,5.526058e+03,-2.253288e+01,7.122124e-01
195,5.541545e+03,-2.139463e+01,7.072212e-01
196,5.556471e+03,-2.023259e+01,7.028879e-01
197,5.570838e+03,-1.904705e+01,6.992500e-01
198,5.584646e+03,-1.783842e+01,6.963434e-01
199,5.597873e+03,-1.660699e+01,6.942041e-01
200,5.610535e+03,-1.535329e+01,6.928680e-01
201,5.622616e+03,-1.407756e+01,6.923733e-01
202,5.634110e+03,-1.278041e+01,6.927555e-01
203,5.644994e+03,-1.146206e+01,6.940518e-01
204,5.655275e+03,-1.012305e+01,6.962983e-01
205,5.664925e+03,-8.763824e+00,6.995321e-01
206,5.673950e+03,-7.384776e+00,7.037886e-01
207,5.682337e+03,-5.986288e+00,7.091057e-01
208,5.690076e+03,-4.568972e+00,7.155196e-01
209,5.697199e+03,-3.133373e+00,7.230656e-01
210,5.703690e+03,-1.680056e+00,7.317816e-01
211,5.709558e+03,-2.095796e-01,7.417045e-01
212,5.714816e+03,1.277487e+00,7.528689e-01
213,5.719465e+03,2.780581e+00,7.653126e-01
214,5.723512e+03,4.299135e+00,7.790724e-01
215,5.726958e+03,5.832555e+00,7.941779e-01
216,5.729788e+03,7.380238e+00,8.106741e-01
217,5.732001e+03,8.941559e+00,8.285903e-01
218,5.733598e+03,1.051600e+01,8.479562e-01
219,5.734572e+03,1.210288e+01,8.688160e-01
220,5.734915e+03,1.370167e+01,8.911990e-01
221,5.734634e+03,1.531160e+01,9.151348e-01
222,5.733715e+03,1.693224e+01,9.406676e-01
223,5.732166e+03,1.856276e+01,9.678193e-01
224,5.729993e+03,2.020263e+01,9.966267e-01
225,5.727197e+03,2.185103e+01,1.027112e+00
226,5.723771e+03,2.350742e+01,1.059319e+00
227,5.719722e+03,2.517106e+01,1.093277e+00
228,5.715050e+03,2.684128e+01,1.129009e+00
229,5.709763e+03,2.851740e+01,1.166551e+00
230,5.703853e+03,3.019875e+01,1.205932e+00
231,5.697328e+03,3.188457e+01,1.247166e+00
232,5.690195e+03,3.357420e+01,1.290292e+00
233,5.682447e+03,3.526688e+01,1.335337e+00
234,5.674084e+03,3.696186e+01,1.382324e+00
235,5.665122e+03,3.865855e+01,1.431282e+00
236,5.655544e+03,4.035613e+01,1.482240e+00
237,5.645374e+03,4.205385e+01,1.535206e+00
238,5.634605e+03,4.375103e+01,1.590208e+00
239,5.623243e+03,4.544692e+01,1.647261e+00
240,5.611289e+03,4.714064e+01,1.706403e+00
241,5.598743e+03,4.883166e+01,1.767646e+00
242,5.585620e+03,5.051908e+01,1.831006e+00
243,5.571920e+03,5.220215e+01,1.896504e+00
244,5.557643e+03,5.388028e+01,1.964155e+00
245,5.542804e+03,5.555266e+01,2.033980e+00
246,5.527411e+03,5.721859e+01,2.105980e+00
247,5.511456e+03,5.887735e+01,2.180183e+00
248,5.494961e+03,6.052811e+01,2.256605e+00
249,5.477920e+03,6.217028e+01,2.335243e+00
250,5.460347e+03,6.380303e+01,2.416128e+00
251,5.442234e+03,6.542547e+01,2.499244e+00
252,5.423590e+03,6.703694e+01,2.584612e+00
253,5.404415e+03,6.863663e+01,2.672231e+00
254,5.384724e+03,7.022365e+01,2.762115e+00
255,5.364501e+03,7.179735e+01,2.854255e+00
256,5.343763e+03,7.335690e+01,2.948664e+00
257,5.322516e+03,7.490172e+01,3.045341e+00
258,5.300777e+03,7.643078e+01,3.144278e+00
259,5.278551e+03,7.794453e+01,3.245487e+00
260,5.255863e+03,7.944075e+01,3.348961e+00
261,5.232711e+03,8.092020e+01,3.454698e+00
262,5.209120e+03,8.238138e+01,3.562697e+00
263,5.185095e+03,8.382431e+01,3.672956e+00
264,5.160645e+03,8.524751e+01,3.785467e+00
265,5.135770e+03,8.665173e+01,3.900214e+00
266,5.110478e+03,8.803476e+01,4.017188e+00
267,5.084783e+03,8.939584e+01,4.136373e+00
268,5.058685e+03,9.073575e+01,4.257760e+00
269,5.032186e+03,9.205226e+01,4.381341e+00
270,5.005292e+03,9.334611e+01,4.507092e+00
271,4.978025e+03,9.461509e+01,4.635005e+00
272,4.950379e+03,9.585995e+01,4.765063e+00
273,4.922384e+03,9.707922e+01,4.897229e+00
274,4.894031e+03,9.827364e+01,5.031500e+00
275,4.865337e+03,9.944099e+01,5.167847e+00
276,4.836323e+03,1.005820e+02,5.306253e+00
277,4.806990e+03,1.016953e+02,5.446695e+00
278,4.777344e+03,1.027800e+02,5.589149e+00
279,4.747402e+03,1.038370e+02,5.733578e+00
280,4.717178e+03,1.048647e+02,5.879949e+00
281,4.686672e+03,1.058632e+02,6.028249e+00
282,4.655899e+03,1.068317e+02,6.178430e+00
283,4.624874e+03,1.077695e+02,6.330469e+00
284,4.593597e+03,1.086759e+02,6.484337e+00
285,4.562083e+03,1.095509e+02,6.639994e+00
286,4.530340e+03,1.103944e+02,6.797410e+00
287,4.498390e+03,1.112058e+02,6.956532e+00
288,4.466233e+03,1.119836e+02,7.117336e+00
289,4.433876e+03,1.127292e+02,7.279778e+00
290,4.401343e+03,1.134406e+02,7.443819e+00
291,4.368640e+03,1.141183e+02,7.609437e+00
292,4.335767e+03,1.147617e+02,7.776495e+00
293,4.302740e+03,1.153707e+02,7.945069e+00
294,4.269573e+03,1.159440e+02,8.115082e+00
295,4.236267e+03,1.164823e+02,8.286386e+00
296,4.202837e+03,1.169848e+02,8.459053e+00
297,4.169281e+03,1.174500e+02,8.632936e+00
298,4.135624e+03,1.178788e+02,8.808032e+00
299,4.101872e+03,1.182711e+02,8.984267e+00
300,4.068033e+03,1.186262e+02,9.161565e+00
301,4.034122e+03,1.189440e+02,9.340002e+00
302,4.000153e+03,1.192247e+02,9.519352e+00
303,3.966135e+03,1.194683e+02,9.699690e+00
304,3.932081e+03,1.196746e+02,9.880941e+00
305,3.898007e+03,1.198432e+02,1.006303e+01
306,3.863912e+03,1.199738e+02,1.024596e+01
307,3.829818e+03,1.200667e+02,1.042957e+01
308,3.795734e+03,1.201217e+02,1.061387e+01
309,3.761666e+03,1.201389e+02,1.079879e+01
310,3.727614e+03,1.201183e+02,1.098417e+01
311,3.693608e+03,1.200585e+02,1.117009e+01
312,3.659641e+03,1.199610e+02,1.135639e+01
313,3.625734e+03,1.198250e+02,1.154309e+01
314,3.591895e+03,1.196505e+02,1.173002e+01
315,3.558124e+03,1.194376e+02,1.191712e+01
316,3.524443e+03,1.191863e+02,1.210446e+01
317,3.490859e+03,1.188974e+02,1.229182e+01
318,3.457387e+03,1.185700e+02,1.247919e+01
319,3.424027e+03,1.182043e+02,1.266650e+01
320,3.390787e+03,1.178010e+02,1.285376e+01
321,3.357695e+03,1.173601e+02,1.304081e+01
322,3.324737e+03,1.168809e+02,1.322757e+01
323,3.291943e+03,1.163641e+02,1.341398e+01
324,3.259305e+03,1.158106e+02,1.359996e+01
325,3.226845e+03,1.152195e+02,1.378551e+01
326,3.194563e+03,1.145916e+02,1.397055e+01
327,3.162474e+03,1.139263e+02,1.415495e+01
328,3.130585e+03,1.132242e+02,1.433861e+01
329,3.098903e+03,1.124869e+02,1.452155e+01
330,3.067443e+03,1.117129e+02,1.470361e+01
331,3.036205e+03,1.109029e+02,1.488479e+01
