ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
1296,-4.231930e+01,1.641637e+01,-3.119033e+01,1.112897e+01,0.6779
1297,-5.439413e+01,1.642939e+01,-3.189043e+01,2.250371e+01,1.3697
1298,-3.209187e+01,1.644288e+01,-3.258802e+01,-4.961522e-01,-0.0302
1299,-3.968921e+01,1.645686e+01,-3.328288e+01,6.406333e+00,0.3893
1300,-7.332728e+00,1.647131e+01,-3.397461e+01,-2.664188e+01,-1.6175
1301,-2.064284e+01,1.648624e+01,-3.466304e+01,-1.402021e+01,-0.8504
1302,-4.955868e+01,1.650165e+01,-3.534773e+01,1.421095e+01,0.8612
1303,-2.965615e+01,1.651753e+01,-3.602859e+01,-6.372437e+00,-0.3858
1304,-2.020066e+01,1.653389e+01,-3.670518e+01,-1.650452e+01,-0.9982
1305,-2.878650e+01,1.655073e+01,-3.737734e+01,-8.590842e+00,-0.5191
1306,-2.637069e+01,1.656802e+01,-3.804470e+01,-1.167402e+01,-0.7046
1307,-2.974243e+01,1.658578e+01,-3.870704e+01,-8.964607e+00,-0.5405
1308,-3.375068e+01,1.660400e+01,-3.936412e+01,-5.613431e+00,-0.3381
1309,-5.036629e+01,1.662267e+01,-4.001564e+01,1.035066e+01,0.6227
1310,-2.710943e+01,1.664180e+01,-4.066122e+01,-1.355180e+01,-0.8143
1311,-3.198113e+01,1.666137e+01,-4.130080e+01,-9.319668e+00,-0.5594
1312,-9.312960e+01,1.668138e+01,-4.193398e+01,5.119562e+01,3.0690
1313,-7.813065e+01,1.670182e+01,-4.256047e+01,3.557018e+01,2.1297
1314,-4.304046e+01,1.672270e+01,-4.318018e+01,-1.397223e-01,-0.0084
1315,-4.540589e+01,1.674400e+01,-4.379267e+01,1.613222e+00,0.0963
1316,-3.188062e+01,1.676572e+01,-4.439785e+01,-1.251723e+01,-0.7466
1317,-2.011202e+01,1.678785e+01,-4.499548e+01,-2.488346e+01,-1.4822
1318,-6.004725e+01,1.681039e+01,-4.558527e+01,1.446198e+01,0.8603
1319,-6.891671e+01,1.683334e+01,-4.616698e+01,2.274973e+01,1.3515
1320,-3.321188e+01,1.685668e+01,-4.674046e+01,-1.352858e+01,-0.8026
1321,-1.894633e+01,1.688041e+01,-4.730539e+01,-2.835906e+01,-1.6800
1322,-5.920462e+01,1.690454e+01,-4.786162e+01,1.134300e+01,0.6710
1323,-7.202559e+01,1.692903e+01,-4.840891e+01,2.361669e+01,1.3950
1324,-7.500986e+01,1.695390e+01,-4.894702e+01,2.606283e+01,1.5373
1325,-2.404678e+01,1.697913e+01,-4.947573e+01,-2.542895e+01,-1.4977
1326,-5.598549e+01,1.700471e+01,-4.999487e+01,5.990622e+00,0.3523
1327,-4.634511e+01,1.703064e+01,-5.050427e+01,-4.159158e+00,-0.2442
1328,-6.063509e+01,1.705692e+01,-5.100363e+01,9.631463e+00,0.5647
1329,-5.890239e+01,1.708351e+01,-5.149278e+01,7.409615e+00,0.4337
1330,-5.227689e+01,1.711044e+01,-5.197162e+01,3.052721e-01,0.0178
1331,-6.893471e+01,1.713768e+01,-5.243993e+01,1.649478e+01,0.9625
1332,-3.237094e+01,1.716522e+01,-5.289752e+01,-2.052658e+01,-1.1958
1333,-6.859897e+01,1.719306e+01,-5.334424e+01,1.525472e+01,0.8873
1334,-4.432699e+01,1.722120e+01,-5.377984e+01,-9.452847e+00,-0.5489
1335,-5.401929e+01,1.724961e+01,-5.420415e+01,-1.848620e-01,-0.0107
1336,-7.234599e+01,1.727829e+01,-5.461716e+01,1.772883e+01,1.0261
1337,-4.444623e+01,1.730725e+01,-5.501860e+01,-1.057237e+01,-0.6109
1338,-6.744105e+00,1.733646e+01,-5.540839e+01,-4.866429e+01,-2.8070
1339,-4.114236e+01,1.736592e+01,-5.578629e+01,-1.464393e+01,-0.8433
1340,-6.601600e+01,1.739562e+01,-5.615225e+01,9.863748e+00,0.5670
1341,-6.009969e+01,1.742555e+01,-5.650612e+01,3.593573e+00,0.2062
1342,-6.033944e+01,1.745570e+01,-5.684763e+01,3.491808e+00,0.2000
1343,-5.934582e+01,1.748606e+01,-5.717684e+01,2.168977e+00,0.1240
1344,-1.929949e+01,1.751663e+01,-5.749349e+01,-3.819400e+01,-2.1804
1345,-6.468707e+01,1.754739e+01,-5.779748e+01,6.889596e+00,0.3926
1346,-6.337127e+01,1.757834e+01,-5.808869e+01,5.282581e+00,0.3005
1347,-3.652150e+01,1.760947e+01,-5.836704e+01,-2.184554e+01,-1.2406
1348,-6.542066e+01,1.764077e+01,-5.863232e+01,6.788342e+00,0.3848
1349,-6.298577e+01,1.767222e+01,-5.888444e+01,4.101327e+00,0.2321
1350,-8.399191e+01,1.770383e+01,-5.912350e+01,2.486840e+01,1.4047
1351,-6.420593e+01,1.773557e+01,-5.934940e+01,4.856524e+00,0.2738
1352,-7.508569e+01,1.776746e+01,-5.956203e+01,1.552366e+01,0.8737
1353,-8.399646e+01,1.779947e+01,-5.976143e+01,2.423502e+01,1.3616
1354,-6.124832e+01,1.783159e+01,-5.994756e+01,1.300753e+00,0.0729
1355,-6.505000e+01,1.786382e+01,-6.012032e+01,4.929683e+00,0.2760
1356,-2.412016e+01,1.789616e+01,-6.027974e+01,-3.615958e+01,-2.0205
1357,-8.936508e+01,1.792858e+01,-6.042579e+01,2.893929e+01,1.6141
1358,-7.868040e+01,1.796108e+01,-6.055834e+01,1.812206e+01,1.0090
1359,-4.825854e+01,1.799366e+01,-6.067752e+01,-1.241897e+01,-0.6902
1360,-5.985632e+01,1.802630e+01,-6.078313e+01,-9.268079e-01,-0.0514
1361,-9.386073e+01,1.805901e+01,-6.087519e+01,3.298554e+01,1.8265
1362,-4.849613e+01,1.809176e+01,-6.095375e+01,-1.245762e+01,-0.6886
1363,-7.799728e+01,1.812456e+01,-6.101868e+01,1.697860e+01,0.9368
