isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_n,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,constant_native_lane,G_fraction,G_decimal,GR_fraction,GR_decimal,retained_7G_fraction,retained_7G_decimal,construction_source
CR222-IZ012N012-FLOOR_PRIMARY,CR222-EZ012,12,12,24,12,12,12,36,36,36,12,12p+12n+12e,36u+36d+12e,1,12,3,3,18,2,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,CONSTANT_STABLE_ANCHOR_LANE,7117/64,111.203125,7117/8,889.625,49819/64,778.421875,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ013N014-FLOOR_PRIMARY,CR222-EZ013,13,14,27,13,14,13,40,40,41,13,13p+14n+13e,40u+41d+13e,2,1,3,3,18,3,OPEN_SHELL,FLOOR_PRIMARY,11/12,1,1,CONSTANT_BOUND_LADDER_LANE,92533/768,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92533/96,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,647731/768,843.3997395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ013N015-CEIL_NEIGHBOR,CR222-EZ013,13,15,28,13,15,13,41,41,43,13,13p+15n+13e,41u+43d+13e,2,1,3,3,18,3,OPEN_SHELL,CEIL_NEIGHBOR,1/12,1,1,CONSTANT_BOUND_LADDER_LANE,92545/768,120.5013020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92545/96,964.0104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,647815/768,843.5091145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ014N015-FLOOR_PRIMARY,CR222-EZ014,14,15,29,14,15,14,43,43,44,14,14p+15n+14e,43u+44d+14e,2,2,3,3,18,4,OPEN_SHELL,FLOOR_PRIMARY,5/6,1,2,CONSTANT_BOUND_LADDER_LANE,49825/384,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49825/48,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,348775/384,908.2682291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ014N016-CEIL_NEIGHBOR,CR222-EZ014,14,16,30,14,16,14,44,44,46,14,14p+16n+14e,44u+46d+14e,2,2,3,3,18,4,OPEN_SHELL,CEIL_NEIGHBOR,1/6,1,2,CONSTANT_BOUND_LADDER_LANE,49831/384,129.7682291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49831/48,1038.145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,348817/384,908.3776041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ015N016-FLOOR_PRIMARY,CR222-EZ015,15,16,31,15,16,15,46,46,47,15,15p+16n+15e,46u+47d+15e,2,3,3,3,18,5,OPEN_SHELL,FLOOR_PRIMARY,3/4,1,3,CONSTANT_BOUND_LADDER_LANE,35589/256,139.01953125,35589/32,1112.15625,249123/256,973.13671875,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ015N017-CEIL_NEIGHBOR,CR222-EZ015,15,17,32,15,17,15,47,47,49,15,15p+17n+15e,47u+49d+15e,2,3,3,3,18,5,OPEN_SHELL,CEIL_NEIGHBOR,1/4,1,3,CONSTANT_BOUND_LADDER_LANE,35593/256,139.03515625,35593/32,1112.28125,249151/256,973.24609375,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ016N017-FLOOR_PRIMARY,CR222-EZ016,16,17,33,16,17,16,49,49,50,16,16p+17n+16e,49u+50d+16e,2,4,3,3,18,6,OPEN_SHELL,FLOOR_PRIMARY,2/3,1,4,CONSTANT_BOUND_LADDER_LANE,28471/192,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,28471/24,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,199297/192,1038.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ016N018-CEIL_NEIGHBOR,CR222-EZ016,16,18,34,16,18,16,50,50,52,16,16p+18n+16e,50u+52d+16e,2,4,3,3,18,6,OPEN_SHELL,CEIL_NEIGHBOR,1/3,1,4,CONSTANT_BOUND_LADDER_LANE,14237/96,148.3020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,14237/12,1186.416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,99659/96,1038.114583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ017N018-FLOOR_PRIMARY,CR222-EZ017,17,18,35,17,18,17,52,52,53,17,17p+18n+17e,52u+53d+17e,2,5,3,3,18,7,OPEN_SHELL,FLOOR_PRIMARY,7/12,1,5,CONSTANT_BOUND_LADDER_LANE,121001/768,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,121001/96,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,847007/768,1102.873697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
