qga_test,artifact_path,exists,observed_sha256,manifest_sha256,hash_match,status
QGA053,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA053_MISSING_PARTNER_AND_CHIRALITY_COMPLETION_SELECTOR/QGA053_summary.json,True,5c880c723945c0d9d7102a132e57a9d2ca1aa60b7d54f07f8afd9a1ac00dee2b,5c880c723945c0d9d7102a132e57a9d2ca1aa60b7d54f07f8afd9a1ac00dee2b,True,hash_match
QGA054,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA054_ROW_EXACT_MASS_READOUT_FROM_NATIVE_CHIRAL_PACKET/QGA054_summary.json,True,e7e405e2f447116e2def6ae4a817972cf4094eeb08dd793a10f0bdcbf306602d,e7e405e2f447116e2def6ae4a817972cf4094eeb08dd793a10f0bdcbf306602d,True,hash_match
QGA055,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA055_FULL_STRICT_PARTICLE_LEDGER_FROM_NATIVE_ROW_READOUTS/QGA055_summary.json,True,d30adad52033964cf011ccb2d62274fabd0937cf524d0db971e6eb1f82d40013,d30adad52033964cf011ccb2d62274fabd0937cf524d0db971e6eb1f82d40013,True,hash_match
QGA056,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA056_NATIVE_PARTICLE_LEDGER_PREDICTOR_SURFACE_AUDIT/QGA056_summary.json,True,0789c59c90b8dc772f9577a41a831ee47d858bc6535ed378b4307ace4bda1aa7,0789c59c90b8dc772f9577a41a831ee47d858bc6535ed378b4307ace4bda1aa7,True,hash_match
QGA057,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA057_TOP_AUDIT_STRICTNESS_RESOLUTION_SELECTOR/QGA057_summary.json,True,f5f461e568af5dc2fb280d824167dc3be574da6079258e6d5a580b06fcd46822,f5f461e568af5dc2fb280d824167dc3be574da6079258e6d5a580b06fcd46822,True,hash_match
QGA058,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA058_ELECTROWEAK_SIDE_PACKET_FACTOR_DERIVATION/QGA058_summary.json,True,85e452abd4b27207878356ed33906f22f8c9ba1c785d703a3a0df48698672275,85e452abd4b27207878356ed33906f22f8c9ba1c785d703a3a0df48698672275,True,hash_match
QGA059,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA059_ELECTROWEAK_SIDE_PACKET_LOCK_INTEGRATION/QGA059_summary.json,True,6941422789933f5e8252d67486ca107bc9df0790429e01bc0e9445abc8589202,6941422789933f5e8252d67486ca107bc9df0790429e01bc0e9445abc8589202,True,hash_match
QGA060,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA060_PARTICLE_ENGINE_COMPLETION_SURFACE/QGA060_summary.json,True,31f14883b1ed4532778d53bb3a4a3f22c867d63710ed6d3dc869b109018ba6f7,31f14883b1ed4532778d53bb3a4a3f22c867d63710ed6d3dc869b109018ba6f7,True,hash_match
QGA068,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA068_NEUTRINO_FLAVOR_CHANNEL_SELECTOR/QGA068_summary.json,True,b826d24d0ac55b84f8f52cc322150cc8a425e1fce2f84938259904014becd856,b826d24d0ac55b84f8f52cc322150cc8a425e1fce2f84938259904014becd856,True,hash_match
QGA069,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA069_COLOR_EXTERNAL_MAPPING_AND_N_TARGET_SELECTOR/QGA069_summary.json,True,1d1467ec4b9b2c1995047c5f0faa75481cdf1f3ef94ed0c86b28941d4675b18e,1d1467ec4b9b2c1995047c5f0faa75481cdf1f3ef94ed0c86b28941d4675b18e,True,hash_match
QGA070,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA070_N_TARGET_CB_MASS_READOUT_SELECTOR/QGA070_summary.json,True,bc86a1b61e6031c4ad34c85db5becb1c6cb9f1ba49a012c80873f4aac741d903,bc86a1b61e6031c4ad34c85db5becb1c6cb9f1ba49a012c80873f4aac741d903,True,hash_match
QGA071,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA071_TRIADIC_SCREEN_PARTICLE_IDENTITY_SELECTOR/QGA071_summary.json,True,a1c40b4ba28eb4fa448b694fea03e02c882f646558fa2159f4e56aaa8a42f14b,a1c40b4ba28eb4fa448b694fea03e02c882f646558fa2159f4e56aaa8a42f14b,True,hash_match
QGA072,C:/VS/Stam_model-A-v1.0/tests/Substrate/QGA072_NEUTRAL_LEPTON_PARTNER_SELECTOR/QGA072_summary.json,True,d0ff8ad51be6a9c76d82f1021a7ca5d63a6c7a67af4627c28a49fe60d7ece662,d0ff8ad51be6a9c76d82f1021a7ca5d63a6c7a67af4627c28a49fe60d7ece662,True,hash_match
