D,D_to_D_minus_1,target_S_plus_1,face_axiom_F,radix_closure_F,agree
1,1,9,1,9,False
2,2,9,8,36,False
3,9,9,81,81,True
4,64,9,1024,144,False
5,625,9,15625,225,False
6,7776,9,279936,324,False
7,117649,9,5764801,441,False
8,2097152,9,134217728,576,False
9,43046721,9,3486784401,729,False
10,1000000000,9,100000000000,900,False
11,25937424601,9,3138428376721,1089,False
12,743008370688,9,106993205379072,1296,False
