id,passed,typed,cr221,diff
P12_typed_kappa_equals_CR221_kappa_floor,True,7117/768,7117/768,0
P13_typed_g_equals_CR221_neutron_G_unit,True,1/64,1/64,0
P14_two_route_consistency,True,,,0
