scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_matter_relations,history_100_relations,history_010_relations,history_110_relations,history_101_relations,carriers_with_precollapse_escape,carriers_with_postcollapse_escape,carriers_with_101_closure,dual_postcollapse_carriers,escape_before_closure_count,escape_before_closure_fraction,median_margin,closure_front_q10,closure_front_q50,closure_front_q90,post_escape_before_closure_q10_fraction,post_escape_before_closure_q50_fraction,post_escape_before_closure_q90_fraction
REF_0001,REFERENCE_LOW_DRIVE,low_drive,910001,0,localized_ledger_cells,2268,14,discovery,30717,925,3099,19678,121,62,252,29,29,18,0.6206896551724138,0.03242348853291577,1.0081526785721016,1.0453646021671157,1.3737604651688375,0.13095238095238096,0.3333333333333333,0.9880952380952381
REF_0002,REFERENCE_LOW_DRIVE,low_drive,910001,0,dispersed_slots,2268,14,discovery,2328,30,1656,339,2,26,211,2,0,0,,,1.1611524879701305,1.2452331956542624,1.3293139033383945,0.6255924170616114,0.7298578199052133,0.8341232227488151
REF_0003,REFERENCE_LOW_DRIVE,low_drive,910001,1,localized_ledger_cells,3402,21,discovery,53250,1234,11748,29129,138,71,378,48,48,32,0.6666666666666666,0.025191496867992713,1.0060611631087446,1.0580724326793842,1.2056484568303636,0.25396825396825395,0.5079365079365079,0.8756613756613757
REF_0004,REFERENCE_LOW_DRIVE,low_drive,910001,1,dispersed_slots,3402,21,discovery,11991,55,9469,1222,10,45,331,9,6,5,0.8333333333333334,0.18400567524020928,1.0539552792063944,1.1085354212329332,1.4425473285124755,0.5166163141993958,0.6646525679758308,0.9365558912386707
REF_0005,REFERENCE_LOW_DRIVE,low_drive,910001,2,localized_ledger_cells,5346,33,discovery,123873,1200,50188,49577,135,83,594,37,37,24,0.6486486486486487,0.013981242085086443,1.0056443342615156,1.041603458185927,1.2617953073282888,0.3686868686868687,0.5606060606060606,0.9764309764309764
REF_0006,REFERENCE_LOW_DRIVE,low_drive,910001,2,dispersed_slots,5346,33,discovery,54558,109,45008,4335,8,72,546,8,4,3,0.75,0.11898449015016355,1.0615097211607536,1.135660187238745,1.3377197096666493,0.7124542124542125,0.8040293040293041,0.9212454212454212
REF_0007,REFERENCE_LOW_DRIVE,low_drive,910001,3,localized_ledger_cells,9072,56,discovery,420022,3982,250837,100902,258,170,1008,74,74,53,0.7162162162162162,0.04586709609795059,1.00859477719281,1.0574696488887412,1.5363375293712613,0.6071428571428571,0.7619047619047619,1.0
REF_0008,REFERENCE_LOW_DRIVE,low_drive,910001,3,dispersed_slots,9072,56,discovery,252371,198,209130,20352,22,127,959,20,17,17,1.0,0.04556997131777751,1.0091197127819538,1.086938936731254,1.3925700634937954,0.616266944734098,0.8164754953076121,0.9562043795620438
REF_0009,REFERENCE_LOW_DRIVE,low_drive,910002,0,localized_ledger_cells,2268,14,discovery,30729,901,3325,20505,79,59,252,24,24,17,0.7083333333333334,0.059752012200401494,1.0123164312401458,1.0680861111160933,1.319851235545074,0.20634920634920634,0.4087301587301587,0.9801587301587301
REF_0010,REFERENCE_LOW_DRIVE,low_drive,910002,0,dispersed_slots,2268,14,discovery,2274,19,1634,336,1,19,213,1,0,0,,,1.0839503623017017,1.0839503623017017,1.0839503623017017,0.4225352112676056,0.4225352112676056,0.4225352112676056
REF_0011,REFERENCE_LOW_DRIVE,low_drive,910002,1,localized_ledger_cells,3402,21,discovery,54587,824,11876,30556,78,70,378,34,34,22,0.6470588235294118,0.05824259770388107,1.0079228664887125,1.086799292984658,1.2911938262279081,0.3439153439153439,0.6243386243386243,0.9841269841269841
REF_0012,REFERENCE_LOW_DRIVE,low_drive,910002,1,dispersed_slots,3402,21,discovery,11722,32,9250,1230,4,31,332,4,4,3,0.75,0.079405776293063,1.0450136532248888,1.2162942397057974,1.400260860767236,0.49698795180722893,0.8012048192771084,0.9126506024096386
REF_0013,REFERENCE_LOW_DRIVE,low_drive,910002,2,localized_ledger_cells,5346,33,discovery,126709,1103,52492,49742,107,84,594,41,41,34,0.8292682926829268,0.04515471823041195,1.0151144215007095,1.0698301814502575,1.277975267076728,0.48653198653198654,0.622895622895623,0.9865319865319865
REF_0014,REFERENCE_LOW_DRIVE,low_drive,910002,2,dispersed_slots,5346,33,discovery,54575,68,44637,4384,4,58,547,4,4,3,0.75,0.028821468850973808,1.0203927599767324,1.0619773384554922,1.1031557184046394,0.5411334552102377,0.6672760511882998,0.7440585009140768
REF_0015,REFERENCE_LOW_DRIVE,low_drive,910002,3,localized_ledger_cells,9072,56,discovery,412857,1456,237808,105538,163,137,1008,69,69,57,0.8260869565217391,0.03516043374817546,1.0088558984400888,1.0452853341961592,1.1390811218034214,0.6061507936507936,0.7549603174603174,0.8938492063492064
REF_0016,REFERENCE_LOW_DRIVE,low_drive,910002,3,dispersed_slots,9072,56,discovery,252517,137,208758,20419,26,106,963,24,23,21,0.9130434782608695,0.054101779071763056,1.0174374035333082,1.0593468572746758,1.5120248299605086,0.6926272066458983,0.7933541017653167,0.9719626168224299
REF_0017,REFERENCE_LOW_DRIVE,low_drive,910003,0,localized_ledger_cells,2268,14,validation,30746,869,3053,20932,66,57,252,24,24,16,0.6666666666666666,0.016978830616283358,1.0069502506528278,1.0419109954468988,1.1486816132041557,0.10317460317460317,0.30952380952380953,0.6468253968253969
REF_0018,REFERENCE_LOW_DRIVE,low_drive,910003,0,dispersed_slots,2268,14,validation,2228,36,1580,307,3,32,211,3,2,1,0.5,0.07194471540446323,1.0898351564317068,1.0932889583853969,1.196564185973245,0.44075829383886256,0.45023696682464454,0.6872037914691943
REF_0019,REFERENCE_LOW_DRIVE,low_drive,910003,1,localized_ledger_cells,3402,21,validation,56633,1194,15258,29833,126,68,378,38,38,23,0.6052631578947368,0.01128567397468283,1.0045076829149946,1.0448915932188643,1.1636708822364177,0.2619047619047619,0.5317460317460317,0.7883597883597884
REF_0020,REFERENCE_LOW_DRIVE,low_drive,910003,1,dispersed_slots,3402,21,validation,11528,67,9049,1173,5,57,332,5,3,2,0.6666666666666666,0.22741876881077872,1.1486831312636054,1.22764231052812,1.493463075655277,0.7289156626506024,0.8283132530120482,0.927710843373494
REF_0021,REFERENCE_LOW_DRIVE,low_drive,910003,2,localized_ledger_cells,5346,33,validation,125081,1038,53852,48156,153,71,594,39,39,27,0.6923076923076923,0.013871156654617245,1.0027639636901138,1.0239020650020865,1.1560815727528906,0.3047138047138047,0.48148148148148145,0.7643097643097643
REF_0022,REFERENCE_LOW_DRIVE,low_drive,910003,2,dispersed_slots,5346,33,validation,53900,128,44189,4247,11,91,546,11,9,8,0.8888888888888888,0.016446544062215684,1.0103868311205113,1.1544847458666045,1.7691946121020985,0.49633699633699635,0.826007326007326,0.9871794871794872
REF_0023,REFERENCE_LOW_DRIVE,low_drive,910003,3,localized_ledger_cells,9072,56,validation,405910,1607,239553,103467,155,84,1008,43,43,28,0.6511627906976745,0.009427739534145108,1.0056710809475315,1.035376381261566,1.152952064848024,0.5277777777777778,0.6994047619047619,0.876984126984127
REF_0024,REFERENCE_LOW_DRIVE,low_drive,910003,3,dispersed_slots,9072,56,validation,252078,210,208373,20302,20,151,958,20,18,15,0.8333333333333334,0.05735407910769896,1.0144356261504348,1.0815047243968592,1.5542706800127133,0.6816283924843424,0.8016701461377871,0.9686847599164927
REF_0025,REFERENCE_LOW_DRIVE,low_drive,910004,0,localized_ledger_cells,2268,14,final,31426,1096,3756,20148,104,74,252,31,31,21,0.6774193548387096,0.04179349972421953,1.0066773614811375,1.0505695590319684,1.200009388757699,0.23015873015873015,0.48412698412698413,0.8412698412698413
REF_0026,REFERENCE_LOW_DRIVE,low_drive,910004,0,dispersed_slots,2268,14,final,2266,20,1658,293,0,20,209,0,0,0,,,,,,,,
REF_0027,REFERENCE_LOW_DRIVE,low_drive,910004,1,localized_ledger_cells,3402,21,final,51308,1298,9784,29425,168,79,378,43,43,33,0.7674418604651163,0.025504800459992483,1.005159897980452,1.0412796238734163,1.1676234251277011,0.2751322751322751,0.48148148148148145,0.7857142857142857
REF_0028,REFERENCE_LOW_DRIVE,low_drive,910004,1,dispersed_slots,3402,21,final,11591,35,9160,1201,2,33,328,2,1,0,0.0,-0.1396762741762756,1.1500581843604945,1.3781720391855101,1.606285894010526,0.7408536585365854,0.9207317073170732,0.9634146341463414
REF_0029,REFERENCE_LOW_DRIVE,low_drive,910004,2,localized_ledger_cells,5346,33,final,134834,1252,60207,49684,168,83,594,40,40,29,0.725,0.02797137327725885,1.007721853219863,1.0506393675423418,1.1777656329264696,0.47474747474747475,0.6279461279461279,0.877104377104377
REF_0030,REFERENCE_LOW_DRIVE,low_drive,910004,2,dispersed_slots,5346,33,final,54576,65,44690,4301,5,58,547,5,3,2,0.6666666666666666,0.024849018246797083,1.0305978259130626,1.054253354136416,1.4419682873087738,0.6014625228519196,0.680073126142596,0.9414990859232175
REF_0031,REFERENCE_LOW_DRIVE,low_drive,910004,3,localized_ledger_cells,9072,56,final,452123,1477,279261,103942,143,116,1008,45,45,36,0.8,0.04939332112314787,1.0083009149561595,1.0620924155757208,1.2533793196352527,0.6646825396825397,0.8283730158730159,0.9871031746031746
REF_0032,REFERENCE_LOW_DRIVE,low_drive,910004,3,dispersed_slots,9072,56,final,252431,124,209122,20326,16,115,964,16,13,13,1.0,0.04120272857271079,1.0190689130028048,1.0603334057306366,1.6245289264161298,0.6856846473029046,0.7821576763485477,0.9823651452282157
REF_0129,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,0,localized_ledger_cells,2268,14,discovery,30684,968,3346,21952,78,62,252,25,25,18,0.72,0.03511630323177983,1.0187174688084104,1.0574184516216296,1.217467204583955,0.2222222222222222,0.40476190476190477,0.9325396825396826
REF_0130,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,0,dispersed_slots,2268,14,discovery,2294,30,1742,413,2,26,213,2,0,0,,,1.1421761273671853,1.2283610232549096,1.314545919142634,0.6572769953051644,0.8075117370892019,0.8826291079812206
REF_0131,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,1,localized_ledger_cells,3402,21,discovery,53171,1260,12463,33037,112,72,378,42,42,28,0.6666666666666666,0.029983385402875484,1.0049447879823,1.04912803340149,1.2317135415417264,0.2724867724867725,0.5132275132275133,0.9814814814814815
