scenario_id,seed,door,anchor,p_level,geometry,carrier_atom_index,precollapse_escape_relations,postcollapse_escape_relations,closure_101_relations,tau_escape_pre,tau_escape_post,tau_closure,dual_postcollapse,margin_post_escape_to_closure,escape_before_closure
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,0,0,89,0,,1.2257662762158152,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1,0,70,0,,1.2843332711316022,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2,0,81,0,,1.379495677920625,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,3,0,91,0,,1.2264992848435532,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,4,0,53,0,,1.4014163118710747,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,5,0,81,0,,1.3356216512761057,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,6,0,73,0,,1.3614325872573119,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,7,0,83,0,,1.4128722099050037,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,8,0,118,0,,1.1988874274784243,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,9,0,76,0,,1.2533118270804646,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,10,0,95,0,,1.3000906724025159,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,11,0,94,0,,1.3523753412836386,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,12,0,79,0,,1.2201139245120924,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,13,0,77,0,,1.279442063851933,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,14,0,70,0,,1.2629118911304866,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,15,0,92,0,,1.2419312135447729,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,16,0,53,0,,1.3520963190925914,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,17,0,95,0,,1.2652682342094366,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,162,0,63,0,,1.2209314962291549,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,163,0,101,0,,1.2340393564289918,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,164,0,77,0,,1.2793385036628484,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,165,0,82,0,,1.210664731390665,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,166,0,67,0,,1.3028480822874478,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,167,0,81,0,,1.33987151401666,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,168,0,72,0,,1.2615320489128,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,169,0,74,0,,1.3055895750504087,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,170,0,103,0,,1.225648913290603,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,171,0,66,0,,1.2272745470617425,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,172,0,91,0,,1.317189200743001,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,173,0,103,0,,1.1911042768997968,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,174,0,67,0,,1.290761279306647,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,175,0,59,0,,1.3547820765846523,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,176,0,58,0,,1.3040243443797443,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,177,0,81,0,,1.2487623407535329,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,178,0,66,0,,1.210801577866953,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,179,0,86,0,,1.297439193221623,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,324,0,98,0,,1.1158374918915104,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,325,0,80,0,,1.1639952530356412,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,326,0,110,0,,1.176948650037454,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,327,0,103,0,,1.116069147069012,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,328,0,104,0,,1.2046454007626566,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,329,0,100,0,,1.1763640522740293,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,330,0,83,0,,1.2559030541536225,,False,,
