geometry,door,primary_carriers,inequality_count,inequality_fraction,median_margin,q10_margin,q90_margin
localized_ledger_cells,discovery,927,698,0.7529665587918015,0.0408196843198958,-0.04034912812101962,0.2818407007653831
localized_ledger_cells,validation,382,264,0.6910994764397905,0.01812887104234473,-0.07503550921078427,0.12089560566533514
localized_ledger_cells,final,420,329,0.7833333333333333,0.03290831395197391,-0.042918859763294834,0.17372074589412914
dispersed_slots,discovery,146,137,0.9383561643835616,0.06905355364502996,0.003734478927850171,0.5768427371159774
dispersed_slots,validation,77,68,0.8831168831168831,0.05994241816991175,-0.0005601514196635015,0.4761173111761906
dispersed_slots,final,41,39,0.9512195121951219,0.06325330507136906,0.010683809271931244,0.5139915218765505
