upstream,artifact,observed_sha256,expected_sha256,role,passed
CR219_promoted_particle_rows,C:\VS\CR219_promoted_particle_rows_126.csv,45a8e7d20117b5aad62933d3858faf892cd3a3620c2ea8671f05904b10f1142f,45a8e7d20117b5aad62933d3858faf892cd3a3620c2ea8671f05904b10f1142f,particle/carrier/control source rows and promotion-gate evidence,True
CR222b_packet_contract,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222b_PAUL_REVERE_PACKET_CONTRACT\Paul_Revere_PacketContract.csv,79d5c3bb6384910d54f61df519d6f4cc005f5fd6b30952a1d78440be02e1a009,79d5c3bb6384910d54f61df519d6f4cc005f5fd6b30952a1d78440be02e1a009,sealed carrier packet checksum,True
CR222d_promotion_gate,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222d_ROW_TAXONOMY_PROMOTION_GATE\CR222d_row_taxonomy_theorem.csv,c0f8918974f660ddb0e51e10e3c37f1d59b8bcf0b98b0d02cec1d81ae2a1320a,c0f8918974f660ddb0e51e10e3c37f1d59b8bcf0b98b0d02cec1d81ae2a1320a,support inventory != matter promotion,True
CR222e_emission_gate,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222e_PR_WARNING_EMISSION_GATE\CR222e_emission_state_machine.csv,a79ee4b0d5519c85eb6edded7f96e698b51a274b56e1e64f2b160c5ef211f2d7,a79ee4b0d5519c85eb6edded7f96e698b51a274b56e1e64f2b160c5ef211f2d7,sealed packet + protocol trigger -> emitted warning,True
CR222f_platform_adapter,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222f_PR_PLATFORM_ADAPTER_CONTRACT\CR222f_platform_adapter_contract.csv,79b809caa041f42a324203396e6531a5a3b2b48167038b59831bd40169179ba8,79b809caa041f42a324203396e6531a5a3b2b48167038b59831bd40169179ba8,platform adapter with NV and photonic threshold scenarios,True
CR223a_firing_coefficients,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR223a_PR_OBSERVABLE_IDENTITY_LOCK\CR223a_firing_coefficients.csv,b32f6767c5b2a16cfba887fa8b8e340732ecce430b7d3083774465b46d9be4d2,b32f6767c5b2a16cfba887fa8b8e340732ecce430b7d3083774465b46d9be4d2,same-domain PR observable timing context,True
