geometry,lane,exponent,permutation_id,anchor,bounce_energy,fallback_scale,seed,ledger_counts,total_ledgers,atom_count,carrier_count,matter_count,shadow_count,ledger_localization_radius,edge_count,edges_per_atom,residue_cluster_count,residue_clusters_per_1000_atoms,mean_residue_size,compact_remnant_count,fallback_count,ejecta_residue_count,ejecta_free_count,free_spray_count,remnant_fraction,residue_fraction,ejecta_fraction,unlinked_tensor_fraction,mapped_ringdown_carrier_exposure,mapped_amplitude_scale,remnant_class,wave_channel,all_invariants_pass,complete_ledger_typing_pass,initial_shell_bounds_pass
localized_ledger_cells,p3_radial_permutation_3d,3,0,middle_drive,1.05,1.2,2605,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.03972389559904609,6285,0.6927910052910053,34,3.747795414462081,44.911764705882355,3911,3363,1527,227,44,0.8018077601410935,0.16832010582010581,0.19819223985890652,0.05320096223230452,0.006650120279038065,0.23065333778704467,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,middle_drive,1.05,1.2,2606,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.03978794448022098,7358,0.8110670194003528,29,3.196649029982363,58.93103448275862,3948,3198,1709,184,33,0.7876984126984127,0.18838183421516755,0.2123015873015873,0.052412971055510994,0.006551621381938874,0.22893879325162653,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,middle_drive,1.05,1.2,2607,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.039607300408412434,7169,0.7902336860670194,27,2.9761904761904763,62.51851851851852,3920,3213,1688,223,28,0.7862654320987654,0.18606701940035272,0.21373456790123457,0.05529464812431778,0.0069118310155397225,0.23514814080557342,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2601,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.03980207042392795,7221,0.7959656084656085,59,6.50352733686067,34.32203389830509,3888,2588,2025,411,160,0.7138447971781305,0.22321428571428573,0.2861552028218695,0.11242187729950891,0.014052734662438613,0.3352937179541378,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2602,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.03974857437033947,6546,0.7215608465608465,41,4.519400352733686,50.0,3888,2543,2050,395,196,0.7088844797178131,0.2259700176366843,0.29111552028218696,0.10517291798938859,0.013146614748673574,0.32430374340945956,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2603,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.039791883129792,6888,0.7592592592592593,48,5.291005291005291,44.666666666666664,3888,2482,2144,382,176,0.7021604938271605,0.23633156966490299,0.2978395061728395,0.11153880586024963,0.013942350732531203,0.3339742592779414,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2604,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.039937970240453625,6674,0.7356701940035273,55,6.0626102292768955,36.8,3888,2555,2024,427,178,0.7102072310405644,0.22310405643738976,0.2897927689594356,0.11243239230243648,0.01405404903780456,0.3353093978737197,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2605,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.03972389559904609,6758,0.7449294532627866,57,6.283068783068783,34.98245614035088,3888,2545,1994,458,187,0.7091049382716049,0.21979717813051147,0.2908950617283951,0.1169521760728387,0.014619022009104837,0.34198271311988665,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2606,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.03978794448022098,7420,0.8179012345679012,41,4.519400352733686,52.53658536585366,3888,2460,2154,374,196,0.6997354497354498,0.23743386243386244,0.3002645502645503,0.10572397109488382,0.013215496386860478,0.32515222757176954,collapse_dominated,weak_leakage,True,True,True
localized_ledger_cells,p3_radial_permutation_3d,3,0,high_drive,1.35,1.0,2607,core:24|heavy_shell:16|fusion_shell:9|outer_light_shell:7,56,9072,1008,7056,1008,0.039607300408412434,6696,0.7380952380952381,44,4.850088183421517,46.77272727272727,3888,2485,2058,470,171,0.7024911816578483,0.22685185185185186,0.29750881834215165,0.12139452790808238,0.015174315988510297,0.3484171751049055,collapse_dominated,weak_leakage,True,True,True
