geometry,metric,aligned_p3_mean,permutation_min,permutation_max,lower_percentile,permutation_count
localized_ledger_cells,remnant_fraction,0.7883387923070463,0.4293850256151844,0.7883387923070463,1.0,24
localized_ledger_cells,residue_fraction,0.1766345427059713,0.1766345427059713,0.4852450239355002,0.041666666666666664,24
localized_ledger_cells,ejecta_fraction,0.21166120769295374,0.21166120769295374,0.5706149743848157,0.041666666666666664,24
localized_ledger_cells,unlinked_tensor_fraction,0.06872712270101268,0.0680222515419247,0.10662192512601691,0.08333333333333333,24
localized_ledger_cells,edges_per_atom,0.7320011337868481,0.7320011337868481,1.9775237255395985,0.041666666666666664,24
localized_ledger_cells,residue_clusters_per_1000_atoms,3.558830939783321,3.558830939783321,8.88657932308726,0.041666666666666664,24
localized_ledger_cells,mean_residue_size,54.192113156756555,52.53967702634533,62.947846841456155,0.125,24
localized_ledger_cells,mapped_ringdown_carrier_exposure,0.008590890337626585,0.008502781442740588,0.013327740640752114,0.08333333333333333,24
dispersed_slots,remnant_fraction,0.8190455194423448,0.48262576635592513,0.8190455194423448,1.0,24
dispersed_slots,residue_fraction,0.001679684219366759,0.001679684219366759,0.03208721760309062,0.041666666666666664,24
dispersed_slots,ejecta_fraction,0.18095448055765515,0.18095448055765515,0.5173742336440749,0.041666666666666664,24
dispersed_slots,unlinked_tensor_fraction,0.354731027012948,0.35086318074389694,0.6281067917496641,0.08333333333333333,24
dispersed_slots,edges_per_atom,0.007432602670697909,0.007432602670697909,0.0600644578819182,0.041666666666666664,24
dispersed_slots,residue_clusters_per_1000_atoms,0.5249013185521122,0.5249013185521122,9.437725707566978,0.041666666666666664,24
dispersed_slots,mean_residue_size,3.0609839895554183,3.054669140383426,3.4176430695315068,0.125,24
dispersed_slots,mapped_ringdown_carrier_exposure,0.0443413783766185,0.04385789759298712,0.07851334896870801,0.08333333333333333,24
