geometry,metric,aligned_p3_mean,uniform_same_total_mean,aligned_minus_uniform
localized_ledger_cells,remnant_fraction,0.7883387923070463,0.49843054505752926,0.289908247249517
localized_ledger_cells,residue_fraction,0.1766345427059713,0.4273589065255732,-0.2507243638196019
localized_ledger_cells,ejecta_fraction,0.21166120769295374,0.5015694549424708,-0.28990824724951714
localized_ledger_cells,unlinked_tensor_fraction,0.06872712270101268,0.09995747543389577,-0.03123035273288309
localized_ledger_cells,edges_per_atom,0.7320011337868481,1.7485512723607963,-1.0165501385739484
localized_ledger_cells,residue_clusters_per_1000_atoms,3.558830939783321,7.600571092634585,-4.041740152851264
localized_ledger_cells,mean_residue_size,54.192113156756555,61.948645248450596,-7.756532091694041
localized_ledger_cells,mapped_ringdown_carrier_exposure,0.008590890337626585,0.012494684429236971,-0.0039037940916103863
dispersed_slots,remnant_fraction,0.8190455194423448,0.5510256571764508,0.268019862265894
dispersed_slots,residue_fraction,0.001679684219366759,0.020187704711514234,-0.018508020492147476
dispersed_slots,ejecta_fraction,0.18095448055765515,0.4489743428235492,-0.268019862265894
dispersed_slots,unlinked_tensor_fraction,0.354731027012948,0.5905737116081949,-0.23584268459524693
dispersed_slots,edges_per_atom,0.007432602670697909,0.04538296800201562,-0.03795036533131771
dispersed_slots,residue_clusters_per_1000_atoms,0.5249013185521122,6.272570756697741,-5.747669438145628
dispersed_slots,mean_residue_size,3.0609839895554183,3.205405938744273,-0.14442194918885454
dispersed_slots,mapped_ringdown_carrier_exposure,0.0443413783766185,0.07382171395102437,-0.029480335574405866
