item,value,pass
Omega_m,0.3183098861837907,True
Omega_L,0.6816901138162093,True
A_los_max,0.3183098861837907,True
H_0_input,68.76,True
H_inf_native,56.771368846100025,True
H_inf_readout,38.70048089019993,True
H_inf_readout_over_H_0,0.5628342188801618,True
z_eq_Lambda,0.2889783497123428,True
z_acc,0.624010955661336,True
q_0,-0.522535170724314,True
P1_max_relative_deviation,1.2515864073777952e-16,True
P2_relative_deviation,1.8360049265951887e-16,True
P3_relative_deviation,0.0,True
P1_passed,True,True
P2_passed,True,True
P3_passed,True,True
H_inf_LCDM_native,56.90902613821467,True
verdict,PASS,True
A_los_today,0.0,True
c_eff_today,299792.458,True
H_native_today,68.76,True
H_readout_today,68.76,True
A_los_z_eq_Lambda,0.16967756544332144,True
c_eff_z_eq_Lambda,248924.4035882908,True
H_native_z_eq_Lambda,80.28683977664005,True
H_readout_z_eq_Lambda,66.66396426620175,True
A_los_z_acc,0.24399372581355608,True
c_eff_z_acc,226644.97920177598,True
H_native_z_acc,98.33089525667813,True
H_readout_z_acc,74.3387737604187,True
A_los_z=1,0.2785211504108169,True
c_eff_z=1,216293.91771335347,True
H_native_z=1,123.54182512566524,True
H_readout_z=1,89.13281386781298,True
A_los_z=5,0.3168362293033102,True
c_eff_z=5,204807.34603370898,True
H_native_z=5,572.9677413765229,True
H_readout_z=5,391.4308026863511,True
A_los_z=10,0.3180707352550275,True
c_eff_z=10,204437.25046002804,True
H_native_z=10,1416.4428965271723,True
H_readout_z=10,965.9138629820137,True
A_los_z=100,0.3183095772353512,True
c_eff_z=100,204365.6474356732,True
H_native_z=100,39377.07417319967,True
H_readout_z=100,26842.974340363413,True
A_los_z_*,0.3183098859386723,True
c_eff_z_*,204365.55488874577,True
H_native_z_*,1397970.663820567,True
H_readout_z_*,952982.7812742323,True
A_los_z=1e6,0.3183098861837907,True
c_eff_z=1e6,204365.55481526113,True
H_native_z=1e6,38793733955.27191,True
H_readout_z=1e6,26445304915.32505,True
