symbol,pdg_MeV,nearest_neighbor,nearest_gap_pct,gap_exceeds_1pct_tolerance
e,0.51099895,u,322.701,True
u,2.16,e,76.343,True
d,4.67,u,53.747,True
s,93.4,mu,13.125,True
mu,105.6583755,s,11.602,True
c,1273.0,tau,39.581,True
tau,1776.86,c,28.357,True
b,4183.0,tau,57.522,True
W,80369.2,Z,13.461,True
Z,91187.6,W,11.864,True
H,125250.0,Z,27.196,True
t,172690.0,H,27.471,True
