step,op,distance,face_A,alpha_h_A,status_A,cumA_A,face_B,alpha_h_B,status_B,cumA_B
0,INIT,12.0,9,0,resolved,0.0,4,0,resolved,0.0
1,B-A,12.0,9,1,resolved,0.0010438413361169101,4,0,resolved,8.698677800974251e-05
2,C-A-B,12.0,9,1,resolved,0.0021746694502435627,4,1,resolved,0.0012178148921363951
3,PUBLISH-A,12.0,9,1,resolved,0.0032185107863604728,4,1,resolved,0.0013048016701461378
4,PUBLISH-B,12.0,9,1,resolved,0.003305497564370215,4,1,resolved,0.002348643006263048
