candidate_id,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,q_abs,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,M_native,surface_sign,surface_depth,surface_packet_address,S_debit_or_credit,M_observed_candidate,qA_source_support,tensor_carrier_support,retained_write_support,matter_row_allowed,known_match,promotion_status,Column1
QP093A-0001,stable_matter_rows,"plus_single_write[p=1,g=0]",V4_1_SINGLE_WRITE,single_write,1,0,positive,1,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,1.25,zero_contact,route_contact,route_contact,0,1.25,1.258680556,0.157335069,1.101345486,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0002,stable_matter_rows,"minus_single_write[p=1,g=0]",V4_1_SINGLE_WRITE,single_write,1,0,negative,1,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,1.5,zero_contact,route_contact,route_contact,0,1.5,1.510416667,0.188802083,1.321614583,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0003,stable_matter_rows,"neutral_single_write[p=1,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.125,zero_contact,route_contact,route_contact,0,0.125,0.125,0.015625,0.109375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0004,stable_matter_rows,"plus_single_write[p=2,g=0]",V4_1_SINGLE_WRITE,single_write,2,0,positive,2,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,2.5,zero_contact,route_contact,route_contact,0,2.5,2.534722222,0.316840278,2.217881944,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0005,stable_matter_rows,"minus_single_write[p=2,g=0]",V4_1_SINGLE_WRITE,single_write,2,0,negative,2,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,3,zero_contact,route_contact,route_contact,0,3,3.041666667,0.380208333,2.661458333,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0006,stable_matter_rows,"neutral_single_write[p=2,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,2,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.25,zero_contact,route_contact,route_contact,0,0.25,0.25,0.03125,0.21875,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0007,stable_matter_rows,"plus_single_write[p=3,g=0]",V4_1_SINGLE_WRITE,single_write,3,0,positive,3,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,3.75,zero_contact,route_contact,route_contact,0,3.75,3.828125,0.478515625,3.349609375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0008,stable_matter_rows,"minus_single_write[p=3,g=0]",V4_1_SINGLE_WRITE,single_write,3,0,negative,3,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,4.5,zero_contact,route_contact,route_contact,0,4.5,4.59375,0.57421875,4.01953125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0009,stable_matter_rows,"neutral_single_write[p=3,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,3,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.375,zero_contact,route_contact,route_contact,0,0.375,0.375,0.046875,0.328125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0010,stable_matter_rows,"plus_single_write[p=4,g=0]",V4_1_SINGLE_WRITE,single_write,4,0,positive,4,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,5,zero_contact,route_contact,route_contact,0,5,5.138888889,0.642361111,4.496527778,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
