geometry,anchor,seed,p0_remnant_fraction,p1_remnant_fraction,p2_remnant_fraction,p3_remnant_fraction,p0_to_p1_delta,p1_to_p2_delta,p2_to_p3_delta,p0_to_p3_delta,strict_monotonic_increase
localized_ledger_cells,high_drive,2601,0.3787477954144621,0.5014697236919459,0.6124205013093902,0.7138447971781305,0.1227219282774838,0.11095077761744432,0.10142429586874036,0.33509700176366847,True
localized_ledger_cells,high_drive,2602,0.36243386243386244,0.4847148736037625,0.6038159371492705,0.7088844797178131,0.12228101116990003,0.11910106354550803,0.10506854256854259,0.34645061728395066,True
localized_ledger_cells,high_drive,2603,0.37257495590828926,0.4782480893592005,0.6041900486344931,0.7021604938271605,0.10567313345091123,0.12594195927529261,0.0979704451926674,0.32958553791887124,True
localized_ledger_cells,high_drive,2604,0.37037037037037035,0.48824221046443267,0.6109240553684998,0.7102072310405644,0.11787184009406232,0.12268184490406714,0.09928317567206457,0.33983686067019403,True
localized_ledger_cells,high_drive,2605,0.37918871252204583,0.49088771310993534,0.6023194912083801,0.7091049382716049,0.11169900058788951,0.11143177809844479,0.10678544706322479,0.3299162257495591,True
localized_ledger_cells,high_drive,2606,0.3628747795414462,0.4782480893592005,0.6017583239805462,0.6997354497354498,0.11537330981775429,0.1235102346213457,0.09797712575490358,0.33686067019400356,True
localized_ledger_cells,high_drive,2607,0.36904761904761907,0.4835390946502058,0.599139543583988,0.7024911816578483,0.11449147560258671,0.11560044893378224,0.10335163807386027,0.3334435626102292,True
localized_ledger_cells,low_drive,2601,0.6296296296296297,0.7069370958259847,0.8063973063973064,0.8670634920634921,0.07730746619635509,0.0994602105713217,0.060666185666185646,0.23743386243386244,True
localized_ledger_cells,low_drive,2602,0.6146384479717814,0.6940035273368607,0.8007856341189674,0.8635361552028219,0.0793650793650793,0.10678210678210676,0.06275052108385448,0.24889770723104054,True
localized_ledger_cells,low_drive,2603,0.6208112874779541,0.6969429747207525,0.8009726898615788,0.8617724867724867,0.0761316872427984,0.10402971514082626,0.06079979691090798,0.24096119929453264,True
localized_ledger_cells,low_drive,2604,0.6252204585537919,0.7081128747795414,0.8063973063973064,0.8669532627865961,0.0828924162257495,0.09828443161776501,0.06055595638928968,0.2417328042328042,True
localized_ledger_cells,low_drive,2605,0.626984126984127,0.7022339800117577,0.8052749719416387,0.8675044091710759,0.07524985302763076,0.10304099192988092,0.06222943722943719,0.24052028218694887,True
localized_ledger_cells,low_drive,2606,0.6212522045855379,0.7019400352733686,0.803030303030303,0.8624338624338624,0.0806878306878307,0.10109026775693442,0.05940355940355946,0.24118165784832457,True
localized_ledger_cells,low_drive,2607,0.6190476190476191,0.6995884773662552,0.7985409652076318,0.8647486772486772,0.08054085831863611,0.09895248784137667,0.06620771204104536,0.24570105820105814,True
localized_ledger_cells,middle_drive,2601,0.5017636684303352,0.6131687242798354,0.7138047138047138,0.8000440917107584,0.11140505584950022,0.1006359895248784,0.08623937790604463,0.29828042328042326,True
localized_ledger_cells,middle_drive,2602,0.4775132275132275,0.5928865373309817,0.7048260381593715,0.7976190476190477,0.11537330981775423,0.11193950082838977,0.09279300945967617,0.32010582010582017,True
localized_ledger_cells,middle_drive,2603,0.48721340388007056,0.5855379188712522,0.7033295922184811,0.787147266313933,0.09832451499118161,0.11779167334722895,0.08381767409545182,0.2999338624338624,True
localized_ledger_cells,middle_drive,2604,0.4916225749559083,0.6019988242210464,0.7044519266741489,0.7940917107583775,0.11037624926513817,0.10245310245310246,0.08963978408422857,0.3024691358024692,True
localized_ledger_cells,middle_drive,2605,0.5048500881834215,0.6084656084656085,0.7151141040029929,0.8018077601410935,0.10361552028218701,0.10664849553738442,0.08669365613810054,0.296957671957672,True
localized_ledger_cells,middle_drive,2606,0.49074074074074076,0.5893592004703115,0.7050130939019827,0.7876984126984127,0.09861845972957078,0.1156538934316712,0.08268531879642993,0.2969576719576719,True
localized_ledger_cells,middle_drive,2607,0.4801587301587302,0.588477366255144,0.693228582117471,0.7862654320987654,0.10831863609641385,0.10475121586232694,0.09303684998129447,0.30610670194003525,True
dispersed_slots,high_drive,2601,0.431657848324515,0.5308641975308642,0.6361765806210251,0.7415123456790124,0.09920634920634924,0.10531238309016089,0.10533576505798725,0.3098544973544974,True
dispersed_slots,high_drive,2602,0.43033509700176364,0.5317460317460317,0.6576879910213244,0.7417328042328042,0.1014109347442681,0.12594195927529261,0.08404481321147983,0.31139770723104054,True
dispersed_slots,high_drive,2603,0.4312169312169312,0.5302763080540859,0.6380471380471381,0.7428350970017636,0.09905937683715466,0.10777082999305221,0.10478795895462556,0.3116181657848324,True
dispersed_slots,high_drive,2604,0.42901234567901236,0.5335097001763669,0.6384212495323607,0.7416225749559083,0.10449735449735453,0.10491154935599378,0.10320132542354765,0.31261022927689597,True
dispersed_slots,high_drive,2605,0.43386243386243384,0.5349794238683128,0.666853722409278,0.7427248677248677,0.10111699000587893,0.13187429854096522,0.0758711453155897,0.30886243386243384,True
dispersed_slots,high_drive,2606,0.43253968253968256,0.5355673133450911,0.6657313879536102,0.7436067019400353,0.10302763080540855,0.1301640746085191,0.07787531398642511,0.31106701940035275,True
dispersed_slots,high_drive,2607,0.43077601410934746,0.5308641975308642,0.6535727646838758,0.740189594356261,0.10008818342151676,0.1227085671530116,0.08661682967238515,0.3094135802469135,True
dispersed_slots,low_drive,2601,0.6556437389770723,0.7231040564373897,0.8222970445192668,0.8747795414462081,0.06746031746031744,0.09919298808187704,0.05248249692694129,0.21913580246913578,True
dispersed_slots,low_drive,2602,0.6565255731922398,0.7225161669606114,0.8217358772914328,0.8811728395061729,0.06599059376837157,0.09921971033082144,0.05943696221474004,0.22464726631393306,True
dispersed_slots,low_drive,2603,0.6547619047619048,0.7231040564373897,0.8202394313505424,0.8798500881834215,0.06834215167548496,0.09713537491315272,0.05961065683287903,0.2250881834215167,True
dispersed_slots,low_drive,2604,0.6552028218694885,0.7225161669606114,0.8200523756079312,0.8747795414462081,0.06731334509112286,0.09753620864731982,0.05472716583827686,0.21957671957671954,True
dispersed_slots,low_drive,2605,0.6525573192239859,0.7228101116990006,0.822484100261878,0.876984126984127,0.0702527924750147,0.09967398856287746,0.05450002672224896,0.22442680776014112,True
dispersed_slots,low_drive,2606,0.6547619047619048,0.7225161669606114,0.8234193789749346,0.8786375661375662,0.06775426219870662,0.10090321201432317,0.055218187162631605,0.2238756613756614,True
dispersed_slots,low_drive,2607,0.6529982363315696,0.7239858906525574,0.8217358772914328,0.874889770723104,0.07098765432098775,0.09774998663887546,0.053153893431671206,0.22189153439153442,True
dispersed_slots,middle_drive,2601,0.5806878306878307,0.6601998824221046,0.7895622895622896,0.8371913580246914,0.07951205173427389,0.129362407140185,0.04762906846240178,0.25650352733686066,True
dispersed_slots,middle_drive,2602,0.5798059964726632,0.6604938271604939,0.7577628133183689,0.8384038800705468,0.0806878306878307,0.09726898615787505,0.08064106675217786,0.2585978835978836,True
dispersed_slots,middle_drive,2603,0.5789241622574955,0.6625514403292181,0.7826412270856715,0.8364197530864198,0.08362727807172254,0.12008978675645343,0.053778526000748283,0.25749559082892426,True
dispersed_slots,middle_drive,2604,0.5798059964726632,0.6601998824221046,0.787317620650954,0.8379629629629629,0.08039388594944141,0.12711773822884942,0.0506453423120089,0.25815696649029973,True
dispersed_slots,middle_drive,2605,0.5811287477954145,0.6596119929453262,0.7508417508417509,0.8377425044091711,0.07848324514991178,0.09122975789642462,0.08690075356742022,0.2566137566137566,True
dispersed_slots,middle_drive,2606,0.5824514991181657,0.6599059376837154,0.7532734754956977,0.8387345679012346,0.07745443856554968,0.09336753781198226,0.0854610924055369,0.25628306878306883,True
dispersed_slots,middle_drive,2607,0.5815696649029982,0.6599059376837154,0.7611298166853723,0.8381834215167548,0.0783362727807172,0.10122387900165686,0.07705360483138257,0.2566137566137566,True
