geometry,anchor,seed,inward_p3_total_ledgers,uniform_total_ledgers,inward_p3_remnant_fraction,uniform_remnant_fraction,inward_minus_uniform,direction_pass,inventory_match
localized_ledger_cells,high_drive,2601,56,56,0.7138447971781305,0.3776455026455027,0.33619929453262787,True,True
localized_ledger_cells,high_drive,2602,56,56,0.7088844797178131,0.37114197530864196,0.33774250440917114,True,True
localized_ledger_cells,high_drive,2603,56,56,0.7021604938271605,0.36574074074074076,0.33641975308641975,True,True
localized_ledger_cells,high_drive,2604,56,56,0.7102072310405644,0.37356701940035275,0.33664021164021163,True,True
localized_ledger_cells,high_drive,2605,56,56,0.7091049382716049,0.3697089947089947,0.3393959435626102,True,True
localized_ledger_cells,high_drive,2606,56,56,0.6997354497354498,0.36496913580246915,0.3347663139329806,True,True
localized_ledger_cells,high_drive,2607,56,56,0.7024911816578483,0.3707010582010582,0.3317901234567901,True,True
localized_ledger_cells,low_drive,2601,56,56,0.8670634920634921,0.6255511463844797,0.24151234567901236,True,True
localized_ledger_cells,low_drive,2602,56,56,0.8635361552028219,0.6311728395061729,0.23236331569664903,True,True
localized_ledger_cells,low_drive,2603,56,56,0.8617724867724867,0.6242283950617284,0.2375440917107583,True,True
localized_ledger_cells,low_drive,2604,56,56,0.8669532627865961,0.6285273368606702,0.23842592592592593,True,True
localized_ledger_cells,low_drive,2605,56,56,0.8675044091710759,0.6322751322751323,0.23522927689594353,True,True
localized_ledger_cells,low_drive,2606,56,56,0.8624338624338624,0.6272045855379189,0.23522927689594353,True,True
localized_ledger_cells,low_drive,2607,56,56,0.8647486772486772,0.6287477954144621,0.23600088183421508,True,True
localized_ledger_cells,middle_drive,2601,56,56,0.8000440917107584,0.5009920634920635,0.2990520282186949,True,True
localized_ledger_cells,middle_drive,2602,56,56,0.7976190476190477,0.5028659611992945,0.2947530864197532,True,True
localized_ledger_cells,middle_drive,2603,56,56,0.787147266313933,0.4888668430335097,0.29828042328042326,True,True
localized_ledger_cells,middle_drive,2604,56,56,0.7940917107583775,0.49173280423280424,0.30235890652557323,True,True
localized_ledger_cells,middle_drive,2605,56,56,0.8018077601410935,0.5067239858906526,0.29508377425044086,True,True
localized_ledger_cells,middle_drive,2606,56,56,0.7876984126984127,0.49250440917107585,0.2951940035273368,True,True
localized_ledger_cells,middle_drive,2607,56,56,0.7862654320987654,0.492173721340388,0.2940917107583774,True,True
dispersed_slots,high_drive,2601,56,56,0.7415123456790124,0.42647707231040566,0.3150352733686067,True,True
dispersed_slots,high_drive,2602,56,56,0.7417328042328042,0.42824074074074076,0.31349206349206343,True,True
dispersed_slots,high_drive,2603,56,56,0.7428350970017636,0.4273589065255732,0.31547619047619047,True,True
dispersed_slots,high_drive,2604,56,56,0.7416225749559083,0.4262566137566138,0.31536596119929455,True,True
dispersed_slots,high_drive,2605,56,56,0.7427248677248677,0.42824074074074076,0.3144841269841269,True,True
dispersed_slots,high_drive,2606,56,56,0.7436067019400353,0.4273589065255732,0.31624779541446213,True,True
dispersed_slots,high_drive,2607,56,56,0.740189594356261,0.42471340388007056,0.3154761904761904,True,True
dispersed_slots,low_drive,2601,56,56,0.8747795414462081,0.6548721340388007,0.21990740740740733,True,True
dispersed_slots,low_drive,2602,56,56,0.8811728395061729,0.6535493827160493,0.22762345679012352,True,True
dispersed_slots,low_drive,2603,56,56,0.8798500881834215,0.6545414462081128,0.22530864197530864,True,True
dispersed_slots,low_drive,2604,56,56,0.8747795414462081,0.6526675485008818,0.22211199294532624,True,True
dispersed_slots,low_drive,2605,56,56,0.876984126984127,0.6534391534391535,0.2235449735449735,True,True
dispersed_slots,low_drive,2606,56,56,0.8786375661375662,0.6534391534391535,0.22519841269841268,True,True
dispersed_slots,low_drive,2607,56,56,0.874889770723104,0.6537698412698413,0.22111992945326275,True,True
dispersed_slots,middle_drive,2601,56,56,0.8371913580246914,0.5712081128747796,0.2659832451499118,True,True
dispersed_slots,middle_drive,2602,56,56,0.8384038800705468,0.5726410934744268,0.26576278659611996,True,True
dispersed_slots,middle_drive,2603,56,56,0.8364197530864198,0.5719797178130511,0.2644400352733687,True,True
dispersed_slots,middle_drive,2604,56,56,0.8379629629629629,0.5758377425044092,0.2621252204585537,True,True
dispersed_slots,middle_drive,2605,56,56,0.8377425044091711,0.5690035273368607,0.2687389770723104,True,True
dispersed_slots,middle_drive,2606,56,56,0.8387345679012346,0.5735229276895943,0.26521164021164023,True,True
dispersed_slots,middle_drive,2607,56,56,0.8381834215167548,0.5724206349206349,0.26576278659611996,True,True
