geometry,metric,aligned_p3_mean,permutation_min,permutation_max,lower_percentile,permutation_count,aligned_is_maximum
localized_ledger_cells,remnant_fraction,0.7883387923070463,0.4293850256151844,0.7883387923070463,1.0,24,True
dispersed_slots,remnant_fraction,0.8190455194423448,0.48262576635592513,0.8190455194423448,1.0,24,True
