part,rank,expression,value,target,err_pct
omega_R,1,d/S,0.375,0.37367168,0.35547783551592504
omega_R,2,(PI+V)/F,0.3721184278220962,0.37367168,0.4156729720335798
omega_R,3,(R-h)/V,0.37037037037037035,0.37367168,0.8834786809719313
omega_R,4,(R*S)/(F*PI),0.3772561614030112,0.37367168,0.9592595839778941
omega_R,5,V/(F-S),0.3698630136986301,0.37367168,1.0192547375733396
omega_R,6,S/(PI+Theta),0.3784010093790932,0.37367168,1.2656376258145132
omega_R,7,(PI-h)/d,0.38053088452993106,0.37367168,1.8356233284607095
omega_R,8,R2/(M*d),0.38095238095238093,0.37367168,1.9484219281431563
omega_R,9,(PI*PI)/V,0.3655409037440503,0.37367168,2.1759144969053343
omega_R,10,R2/(M*PI),0.36378272706718934,0.37367168,2.6464282583070435
omega_R,11,(PI-h)/PI,0.3633802276324186,0.37367168,2.754142986586885
omega_R,12,(F*F)/(M*R2),0.36160714285714285,0.37367168,3.22864637289536
omega_R,13,F/(F+R2),0.36,0.37367168,3.6587412779047153
omega_R,14,M/(L*h),0.3888888888888889,0.37367168,4.072347384979479
omega_R,15,h/(PI+h),0.38898452964834274,0.37367168,4.097942249287591
omega_I,1,R/(L-V),0.08888888888888889,0.08896232,0.08254181220892759
omega_I,2,(PI+S)/M,0.08842533852055391,0.08896232,0.6036055258519403
omega_I,3,R/(M+S),0.08955223880597014,0.08896232,0.6631108608342797
omega_I,4,R/(R2-S),0.08823529411764706,0.08896232,0.8172290047662123
omega_I,5,PI/(S+V),0.08975979010256552,0.08896232,0.8964133383274179
omega_I,6,S/(F+S),0.0898876404494382,0.08896232,1.0401262573168082
omega_I,7,(S*S)/(V*V),0.0877914951989026,0.08896232,1.3160906787248776
omega_I,8,(M*PI)/(L*V),0.09049855380711339,0.08896232,1.726836493375384
omega_I,9,(S+d)/M,0.0873015873015873,0.08896232,1.86678213699092
omega_I,10,PI/(L-M),0.08726646259971647,0.08896232,1.9062648099594566
omega_I,11,R/(R2-R),0.09090909090909091,0.08896232,2.1883095102408685
omega_I,12,(R*d)/(M*PI),0.09094568176679733,0.08896232,2.2294402470589088
omega_I,13,R/(M+R),0.08695652173913043,0.08896232,2.2546604684652616
omega_I,14,(R+h)/L,0.08641975308641975,0.08896232,2.8580267618698
omega_I,15,(Theta-PI)/L,0.09171856386672968,0.08896232,3.0982149147298315
