Z,Symbol,N,A,anchor,p,n,e,u,d,G_sub,Q_sub,Q_mass,chi,m_0_baseline_u,GR,retained_7G,released_G,stability,radix_cycle,selected_depth
39,Y,45,84,Y-84,39,45,39,123,129,361.50390625,2892.03125000,3113.68750000,0.92881230,84.0000,2892.031250,2530.527344,361.503906,STABLE,3,2
40,Zr,50,90,Zr-90,40,50,40,130,140,370.83333333,2966.66666667,3336.09375000,0.88926358,90.0000,2966.666667,2595.833333,370.833333,STABLE,4,3
41,Nb,54,95,Nb-95,41,54,41,136,149,380.14713542,3041.17708333,3521.43229167,0.86361935,95.0000,3041.177083,2661.029948,380.147135,STABLE,5,4
42,Mo,59,101,Mo-101,42,59,42,143,160,389.47656250,3115.81250000,3743.83854167,0.83225077,101.0000,3115.812500,2726.335938,389.476562,STABLE,6,5
43,Tc,64,107,Tc-107,43,64,43,150,171,398.80598958,3190.44791667,3966.24479167,0.80440015,107.0000,3190.447917,2791.641927,398.805990,UNSTABLE,7,6
44,Ru,69,113,Ru-113,44,69,44,157,182,408.13541667,3265.08333333,4188.65104167,0.77950713,113.0000,3265.083333,2856.947917,408.135417,STABLE,8,7
45,Rh,75,120,Rh-120,45,75,45,165,195,417.48046875,3339.84375000,4448.12500000,0.75084305,120.0000,3339.843750,2922.363281,417.480469,STABLE,9,8
46,Pd,80,126,Pd-126,46,80,46,172,206,426.80989583,3414.47916667,4670.53125000,0.73106869,126.0000,3414.479167,2987.669271,426.809896,STABLE,10,9
47,Ag,86,133,Ag-133,47,86,47,180,219,436.15494792,3489.23958333,4930.00520833,0.70775576,133.0000,3489.239583,3053.084635,436.154948,STABLE,11,10
48,Cd,92,140,Cd-140,48,92,48,188,232,445.50000000,3564.00000000,5189.47916667,0.68677412,140.0000,3564.000000,3118.500000,445.500000,STABLE,12,11
49,In,49,98,In-98,49,49,49,147,147,454.07942708,3632.63541667,3632.63541667,1.00000000,98.0000,3632.635417,3178.555990,454.079427,STABLE,1,0
50,Sn,54,104,Sn-104,50,54,50,154,158,463.40885417,3707.27083333,3855.04166667,0.96166816,104.0000,3707.270833,3243.861979,463.408854,STABLE,2,1
51,Sb,59,110,Sb-110,51,59,51,161,169,472.73828125,3781.90625000,4077.44791667,0.92751798,110.0000,3781.906250,3309.167969,472.738281,STABLE,3,2
52,Te,65,117,Te-117,52,65,52,169,182,482.08333333,3856.66666667,4336.92187500,0.88926358,117.0000,3856.666667,3374.583333,482.083333,STABLE,4,3
53,I,70,123,I-123,53,70,53,176,193,491.41276042,3931.30208333,4559.32812500,0.86225470,123.0000,3931.302083,3439.889323,491.412760,STABLE,5,4
54,Xe,76,130,Xe-130,54,76,54,184,206,500.75781250,4006.06250000,4818.80208333,0.83133991,130.0000,4006.062500,3505.304688,500.757812,STABLE,6,5
