wc,description,rescale_rms_MeV,alpha,broke_shape
WC-1_swap_phi_dQ,swap dQ_b <-> dQ_e,39.016964535530328141944797176747771917200988914716452516572361250700468254503367,12.798866620010,False
WC-2_triadic_depth,use R denominator (triadic) instead of R^4 (pair),43.417628088318334223485212966247565556492666399470714773760404084599835279294810,0.010732143452,False
WC-3_drop_D,"drop the +D term (s_b vanishes, s_e shrinks)",44.038878848888751688189423808671259410459384677515363329736166855611949518748466,21.909968877718,False
WC-4_perturb_mu_Q,use mu_Q = 192/7118 instead of 192/7117,43.417628088318334223485212966247565556492666399470714773760404084599835279294810,18.547749637410,False
WC-5_shuffle_NminusZ,"shuffle (N-Z) across rows, preserve Z",43.563179642270786044050543012817668471905711636768700294371981940405980799122489,19.543496508846,False
