Z,symbol,name,N_sob,A_sob,observed_isotope,N_observed,A_observed,delta_N,delta_A,lambda_gcd,primitive_Z,primitive_N,primitive_lane,lane_ratio_NmZ_over_A,chi,p_count,n_count,e_count,u_count,d_count,Q_sub,Q_mass,delta_Q,channel_role,B_u_u,B_u_MeV,B_smooth_MeV,binding_residual_MeV,clock_role,row_status,notes
1,H,Hydrogen,1,2,H-1,0,1,1,1,1,1,1,"(1,1)",0.0,1.0,1,1,1,3,3,74.13541666666667,74.13541666666667,0.0,balanced,-0.00782503206999996,-7.288971224452327,-37.25,29.961028775547675,clock-stable,engine_diff_from_observed,engine anchor H-2 differs from observed most-abundant H-1
2,He,Helium,2,4,He-4,2,4,0,0,2,1,1,"(1,1)",0.0,1.0,2,2,2,6,6,148.27083333333334,148.27083333333334,0.0,balanced,-0.002603254000000277,-2.4249157481015327,-8.282256483846846,5.857340735745312,clock-stable,engine_matches_observed,
3,Li,Lithium,3,6,Li-7,4,7,-1,-1,3,1,1,"(1,1)",0.0,1.0,3,3,3,9,9,222.40625,222.40625,0.0,balanced,-0.016003433999999928,-14.907104389467642,-17.95346502683385,3.0463606373662078,clock-stable,engine_diff_from_observed,engine anchor Li-6 differs from observed most-abundant Li-7
4,Be,Beryllium,5,9,Be-9,5,9,0,0,1,4,5,"(4,5)",0.1111111111111111,0.8892635785989728,4,5,4,13,14,296.6666666666667,333.609375,36.942708333333314,substrate-light / mass-heavy,-0.012183065000000326,-11.34845319689982,-14.575921241044494,3.2274680441446737,clock-stable,engine_matches_observed,
5,B,Boron,6,11,B-11,6,11,0,0,1,5,6,"(5,6)",0.09090909090909091,0.9093974733991594,5,6,5,16,17,370.8020833333333,407.7447916666667,36.94270833333337,substrate-light / mass-heavy,-0.009305363999999372,-8.667891686870796,-11.078151230567045,2.410259543696249,clock-stable,engine_matches_observed,
6,C,Carbon,8,14,C-12,6,12,2,2,2,3,4,"(3,4)",0.14285714285714285,0.8576246010558222,6,8,6,20,22,445.0625,518.9479166666666,73.88541666666663,substrate-light / mass-heavy,0.0,0.0,-0.9122616892221553,0.9122616892221553,clock-stable,engine_diff_from_observed,engine anchor C-14 differs from observed most-abundant C-12
7,N,Nitrogen,10,17,N-14,7,14,3,3,1,7,10,"(7,10)",0.17647058823529413,0.8241245071866037,7,10,7,24,27,519.3229166666666,630.1510416666666,110.828125,substrate-light / mass-heavy,-0.00307400400000013,-2.8634165968156107,-1.6899540644882711,-1.1734625323273395,clock-stable,engine_diff_from_observed,engine anchor N-17 differs from observed most-abundant N-14
8,O,Oxygen,12,20,O-16,8,16,4,4,4,2,3,"(2,3)",0.2,0.800674441478151,8,12,8,28,32,593.5833333333334,741.3541666666666,147.77083333333326,substrate-light / mass-heavy,0.005085380000000583,4.737001478565163,5.139017420496344,-0.4020159419311815,clock-stable,engine_diff_from_observed,engine anchor O-20 differs from observed most-abundant O-16
9,F,Fluorine,15,24,F-19,10,19,5,5,3,3,5,"(3,5)",0.25,0.7508430518476886,9,15,9,33,39,667.96875,889.625,221.65625,substrate-light / mass-heavy,0.0015968370000010168,1.4874442480269927,3.309026615470991,-1.8215823674439982,clock-stable,engine_diff_from_observed,engine anchor F-24 differs from observed most-abundant F-19
10,Ne,Neon,17,27,Ne-20,10,20,7,7,1,10,17,"(10,17)",0.25925925925925924,0.7416150167309363,10,17,10,37,44,742.2291666666666,1000.828125,258.59895833333337,substrate-light / mass-heavy,0.007559824000001214,7.041931471334305,11.440964014654103,-4.399032543319798,clock-stable,engine_diff_from_observed,engine anchor Ne-27 differs from observed most-abundant Ne-20
