metric,value_u,value_MeV
n,67,
max_abs,0.096563905095,89.948698212632276949313054709901695991340504478062437876966470474971247768774817
mean_abs,0.041871545671,39.003093563494594586736695108076310872223119333779325936007751043853376087106970
rms,0.052138944839356221363624988601247666972098863048850516033581697279773763679267729,48.567114284191284062888495132130594298508258336825962582185149525925582224655814
rescale_alpha,18.545143884440,
rescale_rms,0.046610743695953311801777803148756262044084735274162490336771255729612681648292753,43.417628088318334223485212966247565556492666399470714773760404084599835279294810
rescale_max_abs,,101.98725662854138094719619856556685264053380468573458841725771052875716769492067
