peak,ell_theory,height_theory,ell_planck,height_planck,delta_ell,delta_height_rel
1,219.0000,5636.3279,219.0000,5826.3751,+0.0000,-3.2618%
2,533.0000,2487.3978,520.0000,2580.9831,+13.0000,-3.6260%
3,806.0000,2517.9460,661.0000,1837.1060,+145.0000,+37.0605%
