scenario_id,seed,door,scenario_lane,anchor,p_level,geometry,atom_count,ledger_count,carrier_count,carrier_atom_index,atom_id,ledger_id,ledger_slot,route,shell,shell_index,dimension,side,binding,node_affinity,shock,carrier_exposure,final_fate,history_class,tau_escape,tau_closure,tau_closure_minus_escape,escape_before_closure,total_power_proxy,individual_power,individual_power_fraction,inner_product_with_total,leave_one_out_power,delta_power,delta_power_fraction,coherence_multiplier,peak_source_norm,reinforcement_tolerance,reinforcement_state,behavior_lane,source_rank_in_scenario,global_shortlist_rank
REF_0004,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,1,dispersed_slots,3402,21,378,2770,2770,17,16,10,outer_light_shell,3,1,0,0.58,0.0033750620480713645,1.213900534915216,1.2639005349152161,ejecta_candidate,escape_only,1.092491214049133,,,,2.4121812637038724,1.3524530415526457,0.15603397043263298,1.5173141847296685,0.7300059357971811,1.6821753279066913,0.6973668825052283,1.2437957372446125,1.2817981286719016,6.381431914560509e-15,reinforcer,outward_reinforcer,1,1
REF_0132,910001,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,1,dispersed_slots,3402,21,378,2770,2770,17,16,10,outer_light_shell,3,1,0,0.58,0.0033750620480713645,1.6980343770789375,1.7480343770789375,ejecta_candidate,escape_only,1.0838032730557785,,,,14.791224491355688,5.34379410329244,0.1466214469534594,7.704553412303752,4.725911770040625,10.065312721315063,0.6804921882699738,1.8835517474585297,2.371287132377597,3.9130223522104994e-14,reinforcer,outward_reinforcer,1,2
REF_0012,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,1,dispersed_slots,3402,21,378,3254,3254,20,14,2,outer_light_shell,3,2,0,0.58,0.02596337598126086,1.1819951758380882,1.2319951758380883,ejecta_candidate,escape_only,1.0272989431303898,,,,3.3142307328927263,0.9293715308191723,0.1871453536253569,1.5751332587517923,1.093335746208314,2.2208949866844123,0.6701087418696318,2.3896740033846933,1.1845311354198804,8.767806171673878e-15,reinforcer,outward_reinforcer,1,3
REF_0140,910002,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,1,dispersed_slots,3402,21,378,3254,3254,20,14,2,outer_light_shell,3,2,0,0.58,0.02596337598126086,1.6635646487707834,1.7135646487707832,ejecta_candidate,escape_only,1.023364128366424,,,,11.175111437330592,3.4453632813456982,0.15583319492099376,5.458775692653648,3.702923333368994,7.4721881039615985,0.668645511578584,2.1687663952357132,2.1522264338659034,2.956378687124495e-14,reinforcer,outward_reinforcer,1,4
REF_0260,910001,discovery,REFERENCE_HIGH_DRIVE,high_drive,1,dispersed_slots,3402,21,378,2770,2770,17,16,10,outer_light_shell,3,1,0,0.58,0.0033750620480713645,2.1821682192426595,2.2321682192426593,ejecta_candidate,escape_only,1.0755596127041116,,,,54.234109864445585,15.215433846626368,0.1383775682451869,24.99422686625367,19.461089978564615,34.77301988588097,0.6411651260211283,2.2853781388291465,3.8201121165379064,1.4347648112287192e-13,reinforcer,outward_reinforcer,1,5
REF_0268,910002,discovery,REFERENCE_HIGH_DRIVE,high_drive,1,dispersed_slots,3402,21,378,3254,3254,20,14,2,outer_light_shell,3,2,0,0.58,0.02596337598126086,2.1451341217034785,2.1951341217034783,ejecta_candidate,escape_only,1.0201491702660093,,,,27.87466115622729,9.425280530739123,0.13598013349697605,13.20431467870183,10.891312329562751,16.98334882666454,0.6092755255921883,1.8018931925979202,3.432940768319322,7.374248983128912e-14,reinforcer,outward_reinforcer,1,6
REF_0014,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,2,dispersed_slots,5346,33,594,5198,5198,32,14,2,outer_light_shell,3,2,0,0.58,0.02596337598126086,1.194734472514095,1.244734472514095,ejecta_candidate,escape_only,1.026574068088749,,,,6.4799299025941295,0.949295639733128,0.17868576372050515,2.1878520032943287,3.0535215357386,3.4264083668555294,0.5287724432765585,3.609421789632135,1.1966160222273325,1.0908972899990117e-14,reinforcer,outward_reinforcer,1,7
REF_0016,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,3,dispersed_slots,9072,56,1008,8438,8438,52,14,2,outer_light_shell,3,2,0,0.58,0.02596337598126086,1.197328035357738,1.247328035357738,ejecta_candidate,escape_only,1.0318241208982073,,,,4.3593776764842715,0.9619645313566482,0.11247884400719954,1.6025372784625402,2.116267650915839,2.2431100255684324,0.5145482204188017,2.3318011760839026,1.201344117150912,4.324779440956619e-15,reinforcer,outward_reinforcer,1,8
REF_0004,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,1,dispersed_slots,3402,21,378,3245,3245,20,5,5,outer_light_shell,3,2,1,0.58,0.2007541905428183,1.196425866423055,1.246425866423055,ejecta_candidate,escape_only,1.1127471083133145,,,,2.4121812637038724,1.2780264318137695,0.1474472919553789,1.2370887151751175,1.2160302651674069,1.1961509985364656,0.4958794003315454,0.9359360407271806,1.33059390042504,6.381431914560509e-15,reinforcer,outward_reinforcer,2,9
REF_0132,910001,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,1,dispersed_slots,3402,21,378,3245,3245,20,5,5,outer_light_shell,3,2,1,0.58,0.2007541905428183,1.6749127327662758,1.7249127327662759,ejecta_candidate,escape_only,1.1008759172093932,,,,14.791224491355688,4.546116026729104,0.12473499108931806,5.904328063497305,7.528684391090183,7.262540100265506,0.4910033043247969,1.5975263406312241,2.353007392214534,3.9130223522104994e-14,reinforcer,outward_reinforcer,2,10
