time_index,t_over_T2,A_true,A_hat_train_mean,A_hat_train_ci_low,A_hat_train_ci_high,A_hat_test_mean,A_hat_test_ci_low,A_hat_test_ci_high,test_threshold_crossed
0,0.000000,0.0000000000,0.0151283378,0.0001114661,0.0304703033,0.0150264205,0.0015945869,0.0303261019,False
1,0.010000,0.0148408642,0.0227026137,0.0087300908,0.0372981942,0.0241542998,0.0082129967,0.0405439140,False
2,0.020000,0.0291991194,0.0341029391,0.0174040850,0.0514124240,0.0339953077,0.0192495106,0.0487736357,False
3,0.025000,0.0362012692,0.0393058505,0.0262497889,0.0563751828,0.0389662318,0.0249072489,0.0528327984,False
4,0.030000,0.0430875263,0.0437965399,0.0279322865,0.0592486140,0.0445581008,0.0291836533,0.0592572095,True
5,0.035000,0.0498594352,0.0519593810,0.0352203900,0.0662502355,0.0506795530,0.0348529561,0.0630868895,True
6,0.040000,0.0565185203,0.0566262205,0.0432115051,0.0729421960,0.0577688028,0.0413111114,0.0730216210,True
7,0.050000,0.0695042201,0.0693596032,0.0574294885,0.0835083785,0.0682603527,0.0559103380,0.0856710630,True
8,0.070000,0.0941866762,0.0943322587,0.0780348330,0.1099359395,0.0948474996,0.0791997940,0.1117821710,True
9,0.100000,0.1281562931,0.1279561042,0.1107186715,0.1445516260,0.1278503828,0.1102355595,0.1427750720,True
