trial_index,time_index,t_over_T2,P0_hat,A_hat_tomo,label_above_A_side,sensor_threshold_used,sensor_pred_above
0,0,0.000000,0.236520,0.0078522842,False,0.257900,False
0,1,0.010000,0.241520,0.0338791219,False,0.257900,False
0,2,0.020000,0.249960,0.0381801659,False,0.257900,False
0,3,0.025000,0.252540,0.0589898000,True,0.257900,False
0,4,0.030000,0.254640,0.0362469142,False,0.257900,False
0,5,0.035000,0.261920,0.0571025600,True,0.257900,True
0,6,0.040000,0.263000,0.0601388200,True,0.257900,True
0,7,0.050000,0.270580,0.0692574000,True,0.257900,True
0,8,0.070000,0.292120,0.1084981000,True,0.257900,True
0,9,0.100000,0.304140,0.1311777000,True,0.257900,True
1,0,0.000000,0.236300,0.0084260375,False,0.257900,False
1,1,0.010000,0.243980,0.0212666447,False,0.257900,False
1,2,0.020000,0.252520,0.0331762701,False,0.257900,False
1,3,0.025000,0.255080,0.0395566915,False,0.257900,False
1,4,0.030000,0.257080,0.0431109930,True,0.257900,False
1,5,0.035000,0.264940,0.0577610400,True,0.257900,True
1,6,0.040000,0.264480,0.0667328400,True,0.257900,True
1,7,0.050000,0.271500,0.0840595400,True,0.257900,True
1,8,0.070000,0.285780,0.0987372000,True,0.257900,True
1,9,0.100000,0.307700,0.1265461800,True,0.257900,True
2,0,0.000000,0.234080,0.0178870029,False,0.257900,False
2,1,0.010000,0.243860,0.0196790648,False,0.257900,False
2,2,0.020000,0.248840,0.0420350478,True,0.257900,False
2,3,0.025000,0.251460,0.0468275000,True,0.257900,False
2,4,0.030000,0.258640,0.0451704600,True,0.257900,True
2,5,0.035000,0.260400,0.0471507400,True,0.257900,True
2,6,0.040000,0.268760,0.0502532852,True,0.257900,True
2,7,0.050000,0.272500,0.0631511400,True,0.257900,True
2,8,0.070000,0.287640,0.1045878800,True,0.257900,True
2,9,0.100000,0.307860,0.1293781400,True,0.257900,True
3,0,0.000000,0.236360,0.0080868278,False,0.257900,False
3,1,0.010000,0.240100,0.0223267362,False,0.257900,False
3,2,0.020000,0.252240,0.0278825000,False,0.257900,False
3,3,0.025000,0.253980,0.0265897020,False,0.257900,False
3,4,0.030000,0.257380,0.0395724764,False,0.257900,False
3,5,0.035000,0.264400,0.0379992917,False,0.257900,True
3,6,0.040000,0.260220,0.0596139200,True,0.257900,True
3,7,0.050000,0.274680,0.0828381254,True,0.257900,True
3,8,0.070000,0.285860,0.0898091200,True,0.257900,True
3,9,0.100000,0.307420,0.1335940000,True,0.257900,True
4,0,0.000000,0.233400,0.0156600736,False,0.257900,False
4,1,0.010000,0.243920,0.0212842822,False,0.257900,False
4,2,0.020000,0.248400,0.0367782894,False,0.257900,False
4,3,0.025000,0.255820,0.0448828974,True,0.257900,False
4,4,0.030000,0.258480,0.0322311325,False,0.257900,True
4,5,0.035000,0.258940,0.0489907200,True,0.257900,True
4,6,0.040000,0.264520,0.0566032495,True,0.257900,True
4,7,0.050000,0.271340,0.0670911887,True,0.257900,True
4,8,0.070000,0.289520,0.0890826600,True,0.257900,True
4,9,0.100000,0.307700,0.1115128600,True,0.257900,True
5,0,0.000000,0.233380,0.0128532520,False,0.257900,False
5,1,0.010000,0.242760,0.0268263193,False,0.257900,False
5,2,0.020000,0.250380,0.0310266400,False,0.257900,False
5,3,0.025000,0.254020,0.0380488945,False,0.257900,False
5,4,0.030000,0.255920,0.0432371800,True,0.257900,False
5,5,0.035000,0.257380,0.0540752000,True,0.257900,False
5,6,0.040000,0.264440,0.0472990178,True,0.257900,True
5,7,0.050000,0.268960,0.0658746000,True,0.257900,True
5,8,0.070000,0.284100,0.0846441800,True,0.257900,True
5,9,0.100000,0.309860,0.1422722400,True,0.257900,True
6,0,0.000000,0.236960,0.0175076855,False,0.257900,False
6,1,0.010000,0.246160,0.0252698533,False,0.257900,False
6,2,0.020000,0.255620,0.0401598023,False,0.257900,False
6,3,0.025000,0.252400,0.0342709600,False,0.257900,False
6,4,0.030000,0.259020,0.0460275737,True,0.257900,True
6,5,0.035000,0.259080,0.0531217459,True,0.257900,True
6,6,0.040000,0.261620,0.0660176000,True,0.257900,True
6,7,0.050000,0.272600,0.0561052329,True,0.257900,True
6,8,0.070000,0.285340,0.0951567600,True,0.257900,True
6,9,0.100000,0.308800,0.1338604200,True,0.257900,True
7,0,0.000000,0.235620,0.0251799000,False,0.257900,False
7,1,0.010000,0.244820,0.0073630421,False,0.257900,False
7,2,0.020000,0.249800,0.0350989692,False,0.257900,False
7,3,0.025000,0.249880,0.0455346095,True,0.257900,False
7,4,0.030000,0.253680,0.0558875600,True,0.257900,False
7,5,0.035000,0.259640,0.0486791600,True,0.257900,True
7,6,0.040000,0.266200,0.0378743400,False,0.257900,True
7,7,0.050000,0.274220,0.0719437200,True,0.257900,True
7,8,0.070000,0.287760,0.1014925000,True,0.257900,True
7,9,0.100000,0.309260,0.1316969200,True,0.257900,True
8,0,0.000000,0.235220,0.0099325701,False,0.257900,False
8,1,0.010000,0.243580,0.0088241800,False,0.257900,False
8,2,0.020000,0.253640,0.0244928293,False,0.257900,False
8,3,0.025000,0.254780,0.0380839609,False,0.257900,False
8,4,0.030000,0.254760,0.0186079014,False,0.257900,False
8,5,0.035000,0.258380,0.0335500473,False,0.257900,True
8,6,0.040000,0.270040,0.0604114000,True,0.257900,True
8,7,0.050000,0.268860,0.0662074800,True,0.257900,True
8,8,0.070000,0.285500,0.0976693800,True,0.257900,True
8,9,0.100000,0.305360,0.1375832000,True,0.257900,True
9,0,0.000000,0.235040,0.0268959798,False,0.257900,False
9,1,0.010000,0.240940,0.0189226643,False,0.257900,False
9,2,0.020000,0.248980,0.0262487411,False,0.257900,False
9,3,0.025000,0.254400,0.0342761200,False,0.257900,False
9,4,0.030000,0.257100,0.0485825600,True,0.257900,False
9,5,0.035000,0.259560,0.0600918800,True,0.257900,True
9,6,0.040000,0.262760,0.0514768000,True,0.257900,True
9,7,0.050000,0.271340,0.0577018200,True,0.257900,True
9,8,0.070000,0.286880,0.0874390000,True,0.257900,True
9,9,0.100000,0.309180,0.1460382600,True,0.257900,True
10,0,0.000000,0.234000,0.0136869883,False,0.257900,False
10,1,0.010000,0.241960,0.0201521832,False,0.257900,False
10,2,0.020000,0.249660,0.0428026853,True,0.257900,False
10,3,0.025000,0.253640,0.0438538600,True,0.257900,False
10,4,0.030000,0.256880,0.0325215600,False,0.257900,False
10,5,0.035000,0.263780,0.0437951200,True,0.257900,True
10,6,0.040000,0.264620,0.0492006800,True,0.257900,True
10,7,0.050000,0.272740,0.0633995000,True,0.257900,True
10,8,0.070000,0.289700,0.1056890800,True,0.257900,True
10,9,0.100000,0.308440,0.1256491000,True,0.257900,True
11,0,0.000000,0.235100,0.0120097341,False,0.257900,False
11,1,0.010000,0.244400,0.0103172434,False,0.257900,False
11,2,0.020000,0.247920,0.0298020102,False,0.257900,False
11,3,0.025000,0.255660,0.0394904920,False,0.257900,False
11,4,0.030000,0.255240,0.0479877407,True,0.257900,False
11,5,0.035000,0.257920,0.0569932800,True,0.257900,True
11,6,0.040000,0.262480,0.0660900199,True,0.257900,True
11,7,0.050000,0.268960,0.0684615800,True,0.257900,True
11,8,0.070000,0.286880,0.0912815400,True,0.257900,True
11,9,0.100000,0.308660,0.1278768200,True,0.257900,True
12,0,0.000000,0.233580,0.0205246112,False,0.257900,False
12,1,0.010000,0.239140,0.0215793318,False,0.257900,False
12,2,0.020000,0.253000,0.0267552390,False,0.257900,False
12,3,0.025000,0.256460,0.0456818600,True,0.257900,False
12,4,0.030000,0.257500,0.0301204336,False,0.257900,False
12,5,0.035000,0.259540,0.0436258000,True,0.257900,True
12,6,0.040000,0.266340,0.0584613345,True,0.257900,True
12,7,0.050000,0.273740,0.0789498400,True,0.257900,True
12,8,0.070000,0.287060,0.1055103600,True,0.257900,True
12,9,0.100000,0.309160,0.1241043400,True,0.257900,True
13,0,0.000000,0.233220,0.0113740386,False,0.257900,False
13,1,0.010000,0.243940,0.0228523000,False,0.257900,False
13,2,0.020000,0.251300,0.0483897644,True,0.257900,False
13,3,0.025000,0.255860,0.0386608400,False,0.257900,False
13,4,0.030000,0.257920,0.0543044000,True,0.257900,True
13,5,0.035000,0.263180,0.0566482819,True,0.257900,True
13,6,0.040000,0.265300,0.0510529800,True,0.257900,True
13,7,0.050000,0.272900,0.0579544000,True,0.257900,True
13,8,0.070000,0.288200,0.0835709400,True,0.257900,True
13,9,0.100000,0.307740,0.1326871600,True,0.257900,True
14,0,0.000000,0.233880,0.0163081822,False,0.257900,False
14,1,0.010000,0.242300,0.0215806804,False,0.257900,False
14,2,0.020000,0.247840,0.0487583039,True,0.257900,False
14,3,0.025000,0.254160,0.0315279200,False,0.257900,False
14,4,0.030000,0.256080,0.0593089200,True,0.257900,False
14,5,0.035000,0.261000,0.0432459600,True,0.257900,True
14,6,0.040000,0.266080,0.0594568600,True,0.257900,True
14,7,0.050000,0.272580,0.0733047600,True,0.257900,True
14,8,0.070000,0.283960,0.0742988400,True,0.257900,True
14,9,0.100000,0.307760,0.1389584800,True,0.257900,True
15,0,0.000000,0.233820,0.0116978583,False,0.257900,False
15,1,0.010000,0.239260,0.0313407403,False,0.257900,False
15,2,0.020000,0.252520,0.0373036221,False,0.257900,False
15,3,0.025000,0.254800,0.0400174600,False,0.257900,False
15,4,0.030000,0.255600,0.0477908190,True,0.257900,False
15,5,0.035000,0.262300,0.0577931200,True,0.257900,True
15,6,0.040000,0.266840,0.0451092000,True,0.257900,True
15,7,0.050000,0.271220,0.0670292400,True,0.257900,True
15,8,0.070000,0.284800,0.0909109600,True,0.257900,True
15,9,0.100000,0.308720,0.1174552200,True,0.257900,True
16,0,0.000000,0.238500,0.0004594166,False,0.257900,False
16,1,0.010000,0.244900,0.0193761952,False,0.257900,False
16,2,0.020000,0.250880,0.0308753499,False,0.257900,False
16,3,0.025000,0.254120,0.0362544600,False,0.257900,False
16,4,0.030000,0.256200,0.0462390800,True,0.257900,False
16,5,0.035000,0.258360,0.0577982180,True,0.257900,True
16,6,0.040000,0.266140,0.0634638400,True,0.257900,True
16,7,0.050000,0.276720,0.0710141200,True,0.257900,True
16,8,0.070000,0.286900,0.1012493600,True,0.257900,True
16,9,0.100000,0.309460,0.1274029600,True,0.257900,True
17,0,0.000000,0.237260,0.0124267399,False,0.257900,False
17,1,0.010000,0.237940,0.0336638686,False,0.257900,False
17,2,0.020000,0.248920,0.0332957690,False,0.257900,False
17,3,0.025000,0.251880,0.0534194200,True,0.257900,False
17,4,0.030000,0.257680,0.0300776600,False,0.257900,False
17,5,0.035000,0.263600,0.0640752400,True,0.257900,True
17,6,0.040000,0.267180,0.0434490200,True,0.257900,True
17,7,0.050000,0.273660,0.0634589947,True,0.257900,True
17,8,0.070000,0.286520,0.0956519000,True,0.257900,True
17,9,0.100000,0.306380,0.1076615600,True,0.257900,True
18,0,0.000000,0.234740,0.0238201627,False,0.257900,False
18,1,0.010000,0.242520,0.0399834110,False,0.257900,False
18,2,0.020000,0.248440,0.0457142046,True,0.257900,False
18,3,0.025000,0.255860,0.0382754000,False,0.257900,False
18,4,0.030000,0.256520,0.0612247627,True,0.257900,False
18,5,0.035000,0.258640,0.0573343600,True,0.257900,True
18,6,0.040000,0.265180,0.0429966107,True,0.257900,True
18,7,0.050000,0.276180,0.0657287400,True,0.257900,True
18,8,0.070000,0.285660,0.1102864800,True,0.257900,True
18,9,0.100000,0.309400,0.1448470000,True,0.257900,True
19,0,0.000000,0.235480,0.0229491241,False,0.257900,False
19,1,0.010000,0.242840,0.0176072083,False,0.257900,False
19,2,0.020000,0.251200,0.0405963172,False,0.257900,False
19,3,0.025000,0.252160,0.0562371435,True,0.257900,False
19,4,0.030000,0.259700,0.0264060491,False,0.257900,True
19,5,0.035000,0.260720,0.0533274600,True,0.257900,True
19,6,0.040000,0.266320,0.0593694200,True,0.257900,True
19,7,0.050000,0.268180,0.0676811000,True,0.257900,True
19,8,0.070000,0.288900,0.0932050578,True,0.257900,True
19,9,0.100000,0.308580,0.1125323000,True,0.257900,True
20,0,0.000000,0.234620,0.0099835800,False,0.257900,False
20,1,0.010000,0.243660,0.0190796980,False,0.257900,False
20,2,0.020000,0.252440,0.0266497600,False,0.257900,False
20,3,0.025000,0.255100,0.0409559200,False,0.257900,False
20,4,0.030000,0.258420,0.0519522400,True,0.257900,True
20,5,0.035000,0.262160,0.0466119800,True,0.257900,True
20,6,0.040000,0.264320,0.0501350000,True,0.257900,True
