p_value,in_predicted_main_rule,in_observed_hidden_source,agreement
1,True,True,MATCH
2,True,True,MATCH
3,True,True,MATCH
4,True,True,MATCH
6,True,True,MATCH
8,True,True,MATCH
9,True,True,MATCH
12,True,True,MATCH
