label,Z,N,u,d,e,gcd_ud,gcd_ue,gcd_de,all_coprime,H,K_tilde,components
N-15,7,8,22,23,7,1,1,1,True,3542,3542,1
Au-197,79,118,276,315,79,3,1,1,False,6868260,6868260,1
C-13,6,7,19,20,6,1,1,2,False,2280,2280,1
O-17,8,9,25,26,8,1,1,2,False,5200,5200,1
Pb-208,82,126,290,334,82,2,2,2,False,7942520,3971260,2
