sample_idx,mass_density_modulation_BEC,MEMS_pressure,EM_laser_focal,acoustic_phonon,charge_pulse_low_field,spontaneous_baseline
609,-2.7043,-3.8038,-3.2501,-12.3352,-7.252,-20.6363
610,-2.3233,-3.3979,-2.6839,-11.7691,-6.6858,-20.301
611,-2.6024,-3.7019,-3.1482,-12.2334,-7.1501,-20.5344
612,-2.3233,-3.3979,-2.8166,-11.9018,-6.8186,-20.301
613,-2.4013,-3.5007,-2.947,-12.0322,-6.949,-20.3332
614,-2.3318,-3.4313,-2.8776,-11.9628,-6.8795,-20.301
615,-2.4588,-3.5582,-3.0045,-12.0897,-7.0065,-20.3907
616,-2.3233,-3.3979,-2.6187,-11.7039,-6.6206,-20.301
617,-2.5728,-3.6723,-3.1186,-12.2037,-7.1205,-20.5048
618,-2.3233,-3.3979,-2.6706,-11.7557,-6.6725,-20.301
619,-2.6449,-3.7444,-3.1907,-12.2758,-7.1926,-20.5769
620,-2.6684,-3.7679,-3.2142,-12.2993,-7.2161,-20.6004
621,-2.8258,-3.9253,-3.3716,-12.4568,-7.3735,-20.7578
622,-2.7392,-3.8387,-3.285,-12.3702,-7.2869,-20.6712
623,-2.8272,-3.9266,-3.3729,-12.4581,-7.3749,-20.7591
624,-2.3259,-3.4253,-2.8716,-11.9568,-6.8736,-20.301
625,-2.3233,-3.3979,-2.5991,-11.6843,-6.6011,-20.301
626,-2.7482,-3.8476,-3.2939,-12.3791,-7.2959,-20.6801
627,-2.7106,-3.81,-3.2563,-12.3415,-7.2583,-20.6425
628,-2.3881,-3.4875,-2.9338,-12.019,-6.9358,-20.3201
629,-2.3233,-3.3979,-2.6444,-11.7296,-6.6463,-20.301
630,-2.3233,-3.3979,-2.568,-11.4261,-6.3429,-20.301
631,-2.3394,-3.4389,-2.8852,-11.9703,-6.8871,-20.301
632,-2.6304,-3.7298,-3.1761,-12.2613,-7.1781,-20.5623
633,-2.8501,-3.9495,-3.3958,-12.481,-7.3978,-20.782
634,-2.7374,-3.8368,-3.2831,-12.3683,-7.2851,-20.6693
635,-2.6972,-3.7967,-3.243,-12.3281,-7.2449,-20.6292
636,-2.7551,-3.8545,-3.3008,-12.386,-7.3028,-20.687
637,-2.9541,-4.0535,-3.4998,-12.585,-7.5018,-20.8861
638,-2.328,-3.4274,-2.8737,-11.9589,-6.8757,-20.301
639,-2.6408,-3.7403,-3.1866,-12.2718,-7.1885,-20.5728
640,-2.3233,-3.3979,-2.568,-11.4289,-6.3457,-20.301
641,-2.3233,-3.4043,-2.8506,-11.9357,-6.8525,-20.301
642,-2.3233,-3.3979,-2.6771,-11.7623,-6.6791,-20.301
643,-2.8191,-3.9185,-3.3648,-12.45,-7.3668,-20.751
644,-2.3233,-3.3979,-2.568,-11.5563,-6.4731,-20.301
