candidate_id,operator_class,partition,tier,role,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0038,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),108.0,6,negative,1,STABLE_MATTER_CANDIDATE
QP093A-0039,OUTER_BINARY_NEUTRAL,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),9.000,0,neutral,1,STABLE_NEUTRAL_CANDIDATE
QP093A-0040,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),120.00,8,positive,1,STABLE_MATTER_CANDIDATE
QP093A-0041,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),144.0,8,negative,1,STABLE_MATTER_CANDIDATE
QP093A-0042,OUTER_BINARY_NEUTRAL,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),12.000,0,neutral,1,STABLE_NEUTRAL_CANDIDATE
QP093A-0043,V4_1_SINGLE_WRITE,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),135.00,9,positive,1,STABLE_MATTER_CANDIDATE
QP093A-0044,V4_1_SINGLE_WRITE,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),162.0,9,negative,1,STABLE_MATTER_CANDIDATE
QP093A-0045,OUTER_BINARY_NEUTRAL,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),13.500,0,neutral,1,STABLE_NEUTRAL_CANDIDATE
QP093A-0046,V4_1_SINGLE_WRITE,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),180.00,12,positive,1,STABLE_MATTER_CANDIDATE
QP093A-0047,V4_1_SINGLE_WRITE,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),216.0,12,negative,1,STABLE_MATTER_CANDIDATE
QP093A-0048,OUTER_BINARY_NEUTRAL,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),18.000,0,neutral,1,STABLE_NEUTRAL_CANDIDATE
QP093A-0049,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),180.00,1,positive,2,STABLE_MATTER_CANDIDATE
QP093A-0050,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),216.0,1,negative,2,STABLE_MATTER_CANDIDATE
QP093A-0051,OUTER_BINARY_NEUTRAL,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),18.000,0,neutral,2,STABLE_NEUTRAL_CANDIDATE
QP093A-0052,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),360.00,2,positive,2,STABLE_MATTER_CANDIDATE
QP093A-0053,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),432.0,2,negative,2,STABLE_MATTER_CANDIDATE
QP093A-0054,OUTER_BINARY_NEUTRAL,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),36.000,0,neutral,2,STABLE_NEUTRAL_CANDIDATE
QP093A-0055,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),540.00,3,positive,2,STABLE_MATTER_CANDIDATE
QP093A-0056,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),648.0,3,negative,2,STABLE_MATTER_CANDIDATE
QP093A-0057,OUTER_BINARY_NEUTRAL,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),54.000,0,neutral,2,STABLE_NEUTRAL_CANDIDATE
QP093A-0058,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),720.00,4,positive,2,STABLE_MATTER_CANDIDATE
QP093A-0059,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),864.0,4,negative,2,STABLE_MATTER_CANDIDATE
QP093A-0060,OUTER_BINARY_NEUTRAL,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),72.000,0,neutral,2,STABLE_NEUTRAL_CANDIDATE
QP093A-0061,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),1080.00,6,positive,2,STABLE_MATTER_CANDIDATE
QP093A-0062,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),1296.0,6,negative,2,STABLE_MATTER_CANDIDATE
QP093A-0063,OUTER_BINARY_NEUTRAL,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),108.000,0,neutral,2,STABLE_NEUTRAL_CANDIDATE
QP093A-0064,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),1440.00,8,positive,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0065,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),1728.0,8,negative,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0066,OUTER_BINARY_NEUTRAL,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),144.000,0,neutral,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0067,V4_1_SINGLE_WRITE,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),1620.00,9,positive,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0068,V4_1_SINGLE_WRITE,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),1944.0,9,negative,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0069,OUTER_BINARY_NEUTRAL,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),162.000,0,neutral,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0070,V4_1_SINGLE_WRITE,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),2160.00,12,positive,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0071,V4_1_SINGLE_WRITE,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),2592.0,12,negative,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
QP093A-0072,OUTER_BINARY_NEUTRAL,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),216.000,0,neutral,2,UNSTABLE_HEAVY_WRITE_CANDIDATE
