candidate_id,operator_class,partition,tier,wc_reason,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0133,GROUND_BARYON_3BODY,1+3+8,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),2664,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0159,GROUND_BARYON_3BODY,2+3+4,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),1044,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0179,GROUND_BARYON_3BODY,3+3+3,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),972,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0181,GROUND_BARYON_3BODY,3+3+6,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),1944,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0183,GROUND_BARYON_3BODY,3+3+9,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),3564,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0184,GROUND_BARYON_3BODY,3+3+12,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),5832,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0206,GROUND_BARYON_3BODY,4+6+8,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),4176,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0215,GROUND_BARYON_3BODY,6+6+6,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),3888,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0217,GROUND_BARYON_3BODY,6+6+9,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),5508,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0218,GROUND_BARYON_3BODY,6+6+12,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),7776,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0231,GROUND_BARYON_3BODY,9+9+9,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),8748,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0232,GROUND_BARYON_3BODY,9+9+12,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),11016,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0234,GROUND_BARYON_3BODY,12+12+12,3body_standard,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),15552,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0314,DIRECT_QA_AS_MASS,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0315,PROMOTE_TENSOR_CARRIER,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0316,SKIP_LEDGER_COMPRESSION,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0317,RANDOM_ROUTE_CLOSURE,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0318,NEAREST_KNOWN_PARTICLE_MATCH,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0319,OPEN_COLOR_NO_OWNER,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0320,SURFACE_STACK_DISABLED,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
QP093A-0321,FAKE_PARENT_NO_CLOSED_LOOP,1,null_control,REJECTED_FAKE_CLOSURE (physicality filter rejected; M_native still valid per CR129c),0,0,neutral,0,REJECTED_FAKE_CLOSURE
