Z,a,b,substrate_name,noble_cipher_type
2,1,0,h_hat,True
3,0,1,d_hat,False
4,2,0,h^2,False
6,1,1,m_3,False
8,3,0,S,False
9,0,2,D^2,False
12,2,1,R,False
16,4,0,h^4,False
18,1,2,Theta,True
24,3,1,h^3*d^1,False
27,0,3,V,False
32,5,0,h^5*d^0,False
36,2,2,m_3^2,True
48,4,1,h^4*d^1,False
54,1,3,hV,True
64,6,0,h^6*d^0,False
72,3,2,h^3*d^2,True
81,0,4,F,False
96,5,1,h^5*d^1,False
108,2,3,h^2*d^3,True
126,compound,7*Theta,M = 7*Theta,True
